first_name,id,total_publications,research_orgs,last_name,orcid_id,full_name,url
Michael,ur.01052162667.23,11,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Quade,,Michael Quade,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01052162667.23
Marcus,ur.07626510675.17,10,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.1957.a', 'acronym': 'RWTH', 'name': 'RWTH Aachen University', 'country_name': 'Germany'}]",Scholl,,Marcus Scholl,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.07626510675.17
Christian,ur.010720046663.17,10,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Weingarten,,Christian Weingarten,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.010720046663.17
Wolfgang,ur.012313030671.44,10,"[{'id': 'grid.159791.2', 'acronym': 'GSI', 'name': 'GSI Helmholtz Centre for Heavy Ion Research', 'country_name': 'Germany'}, {'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Brandenburg,,Wolfgang Brandenburg,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.012313030671.44
Nils,ur.0600667244.15,10,"[{'id': 'grid.170430.1', 'acronym': 'UCF', 'name': 'University of Central Florida', 'country_name': 'United States'}, {'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Gehlich,,Nils Gehlich,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0600667244.15
Waldemar,ur.07417463747.57,10,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.1957.a', 'acronym': 'RWTH', 'name': 'RWTH Aachen University', 'country_name': 'Germany'}]",Sokolowski,,Waldemar Sokolowski,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.07417463747.57
Marco,ur.010024413516.02,10,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Hoefer,,Marco Hoefer,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.010024413516.02
Yan,ur.01004047467.67,10,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Liao,,Yan Liao,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01004047467.67
Sebastian,ur.012400403403.23,10,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Heidrich,,Sebastian Heidrich,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.012400403403.23
Nicolas,ur.013157777165.42,10,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.424642.2', 'acronym': 'IAF', 'name': 'Institute for Applied Solid State Physics', 'country_name': 'Germany'}]",Wiedmann,,Nicolas Wiedmann,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.013157777165.42
