,FOR,assignee_names,assignees,filing_status,granted_year,id,inventor_names,publication_date,publication_ids,times_cited,title,year
99,"[{'id': '2447', 'name': '0303 Macromolecular and Materials Chemistry'}, {'id': '2837', 'name': '0903 Biomedical Engineering'}]","[""Children's National Medical Center"", ""CHILDREN'S NAT MEDICAL CENTER""]","[{'id': 'grid.412675.3', 'name': 'University of Oklahoma Medical Center', 'country_name': 'United States'}, {'id': 'grid.410332.7', 'name': 'Durham VA Medical Center', 'country_name': 'United States'}, {'id': 'grid.239560.b', 'acronym': 'CNMC', 'name': 'Children’s National Health System', 'country_name': 'United States'}]",Grant,2017.0,US-9561183-B2,"['Rohan Fernandes', 'Matthieu F. DUMONT', 'Raymond W. Sze', 'Laurie S. Conklin', 'Hilary A. Hoffman', 'Jyoti K. Jaiswal']",2017-02-07,"['pub.1028040834', 'pub.1025225532', 'pub.1051094493', 'pub.1039190516']",1,Prussian blue-inspired constructs for multimodal imaging and therapy,2014
100,"[{'id': '2409', 'name': '0205 Optical Physics'}]","['Pacific Biosciences of California Inc', 'PACIFIC BIOSCIENCES CALIFORNIA']","[{'id': 'grid.423340.2', 'name': 'Pacific Biosciences (United States)', 'country_name': 'United States'}]",Grant,2016.0,US-9291568-B2,"['Nathaniel Joseph McCaffrey', 'Stephen Turner', 'Ravi Saxena', 'Scott Edward Helgesen']",2016-03-22,"['pub.1018282016', 'pub.1042156657', 'pub.1052968563', 'pub.1032811413', 'pub.1019508077', 'pub.1005811946', 'pub.1054697975', 'pub.1055076574', 'pub.1061302199', 'pub.1020827190', 'pub.1021160342', 'pub.1015248265', 'pub.1065192290', 'pub.1065219870']",2,Integrated analytical system and method,2014
101,"[{'id': '2409', 'name': '0205 Optical Physics'}]","['Princeton University', 'SUN KANG', 'TAO LEI', 'MILLER DAVID', 'KHAN M AMIR', 'ZONDLO MARK A', 'UNIV PRINCETON']","[{'id': 'grid.16750.35', 'name': 'Princeton University', 'country_name': 'United States'}]",Grant,2015.0,US-8970842-B2,"['Kang Sun', 'Lei Tao', 'David Miller', 'M. Amir Khan', 'Mark A. Zondlo']",2015-03-03,"['pub.1038973821', 'pub.1005967277', 'pub.1014255834', 'pub.1039371317', 'pub.1015290408', 'pub.1029379703', 'pub.1016991433', 'pub.1010888847', 'pub.1008264710', 'pub.1018768128', 'pub.1035830077', 'pub.1008728869', 'pub.1054515076', 'pub.1029871476', 'pub.1027688797', 'pub.1015534353', 'pub.1000553424', 'pub.1031487526', 'pub.1046227608', 'pub.1049475234', 'pub.1046124599', 'pub.1040982161', 'pub.1043693927', 'pub.1027713982', 'pub.1055498066', 'pub.1055515634', 'pub.1021892690', 'pub.1019402443', 'pub.1057795677', 'pub.1061438131', 'pub.1062460389', 'pub.1065110020', 'pub.1065113828', 'pub.1065115523', 'pub.1065118062', 'pub.1065119229', 'pub.1065120548', 'pub.1065121532', 'pub.1065124522', 'pub.1065231768', 'pub.1037655816', 'pub.1045675510', 'pub.1043339331', 'pub.1039489788', 'pub.1004064809', 'pub.1039799353', 'pub.1052246089']",1,Multi-harmonic inline reference cell for optical trace gas sensing,2013
102,"[{'id': '2620', 'name': '0604 Genetics'}]",['UNIV NANYANG TECH'],"[{'id': 'grid.59025.3b', 'acronym': 'NTU', 'name': 'Nanyang Technological University', 'country_name': 'Singapore'}]",Application,,WO-2014209225-A1,"['LING, Han Tong Maurice', 'POH, CHUEH LOO', 'LIM, Yuting Rosary']",2014-12-31,"['pub.1022230476', 'pub.1033735089']",0,PREDICTION OF GENE TRANSCRIPTION INTENSITY AND GENE PERTURBATION,2014
103,"[{'id': '2844', 'name': '0904 Chemical Engineering'}]","['Penn State Research Foundation', 'PENN STATE RES FOUND']","[{'id': 'grid.29857.31', 'acronym': 'PSU', 'name': 'Pennsylvania State University', 'country_name': 'United States'}]",Grant,2016.0,US-9274040-B2,"['Ali Qajar', 'Ramakrishnan Rajagopalan', 'Henry C. Foley']",2016-03-01,['pub.1051777357'],0,Process for characterization of micro and meso porous materials,2014
104,"[{'id': '2447', 'name': '0303 Macromolecular and Materials Chemistry'}, {'id': '2837', 'name': '0903 Biomedical Engineering'}]","[""Children's National Medical Center"", 'CHILDRENS NAT MEDICAL CENTER']","[{'id': 'grid.239560.b', 'acronym': 'CNMC', 'name': 'Children’s National Health System', 'country_name': 'United States'}, {'id': 'grid.410332.7', 'name': 'Durham VA Medical Center', 'country_name': 'United States'}, {'id': 'grid.412675.3', 'name': 'University of Oklahoma Medical Center', 'country_name': 'United States'}]",Grant,2018.0,US-9987378-B2,"['Rohan Fernandes', 'Matthieu F. DUMONT', 'Raymond W. Sze', 'Laurie S. Conklin', 'Hilary A. Hoffman', 'Jyoti K. Jaiswal']",2018-06-05,"['pub.1028040834', 'pub.1025225532', 'pub.1051094493', 'pub.1039190516']",0,Prussian blue-inspired constructs for multimodal imaging and therapy,2016
105,"[{'id': '2790', 'name': '0806 Information Systems'}]","['Facebook Inc', 'FACEBOOK INC']","[{'id': 'grid.453567.6', 'acronym': 'FB', 'name': 'Facebook (United States)', 'country_name': 'United States'}]",Grant,2018.0,US-9882863-B2,"['Lex Arquette', 'David Y. Chen', 'Emily B. Grewal', 'Denise Moreno', 'Florin Ratiu', 'Yanxin Shi', 'Kiranjit Singh Sidhu', 'Ching-Chih Weng', 'Huan Yang']",2018-01-30,['pub.1048413246'],1,Methods and systems for optimizing messages to users of a social network,2017
106,"[{'id': '2409', 'name': '0205 Optical Physics'}]","['Pacific Biosciences of California Inc', 'PACIFIC BIOSCIENCES CALIFORNIA']","[{'id': 'grid.423340.2', 'name': 'Pacific Biosciences (United States)', 'country_name': 'United States'}]",Grant,2015.0,US-8994946-B2,"['Nathaniel Joseph McCaffrey', 'Stephen Turner', 'Ravi Saxena']",2015-03-31,"['pub.1042156657', 'pub.1052968563', 'pub.1005811946', 'pub.1054697975', 'pub.1055076574', 'pub.1061302199', 'pub.1020827190', 'pub.1021160342', 'pub.1015248265', 'pub.1065192290', 'pub.1065219870']",7,Integrated analytical system and method,2012
107,"[{'id': '2790', 'name': '0806 Information Systems'}]","['Facebook Inc', 'FACEBOOK INC']","[{'id': 'grid.453567.6', 'acronym': 'FB', 'name': 'Facebook (United States)', 'country_name': 'United States'}]",Application,,US-20150074215-A1,"['Lex Arquette', 'David Y. Chen', 'Emily Grewal', 'Denise Moreno', 'Florin Ratiu', 'Yanxin Shi', 'Kiranjit Singh Sidhu', 'Ching-Chih Weng', 'Huan Yang']",2015-03-12,['pub.1048413246'],4,Methods And Systems For Optimizing Messages To Users Of A Social Network,2014
108,"[{'id': '2921', 'name': '0912 Materials Engineering'}]","['East China University of Science and Technology', 'ZHENG ZHIGANG', 'UNIV EAST CHINA SCIENCE & TECH']","[{'id': 'grid.28056.39', 'acronym': 'ECUST', 'name': 'East China University of Science and Technology', 'country_name': 'China'}]",Grant,2016.0,US-9238776-B2,['Zhigang Zheng'],2016-01-19,"['pub.1011176839', 'pub.1051425715', 'pub.1005132593', 'pub.1056176718', 'pub.1047995168', 'pub.1050469865', 'pub.1046419376', 'pub.1001995845', 'pub.1057911981', 'pub.1057928826', 'pub.1057941597', 'pub.1034001661', 'pub.1024792071', 'pub.1038382488', 'pub.1042935445', 'pub.1061278620', 'pub.1061278727', 'pub.1063030957', 'pub.1065194200', 'pub.1065196398', 'pub.1065228255', 'pub.1065230048']",0,Liquid crystal blue phase,2012
