filing_status,title,id,publication_date,assignee_names,inventor_names,FOR,assignees,year,publication_ids,times_cited,granted_year
Application,METHOD AND CONTROL COMMAND GENERATION UNIT FOR AUTOMATIC GENERATION OF CONTROL COMMANDS OF A GENERATIVE LAYER CONSTRUCTION DEVICE,WO-2016166337-A1,2016-10-20,['EOS GMBH ELECTRO OPTICAL SYSTEMS'],"['HÜMMELER, Ludger', 'SEMMLER, MANFRED', 'MAYER, SIEGFRIED', 'FROHNMAIER, MARKUS']","[{'id': '2746', 'name': '0801 Artificial Intelligence and Image Processing'}]","[{'id': 'grid.424585.a', 'city_name': 'Munich', 'acronym': 'EOS', 'name': 'Electro Optical Systems (Germany)', 'country_name': 'Germany'}]",2016,"['pub.1042212091', 'pub.1047690475']",1.0,
Application,LASER BEAM WELDING METHOD AND MOLDED COMPONENTS FABRICATED THEREBY,US-20130022766-A1,2013-01-24,"['EMS Patent AG', 'EMS PATENT AG', 'BUTZKE JENS', 'WUERTHNER STEFAN', 'LAMBERTS NIKOLAI', 'DUEBON PIERRE', 'BERTRAM SABINE', 'CAVIEZEL HEINZ']","['Jens BUTZKE', 'Stefan Würthner', 'Nikolai Lamberts', 'Pierre Dübon', 'Sabine BERTRAM', 'Heinz CAVIEZEL']","[{'id': '2899', 'name': '0910 Manufacturing Engineering'}]","[{'id': 'grid.480170.a', 'city_name': 'Herrliberg', 'name': 'EMS (Switzerland)', 'country_name': 'Switzerland'}]",2012,"['pub.1049704950', 'pub.1047570431']",2.0,
Grant,High-gain face-pumped slab-amplifier,US-8873136-B2,2014-10-28,"['Coherent Inc', 'COHERENT INC']","['Andrei Starodoumov', 'Norman Hodgson']","[{'id': '2409', 'name': '0205 Optical Physics'}]","[{'id': 'grid.436558.9', 'city_name': 'Santa Clara', 'name': 'Coherent (United States)', 'country_name': 'United States'}]",2013,"['pub.1065220259', 'pub.1065190861']",1.0,2014.0
Grant,Spatially splitting or combining radiation beams,US-9625728-B2,2017-04-18,"['Max-Planck-Gesellschaft zur Forderung der Wissenschaften', 'PUPEZA IOACHIM', 'KRAUSZ FERENC', 'MAX-PLANCK-GESELLSCHAFT ZUR FOERDERUNG DER WSS E V']","['Ioachim Pupeza', 'Ferenc Krausz']","[{'id': '2421', 'name': '0299 Other Physical Sciences'}]","[{'id': 'grid.4372.2', 'city_name': 'Munich', 'acronym': 'MPG', 'name': 'Max Planck Society', 'country_name': 'Germany'}]",2012,"['pub.1065228094', 'pub.1065190861', 'pub.1065183765', 'pub.1065169932', 'pub.1039480297', 'pub.1065226035', 'pub.1065228782', 'pub.1065213685', 'pub.1065225425']",,2017.0
Grant,Regenerating an additively manufactured component,US-9375782-B2,2016-06-28,"['United Technologies Corp', 'UNITED TECHNOLOGIES CORP']","['John McBrien', 'Lea Kennard Castle', 'Brandon W. Spangler', 'Jinquan Xu']","[{'id': '2899', 'name': '0910 Manufacturing Engineering'}]","[{'id': 'grid.427377.2', 'city_name': 'East Hartford', 'acronym': 'UTC', 'name': 'United Technologies (United States)', 'country_name': 'United States'}]",2014,['pub.1040299846'],,2016.0
Grant,All fiber low dynamic pointing high power LMA fiber amplifier,US-9356418-B2,2016-05-31,"['nLight Inc', 'NLIGHT PHOTONICS CORP', 'NLIGHT INC']","['Matthieu Saracco', 'David Logan', 'Timothy S. McComb', 'Jared Green']","[{'id': '2867', 'name': '0906 Electrical and Electronic Engineering'}]","[{'id': 'grid.431906.9', 'city_name': 'Vancouver', 'name': 'nLIGHT (United States)', 'country_name': 'United States'}]",2013,"['pub.1065228094', 'pub.1061301157', 'pub.1065190861', 'pub.1061702966']",1.0,2016.0
Application,ADDITIVE MANUFACTURING METHOD AND APPARATUS,WO-2014071135-A1,2014-05-08,['GEN ELECTRIC'],"['KENNEY, Patrick, Michael', 'LINDLEY, Dustin, Eugene']","[{'id': '2921', 'name': '0912 Materials Engineering'}]","[{'id': 'grid.418143.b', 'city_name': 'Boston', 'acronym': 'GE', 'name': 'General Electric (United States)', 'country_name': 'United States'}]",2013,"['pub.1016766111', 'pub.1036167234']",19.0,
Application,Method and apparatus for sorting microparticles in a fluid stream,DE-102014116567-A1,2016-05-12,"['Fraunhofer Gesellschaft zur Forderung der Angewandten Forschung eV', 'FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E V']","['Achim Lenenbach', 'Reinhard Noll', 'Georg Meineke', 'Harald Mathis']","[{'id': '2867', 'name': '0906 Electrical and Electronic Engineering'}]","[{'id': 'grid.4561.6', 'city_name': 'Munich', 'acronym': 'FHG', 'name': 'Fraunhofer Society', 'country_name': 'Germany'}]",2014,['pub.1039745879'],,
Grant,"Temperature sensing apparatus, laser processing system, and temperature measuring method",US-9533375-B2,2017-01-03,"['Industrial Technology Research Institute', 'IND TECH RES INST']","['Chia-Hung Cho', 'Yi-Chen Hsieh', 'Kai-Ping Chuang', 'Sen-Yih Chou', 'Chun-Jen Lin']","[{'id': '2867', 'name': '0906 Electrical and Electronic Engineering'}]","[{'id': 'grid.418030.e', 'city_name': 'Hsinchu', 'acronym': 'ITRI', 'name': 'Industrial Technology Research Institute', 'country_name': 'Taiwan'}]",2014,"['pub.1006630163', 'pub.1014361581', 'pub.1070927540', 'pub.1014116803', 'pub.1035892231']",,2017.0
Grant,Object forming assembly,US-9346119-B2,2016-05-24,"['Rolls Royce PLC', 'WILKINSON STEPHEN J', 'TAYLOR JONATHAN M', 'ROLLS ROYCE PLC']","['Stephen J. WILKINSON', 'Jonathan M. Taylor']","[{'id': '2899', 'name': '0910 Manufacturing Engineering'}]","[{'id': 'grid.1121.3', 'city_name': 'Derby', 'name': 'Rolls-Royce (United Kingdom)', 'country_name': 'United Kingdom'}]",2011,['pub.1014120524'],,2016.0
Grant,Plasma dicing with blade saw patterned underside mask,US-9847258-B2,2017-12-19,"['NXP BV', 'NXP BV']","['THOMAS ROHLEDER', 'Hartmut BUENNING', 'Guido Albermann', 'Sascha MOELLER', 'Martin Lapke']","[{'id': '2921', 'name': '0912 Materials Engineering'}]","[{'id': 'grid.5887.2', 'city_name': 'Eindhoven', 'name': 'NXP (Netherlands)', 'country_name': 'Netherlands'}]",2015,"['pub.1033388599', 'pub.1026312776']",,2017.0
Grant,Hybrid laser amplifier system including active taper,US-8873134-B2,2014-10-28,"['nLight Inc', 'PRICE R KIRK', 'LACHAPELLE JOSEPH G', 'SARACCO MATTHIEU', 'MCCOMB TIMOTHY S', 'FARMER JASON N', 'NLIGHT PHOTONICS CORP']","['R. Kirk Price', 'Joseph G. LaChapelle', 'Matthieu Saracco', 'Timothy S. McComb', 'Jason N. Farmer']","[{'id': '2409', 'name': '0205 Optical Physics'}]","[{'id': 'grid.431906.9', 'city_name': 'Vancouver', 'name': 'nLIGHT (United States)', 'country_name': 'United States'}]",2012,"['pub.1065228094', 'pub.1061702966', 'pub.1061301157', 'pub.1065190861']",10.0,2014.0
Grant,Single mode fiber combiners,US-9494738-B1,2016-11-15,"['nLight Inc', 'FARMER JASON N', 'WAARTS ROBERT G', 'EDGECUMBE JOHN', 'NLIGHT INC']","['Jason N. Farmer', 'Robert G. Waarts', 'John Edgecumbe']","[{'id': '2409', 'name': '0205 Optical Physics'}]","[{'id': 'grid.431906.9', 'city_name': 'Vancouver', 'name': 'nLIGHT (United States)', 'country_name': 'United States'}]",2009,"['pub.1065228094', 'pub.1065190861', 'pub.1061301157', 'pub.1061702966']",1.0,2016.0
Grant,UV-green converting fiber laser using active tapers,US-9285541-B2,2016-03-15,"['nLight Inc', 'SARACCO MATTHIEU', 'FARMER JASON N', 'KEENEY SCOTT H', 'MCCOMB TIMOTHY S', 'NLIGHT PHOTONICS CORP']","['Matthieu Saracco', 'Jason N. Farmer', 'Scott H. Keeney', 'Timothy S. McComb']","[{'id': '2409', 'name': '0205 Optical Physics'}]","[{'id': 'grid.431906.9', 'city_name': 'Vancouver', 'name': 'nLIGHT (United States)', 'country_name': 'United States'}]",2012,"['pub.1061702966', 'pub.1061301157', 'pub.1065190861', 'pub.1065228094']",,2016.0
Application,CONVEYING AND SEPARATING PIECES OF RAW MATERIAL,WO-2017013143-A1,2017-01-26,['ProASSORT GmbH'],"['PILLKAHN, HANS-BERND']","[{'id': '2471', 'name': '0306 Physical Chemistry (incl. Structural)'}]",,2016,"['pub.1019783030', 'pub.1035117249']",1.0,
Application,APPARATUS AND METHOD FOR POWDER-BASED LASER BUILD-UP WELDING,WO-2017001098-A1,2017-01-05,['SIEMENS AG'],"['LUPP, FRIEDRICH']","[{'id': '2421', 'name': '0299 Other Physical Sciences'}]","[{'id': 'grid.5406.7', 'city_name': 'Munich', 'name': 'Siemens (Germany)', 'country_name': 'Germany'}]",2016,['pub.1000048024'],,
Application,"METHOD FOR PRODUCING AN OPTOELECTRONIC ARRANGEMENT, AND OPTOELECTRONIC ARRANGEMENT",WO-2015117860-A1,2015-08-13,['OSRAM OLED GMBH'],"['KRUMMACHER, BENJAMIN CLAUS', 'SCHICKTANZ, Simon', 'SCHWAMB, Philipp']","[{'id': '2921', 'name': '0912 Materials Engineering'}]","[{'id': 'grid.426230.1', 'city_name': 'Munich', 'name': 'OSRAM (Germany)', 'country_name': 'Germany'}]",2015,['pub.1024547735'],,
Grant,Intermediate additively manufactured component,US-9482103-B2,2016-11-01,"['United Technologies Corp', 'UNITED TECHNOLOGIES CORP']","['John McBrien', 'Lea Kennard Castle', 'Brandon W. Spangler', 'Jinquan Xu']","[{'id': '2921', 'name': '0912 Materials Engineering'}]","[{'id': 'grid.427377.2', 'city_name': 'East Hartford', 'acronym': 'UTC', 'name': 'United Technologies (United States)', 'country_name': 'United States'}]",2016,['pub.1040299846'],1.0,2016.0
Grant,Skillful three-dimensional printing,US-10071422-B2,2018-09-11,"['Velo3D Inc', 'VELO3D INC']","['Benyamin Buller', 'Erel Milshtein', 'Thomas Blasius BREZOCZKY', 'Zachary Ryan Murphree', 'Daniel Christiansen', 'Alan Rick Lappen']","[{'id': '2746', 'name': '0801 Artificial Intelligence and Image Processing'}]",,2016,"['pub.1044566045', 'pub.1062074256', 'pub.1020423046', 'pub.1031531356', 'pub.1064448245', 'pub.1091513431', 'pub.1033006436', 'pub.1005548235', 'pub.1050932299', 'pub.1010076823', 'pub.1092778101', 'pub.1040936605', 'pub.1000912738']",4.0,2018.0
Grant,Adept three-dimensional printing,US-9662840-B1,2017-05-30,"['Velo3D Inc', 'VELO3D INC']","['Benyamin Buller', 'Tasso LAPPAS', 'Evgeni Levin']","[{'id': '2746', 'name': '0801 Artificial Intelligence and Image Processing'}]",,2016,"['pub.1064448245', 'pub.1005548235', 'pub.1050932299', 'pub.1062074256', 'pub.1000912738', 'pub.1031531356', 'pub.1033006436']",18.0,2017.0
Grant,"Apparatuses, systems and methods for three-dimensional printing",US-9399256-B2,2016-07-26,"['Velo3D Inc', 'VELO3D INC']","['Benyamin Buller', 'Erel Milshtein', 'Thai Cheng Chua']","[{'id': '2746', 'name': '0801 Artificial Intelligence and Image Processing'}]",,2015,"['pub.1033006436', 'pub.1005548235', 'pub.1000912738', 'pub.1031531356', 'pub.1062074256', 'pub.1051204657']",27.0,2016.0
Grant,Laser ablation of electronic devices,US-RE45885-E1,2016-02-09,"['FlexEnable Ltd', 'PLASTIC LOGIC LTD', 'FLEXENABLE LTD']","['Paul A. Cain', 'Carl Hayton']","[{'id': '2837', 'name': '0903 Biomedical Engineering'}]","[{'id': 'grid.460210.1', 'city_name': 'Cambridge', 'name': 'FlexEnable (United Kingdom)', 'country_name': 'United Kingdom'}, {'id': 'grid.423159.8', 'city_name': 'Cambridge', 'name': 'Plastic Logic (United Kingdom)', 'country_name': 'United Kingdom'}]",2006,"['pub.1029944948', 'pub.1010306034', 'pub.1014464305', 'pub.1037418464', 'pub.1041976792', 'pub.1027550244', 'pub.1062567050']",,2016.0
Application,POWER SEMICONDUCTOR MODULE COMPONENTS AND ADDITIVE MANUFACTURING THEREOF,EP-3261119-A1,2017-12-27,"['Infineon Technologies AG', 'INFINEON TECHNOLOGIES AG']","['WILKE, ULRICH', 'CORDES, ACHIM', 'Mücke, Achim', 'TSCHIRBS, ROMAN', 'HOHLFELD, OLAF']","[{'id': '2921', 'name': '0912 Materials Engineering'}]","[{'id': 'grid.410337.2', 'city_name': 'Munich', 'name': 'Infineon Technologies (Germany)', 'country_name': 'Germany'}]",2016,['pub.1093812764'],,
Application,Method for photo-immobilizing biomolecules on substantially non-porous carriers,EP-2982698-A1,2016-02-10,"['Commissariat a l Energie Atomique et aux Energies Alternatives', 'COMMISSARIAT À L ÉNERGIE ATOMIQUE ET AUX ÉNERGIES ALTERNATIVES']","['Credou, Julie', 'BERTHELOT, THOMAS', 'FADDOUL, RITA']","[{'id': '3021', 'name': '1007 Nanotechnology'}]","[{'id': 'grid.5583.b', 'city_name': 'Paris', 'acronym': 'CEA', 'name': 'Atomic Energy and Alternative Energies Commission', 'country_name': 'France'}]",2014,"['pub.1030781922', 'pub.1002113348', 'pub.1027414648']",,
Grant,Device and method for powder distribution and additive manufacturing method using the same,US-9533350-B2,2017-01-03,"['Industrial Technology Research Institute', 'ZHUANG CHUAN-SHENG', 'LIN CHING-CHIH', 'LIN STEVEN', 'TAI WEI-LUN', 'TSENG WEN-PENG', 'HORNG JI-BIN', 'IND TECH RES INST']","['Chuan-Sheng Zhuang', 'Ching-Chih Lin', 'Steven Lin', 'Wei-Lun Tai', 'Wen-Peng Tseng', 'Ji-Bin Horng']","[{'id': '2899', 'name': '0910 Manufacturing Engineering'}]","[{'id': 'grid.418030.e', 'city_name': 'Hsinchu', 'acronym': 'ITRI', 'name': 'Industrial Technology Research Institute', 'country_name': 'Taiwan'}]",2012,"['pub.1001904828', 'pub.1003208394', 'pub.1014120524', 'pub.1041008396']",1.0,2017.0
Grant,Adept three-dimensional printing,US-9676145-B2,2017-06-13,"['Velo3D Inc', 'VELO3D INC']","['Benyamin Buller', 'Erel Milshtein']","[{'id': '2746', 'name': '0801 Artificial Intelligence and Image Processing'}]",,2016,"['pub.1000912738', 'pub.1064448245', 'pub.1062074256', 'pub.1050932299', 'pub.1033006436', 'pub.1031531356', 'pub.1005548235']",15.0,2017.0
