filing_status,title,id,publication_date,assignee_names,inventor_names,FOR,assignees,year,publication_ids,times_cited,granted_year
Grant,Method and apparatus for controlling freezing nucleation and propagation,US-7293423-B2,2007-11-13,"['Vertiv Corp', 'COOLIGY INC']","['Girish Upadhya', 'Richard Grant Brewer', 'Mark McMaster']","[{'id': '2509', 'name': '0403 Geology'}]",,2005,"['pub.1016207703', 'pub.1051823674', 'pub.1027147727', 'pub.1062093147', 'pub.1061240801', 'pub.1032058262', 'pub.1061202257', 'pub.1062093365', 'pub.1026362500', 'pub.1032646285', 'pub.1061240826', 'pub.1044066079', 'pub.1018185925', 'pub.1016437062', 'pub.1061240737', 'pub.1006760586', 'pub.1046988861', 'pub.1054972476', 'pub.1020342631', 'pub.1061250252', 'pub.1061240864', 'pub.1031711959', 'pub.1025663466']",15.0,2007.0
Grant,Micro-fabricated electrokinetic pump,US-7449122-B2,2008-11-11,"['Vertiv Corp', 'COOLIGY INC']","['David Corbin', 'Kenneth Goodson', 'Thomas Kenny', 'Juan Santiago', 'Shulin Zeng']","[{'id': '2921', 'name': '0912 Materials Engineering'}]",,2004,"['pub.1016207703', 'pub.1051823674', 'pub.1027147727', 'pub.1062093147', 'pub.1061240801', 'pub.1032058262', 'pub.1061202257', 'pub.1062093365', 'pub.1026362500', 'pub.1032646285', 'pub.1061240826', 'pub.1044066079', 'pub.1018185925', 'pub.1016437062', 'pub.1006760586', 'pub.1046988861', 'pub.1054972476', 'pub.1020342631', 'pub.1061250252', 'pub.1061240864', 'pub.1031711959', 'pub.1025663466']",15.0,2008.0
Grant,Implantable capacitive pressure sensor apparatus and methods regarding same,US-8424388-B2,2013-04-23,"['Medtronic Inc', 'MATTES MICHAEL F', 'RUBEN DAVID A', 'MEDTRONIC INC']","['Michael F. Mattes', 'David A. Ruben']","[{'id': '2867', 'name': '0906 Electrical and Electronic Engineering'}, {'id': '2837', 'name': '0903 Biomedical Engineering'}]","[{'id': 'grid.419673.e', 'city_name': 'Minneapolis', 'acronym': 'Medtronic', 'name': 'Medtronic (United States)', 'country_name': 'United States'}]",2011,"['pub.1012452182', 'pub.1006292747', 'pub.1061240577']",5.0,2013.0
Application,METHOD AND DEVICE FOR THE SPECTRAL ANALYSIS OF A METAL COATING LAYER DEPOSITED ON THE SURFACE OF A STEEL STRIP,US-20120076922-A1,2012-03-29,"['Primetals Technologies France SAS', 'PERRET JEAN', 'MICHAUT MARC', 'CLOUTOT LAURENT', 'SIEMENS VAI METALS TECH SAS']","['Jean Perret', 'Marc Michaut', 'Laurent Cloutot']","[{'id': '2921', 'name': '0912 Materials Engineering'}]","[{'id': 'grid.462545.4', 'city_name': 'Rennes', 'acronym': 'SAS', 'name': 'Soil Agro and Hydrosystems Spatialization', 'country_name': 'France'}]",2009,"['pub.1033765774', 'pub.1042619448']",2.0,
Grant,Orthopaedic implants and methods of forming implant structures,US-9034048-B2,2015-05-19,['CHOREN JOHN A'],['JOHN A. CHOREN'],,,2012,"['pub.1068899682', 'pub.1049724267', 'pub.1007596227', 'pub.1012566410', 'pub.1060156202', 'pub.1040217162', 'pub.1060167221', 'pub.1031307381', 'pub.1052460323', 'pub.1060164897', 'pub.1008897263', 'pub.1080064251', 'pub.1035111211', 'pub.1011168839', 'pub.1053428729', 'pub.1013788699', 'pub.1082687168', 'pub.1060164449', 'pub.1002995455', 'pub.1068895220', 'pub.1000863582', 'pub.1064455074', 'pub.1033518823', 'pub.1060160261', 'pub.1035896773', 'pub.1052068970', 'pub.1068895836', 'pub.1042917735', 'pub.1051475250', 'pub.1068893558', 'pub.1060164246', 'pub.1017144940', 'pub.1043024240', 'pub.1018021287', 'pub.1035829729', 'pub.1027581511', 'pub.1068892827', 'pub.1009408131', 'pub.1023137577', 'pub.1077984886', 'pub.1060169011', 'pub.1053348383', 'pub.1005419752', 'pub.1062082434', 'pub.1064885722', 'pub.1041438505', 'pub.1069061258', 'pub.1068891195', 'pub.1064454489', 'pub.1064454734', 'pub.1060169012', 'pub.1028347398', 'pub.1016055476', 'pub.1062135281', 'pub.1032064035', 'pub.1037053215', 'pub.1036705069', 'pub.1039028706', 'pub.1043695931', 'pub.1033801712', 'pub.1068893269', 'pub.1034000366', 'pub.1062068846', 'pub.1051936424', 'pub.1034347644', 'pub.1062101176', 'pub.1068888418', 'pub.1002018470', 'pub.1036146315', 'pub.1010399606', 'pub.1060165812', 'pub.1050714812', 'pub.1033234305', 'pub.1021430831', 'pub.1001135163', 'pub.1064449760', 'pub.1045707494', 'pub.1052327785', 'pub.1060158595', 'pub.1042839488', 'pub.1027544354', 'pub.1001107006', 'pub.1013151170', 'pub.1079968947', 'pub.1049018636', 'pub.1019181333', 'pub.1060164439', 'pub.1060164443', 'pub.1045538610', 'pub.1082760511', 'pub.1020076932', 'pub.1060161605', 'pub.1053282013', 'pub.1060162629', 'pub.1060163950', 'pub.1068892762', 'pub.1032535581', 'pub.1042202257', 'pub.1028932954', 'pub.1082809450', 'pub.1006085499', 'pub.1032749684', 'pub.1064467840', 'pub.1018740050', 'pub.1060168119', 'pub.1028305988', 'pub.1060166187']",5.0,2015.0
Grant,Liquid cooling loops for server applications,US-7599184-B2,2009-10-06,"['Vertiv Corp', 'COOLIGY INC']","['Girish Upadhya', 'Mark Munch', 'Norman Chow', 'Paul Tsao', 'Douglas E. Werner', 'Mark McMaster', 'Frederic Landry', 'Ian Spearing', 'Tim Schrader']","[{'id': '2953', 'name': '0915 Interdisciplinary Engineering'}]",,2007,"['pub.1016207703', 'pub.1051823674', 'pub.1027147727', 'pub.1062093147', 'pub.1061240801', 'pub.1061240783', 'pub.1032058262', 'pub.1061202257', 'pub.1062093365', 'pub.1026362500', 'pub.1038340041', 'pub.1061143520', 'pub.1032646285', 'pub.1061240826', 'pub.1044066079', 'pub.1018185925', 'pub.1016437062', 'pub.1061240737', 'pub.1006760586', 'pub.1046988861', 'pub.1054972476', 'pub.1020342631', 'pub.1061250252', 'pub.1061240864', 'pub.1025663466']",60.0,2009.0
Grant,System including power conditioning modules,US-6678168-B2,2004-01-13,"['Cooligy Inc', 'COOLIGY INC']","['Thomas William Kenny, Jr.', 'Kenneth E. Goodson', 'Juan G. Santiago', 'John J. Kim', 'Robert C. Chaplinsky', 'George Carl Everett, Jr.']","[{'id': '2867', 'name': '0906 Electrical and Electronic Engineering'}]",,2002,"['pub.1018635528', 'pub.1062093364', 'pub.1061202257', 'pub.1051778844', 'pub.1054972476', 'pub.1032646285', 'pub.1016437062', 'pub.1054617201', 'pub.1031711959', 'pub.1068145409', 'pub.1016207703', 'pub.1014473797', 'pub.1000548649', 'pub.1022572272', 'pub.1061154998', 'pub.1043668971', 'pub.1061148007', 'pub.1006760586', 'pub.1018276069', 'pub.1003756840', 'pub.1051823674', 'pub.1018185925', 'pub.1062085594', 'pub.1044066079', 'pub.1061202255', 'pub.1061250704', 'pub.1062093147', 'pub.1068145831', 'pub.1029702020', 'pub.1025663466', 'pub.1061240801', 'pub.1027147727', 'pub.1036853529', 'pub.1002421542', 'pub.1061250252', 'pub.1054970934', 'pub.1030659284', 'pub.1045848034', 'pub.1026362500', 'pub.1061202134', 'pub.1061258769', 'pub.1062081901', 'pub.1046988861', 'pub.1062093365', 'pub.1054992280', 'pub.1008054359', 'pub.1061240783', 'pub.1061146667', 'pub.1062081885', 'pub.1038340041', 'pub.1061240826', 'pub.1056770990', 'pub.1033879824', 'pub.1020342631', 'pub.1001160789', 'pub.1061143520', 'pub.1009242913', 'pub.1061240737']",70.0,2004.0
Grant,Remedies to prevent cracking in a liquid system,US-7278549-B2,2007-10-09,"['Vertiv Corp', 'COOLIGY INC']","['Mark Munch', 'Kenneth Goodson', 'David Corbin', 'Shulin Zeng', 'Thomas W. Kenny', 'James Gill Shook']","[{'id': '2953', 'name': '0915 Interdisciplinary Engineering'}]",,2005,"['pub.1016207703', 'pub.1051823674', 'pub.1027147727', 'pub.1062093147', 'pub.1061240801', 'pub.1032058262', 'pub.1061202257', 'pub.1062093365', 'pub.1026362500', 'pub.1032646285', 'pub.1061240826', 'pub.1044066079', 'pub.1018185925', 'pub.1016437062', 'pub.1061240737', 'pub.1006760586', 'pub.1046988861', 'pub.1054972476', 'pub.1020342631', 'pub.1061250252', 'pub.1061240864', 'pub.1031711959', 'pub.1025663466']",15.0,2007.0
Grant,Remedies to prevent cracking in a liquid system,US-7402029-B2,2008-07-22,"['Cooligy Inc', 'COOLIGY INC']","['Mark Munch', 'Kenneth Goodson', 'David Corbin', 'Shulin Zeng', 'Thomas W. Kenny', 'James Gill Shook']","[{'id': '2953', 'name': '0915 Interdisciplinary Engineering'}]",,2005,"['pub.1061240737', 'pub.1061202257', 'pub.1027147727', 'pub.1062093147', 'pub.1051823674', 'pub.1025663466', 'pub.1006760586', 'pub.1032646285', 'pub.1061240826', 'pub.1061240864', 'pub.1054972476', 'pub.1026362500', 'pub.1031711959', 'pub.1016207703', 'pub.1032058262', 'pub.1016437062', 'pub.1044066079', 'pub.1061250252', 'pub.1046988861', 'pub.1061240801', 'pub.1018185925', 'pub.1062093365', 'pub.1020342631']",15.0,2008.0
Application,DEVICE FOR APPLYING LASER RADIATION TO THE OUTSIDE OF A ROTATIONALLY SYMMETRIC COMPONENT,WO-2014184233-A1,2014-11-20,['LIMO PATENTVERWALTUNG GMBH'],"['MITRA, THOMAS']","[{'id': '2421', 'name': '0299 Other Physical Sciences'}]",,2014,['pub.1015945371'],,
Grant,Coatings for medical devices comprising a therapeutic agent and a metallic material,US-8815275-B2,2014-08-26,"['Boston Scientific Scimed Inc', 'ZHOU PU', 'BOSTON SCIENT SCIMED INC']",['Pu Zhou'],"[{'id': '2837', 'name': '0903 Biomedical Engineering'}, {'id': '2921', 'name': '0912 Materials Engineering'}]","[{'id': 'grid.418905.1', 'city_name': 'Marlborough', 'acronym': 'BSC', 'name': 'Boston Scientific (United States)', 'country_name': 'United States'}]",2006,"['pub.1032653789', 'pub.1057821948', 'pub.1028544686', 'pub.1046145325', 'pub.1055833681', 'pub.1007117388', 'pub.1062200368', 'pub.1057824939', 'pub.1114752712', 'pub.1061713649', 'pub.1056170751', 'pub.1055406636', 'pub.1008678593', 'pub.1056150978', 'pub.1021437341', 'pub.1050931428', 'pub.1039768814', 'pub.1001377480', 'pub.1053419261', 'pub.1042079780', 'pub.1000997382', 'pub.1062200707', 'pub.1057820833', 'pub.1002639852', 'pub.1057719019', 'pub.1049650081', 'pub.1033457479', 'pub.1036305541', 'pub.1046793890', 'pub.1063337863', 'pub.1034602178', 'pub.1033574998', 'pub.1020947292', 'pub.1050953168', 'pub.1048113433', 'pub.1013657657', 'pub.1011542529', 'pub.1007402316', 'pub.1052571324', 'pub.1006409050', 'pub.1049558471', 'pub.1025265001', 'pub.1062191879', 'pub.1044377277', 'pub.1055418466', 'pub.1007839370', 'pub.1003669586', 'pub.1006206802', 'pub.1027996179', 'pub.1000493526', 'pub.1017645370', 'pub.1016924950', 'pub.1002548594', 'pub.1057721182', 'pub.1062189014', 'pub.1014803123', 'pub.1056149270', 'pub.1027564391', 'pub.1033787686', 'pub.1003688785', 'pub.1020080628', 'pub.1056170334', 'pub.1017724406', 'pub.1027759826', 'pub.1020093119', 'pub.1028013940', 'pub.1003054019', 'pub.1009352671', 'pub.1019256038', 'pub.1056150693', 'pub.1027717620', 'pub.1018777428', 'pub.1007103427', 'pub.1003449659', 'pub.1062200065', 'pub.1046438934', 'pub.1030610832', 'pub.1013323552', 'pub.1035615319', 'pub.1022085158', 'pub.1035659043', 'pub.1043604510', 'pub.1007567698', 'pub.1007920340', 'pub.1042355027', 'pub.1045627889', 'pub.1040443459', 'pub.1042627257', 'pub.1003009597', 'pub.1050563154', 'pub.1004287407', 'pub.1029412304', 'pub.1035226599', 'pub.1045053987', 'pub.1009410180', 'pub.1038082062', 'pub.1031125182', 'pub.1039306465', 'pub.1009512821', 'pub.1041558774', 'pub.1023230630', 'pub.1049087367', 'pub.1002373369', 'pub.1055408283', 'pub.1013410126', 'pub.1057684407', 'pub.1053789837', 'pub.1063068097', 'pub.1003786809', 'pub.1027120772', 'pub.1072060794', 'pub.1049118318', 'pub.1062561887', 'pub.1016875911', 'pub.1016483227', 'pub.1001553211', 'pub.1056168268', 'pub.1026054487', 'pub.1010524923', 'pub.1055412433', 'pub.1042784445', 'pub.1057678162', 'pub.1041361405', 'pub.1020135036', 'pub.1030165648', 'pub.1025354434', 'pub.1002766626', 'pub.1043410077', 'pub.1055835022', 'pub.1028290346', 'pub.1038985147', 'pub.1005948427', 'pub.1052816319', 'pub.1015531206', 'pub.1018680910', 'pub.1011266587', 'pub.1027697769', 'pub.1045208121', 'pub.1021078294', 'pub.1048835468', 'pub.1015502082', 'pub.1029731457', 'pub.1010990538', 'pub.1026359554', 'pub.1049746421', 'pub.1051902055', 'pub.1014085537', 'pub.1063070126', 'pub.1047648118', 'pub.1047286723', 'pub.1040993876', 'pub.1005973132', 'pub.1051794943', 'pub.1028418122', 'pub.1036141803', 'pub.1022259940', 'pub.1064034358', 'pub.1018765349', 'pub.1038443191', 'pub.1051264232', 'pub.1050758877', 'pub.1010891315', 'pub.1037848160', 'pub.1004152556', 'pub.1039488413', 'pub.1046594554', 'pub.1052359436', 'pub.1003342470', 'pub.1027814057', 'pub.1017435625', 'pub.1016912257', 'pub.1053504767', 'pub.1056150231', 'pub.1028018727', 'pub.1005675280', 'pub.1069338739', 'pub.1034603494', 'pub.1010637780', 'pub.1043258019', 'pub.1023014727', 'pub.1050381579', 'pub.1010736548', 'pub.1034381782', 'pub.1018107700', 'pub.1062190609', 'pub.1034150222', 'pub.1017488135', 'pub.1003892489', 'pub.1057821340', 'pub.1021500949', 'pub.1040185176', 'pub.1040106316', 'pub.1042628680', 'pub.1001336735', 'pub.1051571088', 'pub.1014251731', 'pub.1035359764', 'pub.1026615926', 'pub.1062167924', 'pub.1052571605', 'pub.1000626895', 'pub.1011773673', 'pub.1019524134', 'pub.1004555092', 'pub.1062169305', 'pub.1019888032', 'pub.1040355376', 'pub.1056144803', 'pub.1022807243', 'pub.1024128636', 'pub.1047382986', 'pub.1032973628', 'pub.1008822340', 'pub.1043804724', 'pub.1003672973', 'pub.1000339169', 'pub.1045743942', 'pub.1056141492', 'pub.1050357255', 'pub.1062200497', 'pub.1047750950', 'pub.1017211740', 'pub.1045252890', 'pub.1037002587', 'pub.1029017295', 'pub.1052072026', 'pub.1044334813', 'pub.1056216284', 'pub.1049916499', 'pub.1020861291', 'pub.1027756689', 'pub.1056062425', 'pub.1042088539', 'pub.1044912057', 'pub.1048843277', 'pub.1041122744', 'pub.1020978110', 'pub.1022872978', 'pub.1114788576', 'pub.1011838875', 'pub.1041509426', 'pub.1053009447', 'pub.1055220529', 'pub.1020845129', 'pub.1016338585', 'pub.1055839833', 'pub.1022640683', 'pub.1042703894', 'pub.1005637989', 'pub.1037965047', 'pub.1034773137', 'pub.1046610708', 'pub.1006817229', 'pub.1015682896', 'pub.1000946334', 'pub.1008559087', 'pub.1051101160', 'pub.1056147080', 'pub.1012836811', 'pub.1048687355', 'pub.1040364369', 'pub.1008822913', 'pub.1016902709', 'pub.1043734210', 'pub.1022205774', 'pub.1002307130', 'pub.1049365061', 'pub.1006647699', 'pub.1007602050', 'pub.1043221474', 'pub.1063072786', 'pub.1003256670', 'pub.1035790955', 'pub.1046599482', 'pub.1025030406', 'pub.1001650081', 'pub.1044242097', 'pub.1047192573', 'pub.1040466276', 'pub.1055419033', 'pub.1055219944', 'pub.1071759671', 'pub.1017837557', 'pub.1034501584', 'pub.1055219528', 'pub.1032928032', 'pub.1051712059', 'pub.1061713588', 'pub.1021824603', 'pub.1027495878', 'pub.1047238053', 'pub.1067964115', 'pub.1024950052', 'pub.1042165194', 'pub.1016669710', 'pub.1013186272', 'pub.1055409509', 'pub.1039310626', 'pub.1019298424', 'pub.1018796081', 'pub.1013945367', 'pub.1057684310', 'pub.1044050084', 'pub.1050181856', 'pub.1045289667', 'pub.1007484642', 'pub.1006070298', 'pub.1009424344', 'pub.1046408076', 'pub.1037589994', 'pub.1055219394', 'pub.1057744920', 'pub.1020494641', 'pub.1010944473', 'pub.1026143520', 'pub.1052166317', 'pub.1002003904', 'pub.1031778525', 'pub.1063072239', 'pub.1034916647', 'pub.1003353282', 'pub.1024695269', 'pub.1061713628', 'pub.1039330671', 'pub.1013506980', 'pub.1114777683', 'pub.1057968707', 'pub.1044301009', 'pub.1027423642', 'pub.1021119019', 'pub.1013245665', 'pub.1011791768', 'pub.1008894182', 'pub.1010847828', 'pub.1030784519', 'pub.1005824377', 'pub.1000085366', 'pub.1046970425', 'pub.1006260244', 'pub.1013826067', 'pub.1016026529', 'pub.1014989724', 'pub.1032458874', 'pub.1063057265', 'pub.1046139696', 'pub.1031651380', 'pub.1019065062', 'pub.1028259884', 'pub.1114772715', 'pub.1036479227', 'pub.1006740302', 'pub.1036428496', 'pub.1039719626', 'pub.1057720231', 'pub.1041261660', 'pub.1056216100', 'pub.1032246811', 'pub.1015133907', 'pub.1047958378', 'pub.1043957830', 'pub.1034667851', 'pub.1042171889', 'pub.1020069399', 'pub.1032151270', 'pub.1030779099', 'pub.1036120285', 'pub.1048621393', 'pub.1005839332', 'pub.1012549551', 'pub.1037714301', 'pub.1028336792', 'pub.1046839857', 'pub.1048147844']",5.0,2014.0
Application,METHOD OF CONSTRUCTING ARTIFICIAL BONE,WO-2007122783-A1,2007-11-01,"['KANSAI TECH LICENSING ORG CO', 'UNIV KYOTO', 'CHUBU UNIVERSITY EDUCATIONAL F', 'NAKAMURA TAKASHI', 'KOKUBO TADASHI', 'MATSUSHITA TOMIHARU', 'FUJIBAYASHI SHUNSUKE', 'NISHIDA NOBUKATSU']","['NAKAMURA, TAKASHI', 'KOKUBO, TADASHI', 'MATSUSHITA, TOMIHARU', 'FUJIBAYASHI, SHUNSUKE', 'NISHIDA, NOBUKATSU']","[{'id': '2746', 'name': '0801 Artificial Intelligence and Image Processing'}]","[{'id': 'grid.254217.7', 'city_name': 'Kasugai', 'name': 'Chubu University', 'country_name': 'Japan'}, {'id': 'grid.258799.8', 'city_name': 'Kyoto', 'name': 'Kyoto University', 'country_name': 'Japan'}]",2007,['pub.1010750648'],3.0,
Grant,Pulsed dielectric barrier discharge,US-7615933-B2,2009-11-10,"['International Technology Center', 'INTERNAT TECHNOLOGY CT']","['William McClure Hooke', 'Allen Richard Martin', 'Mark Alan Ray']","[{'id': '2389', 'name': '0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics'}]","[{'id': 'grid.418753.c', 'city_name': 'New York', 'name': 'Colgate-Palmolive (United States)', 'country_name': 'United States'}]",2007,"['pub.1061763566', 'pub.1036270558', 'pub.1035537853', 'pub.1061763546', 'pub.1049903394', 'pub.1016119482']",12.0,2009.0
Application,Method of processing a substrate having two superposed layers using laser focused inside the substrate for welding the layers,EP-2505297-A1,2012-10-03,"['Corelase OY', 'CORELASE OY']","['KANGASTUPA, JARNO', 'AMBERLA, TIINA']","[{'id': '2409', 'name': '0205 Optical Physics'}]",,2010,['pub.1013365818'],1.0,
Grant,Endoprosthesis coating,US-7942926-B2,2011-05-17,"['Boston Scientific Scimed Inc', 'BOSTON SCIENT SCIMED INC']","['John Benco', 'Bill Dorogy']",,"[{'id': 'grid.418905.1', 'city_name': 'Marlborough', 'acronym': 'BSC', 'name': 'Boston Scientific (United States)', 'country_name': 'United States'}]",2007,"['pub.1026143520', 'pub.1048113433', 'pub.1028018727', 'pub.1000946334', 'pub.1023014727', 'pub.1039310626', 'pub.1009352671', 'pub.1051712059', 'pub.1021078294', 'pub.1056170751', 'pub.1029017295', 'pub.1005973132', 'pub.1000085366', 'pub.1050563154', 'pub.1062190609', 'pub.1056150693', 'pub.1044242097', 'pub.1056141492', 'pub.1040185176', 'pub.1055835022', 'pub.1057720231', 'pub.1027423642', 'pub.1055406636', 'pub.1009410180', 'pub.1056147080', 'pub.1056170334', 'pub.1034603494', 'pub.1020135036', 'pub.1032246811', 'pub.1013506980', 'pub.1063068097', 'pub.1016026529', 'pub.1015682896', 'pub.1005948427', 'pub.1041122744', 'pub.1047958378', 'pub.1061713588', 'pub.1036141803', 'pub.1062189014', 'pub.1052816319', 'pub.1057678162', 'pub.1044377277', 'pub.1056216100', 'pub.1044301009', 'pub.1014085537', 'pub.1046139696', 'pub.1001553211', 'pub.1020978110', 'pub.1034381782', 'pub.1013186272', 'pub.1046438934', 'pub.1011542529', 'pub.1008822913', 'pub.1034501584', 'pub.1040106316', 'pub.1048843277', 'pub.1042079780', 'pub.1029412304', 'pub.1035615319', 'pub.1055408283', 'pub.1033574998', 'pub.1002548594', 'pub.1022205774', 'pub.1000626895', 'pub.1042628680', 'pub.1057821340', 'pub.1056150231', 'pub.1014803123', 'pub.1007839370', 'pub.1056216284', 'pub.1061713628', 'pub.1027564391', 'pub.1063057265', 'pub.1013945367', 'pub.1040364369', 'pub.1041261660', 'pub.1003672973', 'pub.1021437341', 'pub.1038082062', 'pub.1017488135', 'pub.1035790955', 'pub.1001336735', 'pub.1043258019', 'pub.1039719626', 'pub.1006206802', 'pub.1004555092', 'pub.1055419033', 'pub.1005839332', 'pub.1057721182', 'pub.1049650081', 'pub.1038443191', 'pub.1053789837', 'pub.1042784445', 'pub.1047926889', 'pub.1045053987', 'pub.1051101160', 'pub.1003054019', 'pub.1016912257', 'pub.1019256038', 'pub.1003342470', 'pub.1017837557', 'pub.1062200368', 'pub.1037965047', 'pub.1057744920', 'pub.1046408076', 'pub.1003892489', 'pub.1034667851', 'pub.1039745509', 'pub.1020861291', 'pub.1024128636', 'pub.1043957830', 'pub.1057820833', 'pub.1018796081', 'pub.1012836811', 'pub.1044912057', 'pub.1049916499', 'pub.1020080628', 'pub.1027717620', 'pub.1023230630', 'pub.1057684407', 'pub.1016483227', 'pub.1069338739', 'pub.1025030406', 'pub.1043410077', 'pub.1027495878', 'pub.1021824603', 'pub.1003688785', 'pub.1020494641', 'pub.1049365061', 'pub.1011773673', 'pub.1072060794', 'pub.1022085158', 'pub.1045627889', 'pub.1013245665', 'pub.1002766626', 'pub.1051794943', 'pub.1022640683', 'pub.1008822340', 'pub.1062200065', 'pub.1048835468', 'pub.1062200707', 'pub.1003449659', 'pub.1046793890', 'pub.1056149270', 'pub.1052166317', 'pub.1008559087', 'pub.1055833681', 'pub.1031651380', 'pub.1000339169', 'pub.1020947292', 'pub.1055412433', 'pub.1019524134', 'pub.1037848160', 'pub.1062169305', 'pub.1052359436', 'pub.1025354434', 'pub.1040993876', 'pub.1025265001', 'pub.1015531206', 'pub.1030610832', 'pub.1036428496', 'pub.1047192573', 'pub.1039306465', 'pub.1026054487', 'pub.1039768814', 'pub.1005675280', 'pub.1032653789', 'pub.1043804724', 'pub.1014989724', 'pub.1027759826', 'pub.1041509426', 'pub.1007602050', 'pub.1009512821', 'pub.1000997382', 'pub.1028336792', 'pub.1027756689', 'pub.1047648118', 'pub.1007920340', 'pub.1016669710', 'pub.1049558471', 'pub.1114752712', 'pub.1035226599', 'pub.1021500949', 'pub.1007567698', 'pub.1003353282', 'pub.1013657657', 'pub.1020093119', 'pub.1055409509', 'pub.1022259940', 'pub.1017724406', 'pub.1010944473', 'pub.1045252890', 'pub.1027697769', 'pub.1011266587', 'pub.1043221474', 'pub.1044050084', 'pub.1114777683', 'pub.1015502082', 'pub.1011838875', 'pub.1010891315', 'pub.1046610708', 'pub.1035359764', 'pub.1003786809', 'pub.1043604510', 'pub.1032928032', 'pub.1041361405', 'pub.1042165194', 'pub.1018680910', 'pub.1048621393', 'pub.1028290346', 'pub.1049118318', 'pub.1056062425', 'pub.1000493526', 'pub.1016924950', 'pub.1006260244', 'pub.1034916647', 'pub.1007484642', 'pub.1032973628', 'pub.1063072239', 'pub.1056150978', 'pub.1051571088', 'pub.1020845129', 'pub.1004152556', 'pub.1026615926', 'pub.1014251731', 'pub.1046599482', 'pub.1055220529', 'pub.1045289667', 'pub.1050381579', 'pub.1005637989', 'pub.1024950052', 'pub.1042627257', 'pub.1031778525', 'pub.1016875911', 'pub.1010524923', 'pub.1053009447', 'pub.1029731457', 'pub.1063337863', 'pub.1009424344', 'pub.1039330671', 'pub.1004287407', 'pub.1044334813', 'pub.1114772715', 'pub.1042703894', 'pub.1050357255', 'pub.1050181856', 'pub.1002307130', 'pub.1017211740', 'pub.1001650081', 'pub.1031125182', 'pub.1006409050', 'pub.1021119019', 'pub.1019888032', 'pub.1048687355', 'pub.1071759671', 'pub.1013323552', 'pub.1042171889', 'pub.1013826067', 'pub.1039488413', 'pub.1056144803', 'pub.1063072786', 'pub.1049746421', 'pub.1018765349', 'pub.1047286723', 'pub.1010736548', 'pub.1028259884', 'pub.1010990538', 'pub.1051902055', 'pub.1057824939', 'pub.1062191879', 'pub.1037589994', 'pub.1032458874', 'pub.1050931428', 'pub.1032151270', 'pub.1016338585', 'pub.1047382986', 'pub.1055219394', 'pub.1037002587', 'pub.1015638381', 'pub.1057719019', 'pub.1057821948', 'pub.1007117388', 'pub.1042355027', 'pub.1055839833', 'pub.1010637780', 'pub.1040355376', 'pub.1030784519', 'pub.1047238053', 'pub.1038985147', 'pub.1019298424', 'pub.1051264232', 'pub.1050953168', 'pub.1002639852', 'pub.1036305541', 'pub.1015133907', 'pub.1055418466', 'pub.1018107700', 'pub.1006817229', 'pub.1034150222', 'pub.1028544686', 'pub.1010847828', 'pub.1114788576', 'pub.1055219528', 'pub.1053504767', 'pub.1045208121', 'pub.1005824377', 'pub.1020069399', 'pub.1033457479', 'pub.1043734210', 'pub.1040443459', 'pub.1002003904', 'pub.1022807243', 'pub.1024695269', 'pub.1017645370', 'pub.1006647699', 'pub.1049087367', 'pub.1057684310', 'pub.1046970425', 'pub.1013410126', 'pub.1064034358', 'pub.1036120285', 'pub.1022872978', 'pub.1012549551', 'pub.1030779099', 'pub.1056168268', 'pub.1027996179', 'pub.1011791768', 'pub.1061713649', 'pub.1006740302', 'pub.1062167924', 'pub.1027814057', 'pub.1017435625', 'pub.1001377480', 'pub.1030165648', 'pub.1052571324', 'pub.1035659043', 'pub.1003669586', 'pub.1041558774', 'pub.1057968707', 'pub.1067964115', 'pub.1003256670', 'pub.1019065062', 'pub.1042088539', 'pub.1007402316', 'pub.1062200497', 'pub.1007103427', 'pub.1018777428', 'pub.1016902709', 'pub.1036479227', 'pub.1063070126', 'pub.1050758877', 'pub.1028418122', 'pub.1008678593', 'pub.1006070298', 'pub.1055219944', 'pub.1052072026', 'pub.1002373369', 'pub.1033787686', 'pub.1003009597', 'pub.1045743942', 'pub.1037714301', 'pub.1046594554', 'pub.1062561887', 'pub.1052571605', 'pub.1047750950', 'pub.1040466276', 'pub.1028013940', 'pub.1048147844', 'pub.1046839857', 'pub.1046145325', 'pub.1034602178', 'pub.1026359554', 'pub.1027120772']",7.0,2011.0
Grant,Method and apparatus for flexible fluid delivery for cooling desired hot spots in a heat producing device,US-6988534-B2,2006-01-24,"['Vertiv Corp', 'COOLIGY INC']","['Thomas W. Kenny', 'Mark Munch', 'Peng Zhou', 'James Gill Shook', 'Girish Upadhya', 'Kenneth Goodson', 'David Corbin']","[{'id': '2953', 'name': '0915 Interdisciplinary Engineering'}]",,2003,"['pub.1046988861', 'pub.1032058262', 'pub.1031711959', 'pub.1018185925', 'pub.1020342631', 'pub.1025663466', 'pub.1016207703', 'pub.1006760586', 'pub.1061240864', 'pub.1061240801', 'pub.1044066079', 'pub.1061240826', 'pub.1026362500', 'pub.1032646285', 'pub.1061250252', 'pub.1016437062', 'pub.1054972476', 'pub.1051823674', 'pub.1027147727', 'pub.1062093147', 'pub.1061202257']",131.0,2006.0
