,total_grants,id,last_grant_year
178,0,ur.0726475763.17,
179,12,ur.01145654113.82,2024.0
180,8,ur.0723426172.10,2018.0
181,0,ur.01023673114.90,
182,17,ur.01003275415.57,2023.0
183,0,ur.01002162132.49,
184,0,ur.0772101217.51,
185,7,ur.01145142653.47,2022.0
186,3,ur.0765447455.52,2016.0
187,0,ur.014110301753.77,
188,9,ur.01117072553.44,2019.0
189,0,ur.01366065163.97,
190,0,ur.01302157177.43,
191,0,ur.01277776417.51,
192,16,ur.0715746475.38,2018.0
193,24,ur.012607214677.06,2024.0
194,2,ur.014211634457.16,2023.0
195,20,ur.015767231737.16,2022.0
196,11,ur.01342616137.05,2021.0
197,0,ur.011644054634.17,
198,0,ur.0611452663.46,
199,1,ur.0767750151.59,2014.0
200,0,ur.0611467633.09,
201,1,ur.01112257404.07,2014.0
202,4,ur.01134046226.44,2018.0
203,2,ur.0734135057.55,2019.0
204,0,ur.0776707354.45,
205,30,ur.0750524661.10,2023.0
206,3,ur.01210015511.37,2024.0
207,0,ur.0712215644.00,
208,4,ur.01372510466.28,2013.0
209,0,ur.01020276562.45,
210,0,ur.01117105305.38,
211,3,ur.01273302464.25,2021.0
212,0,ur.0664633045.78,
213,0,ur.01002541335.06,
214,0,ur.01357746643.85,
215,17,ur.01061331247.57,2023.0
216,2,ur.016126404017.45,2012.0
217,1,ur.01067744476.10,2019.0
218,4,ur.01151433047.82,2019.0
219,19,ur.010370267737.55,2022.0
220,19,ur.015652454457.90,2022.0
221,34,ur.013723776517.34,2020.0
222,7,ur.012061250547.34,2020.0
223,1,ur.015641175307.72,2020.0
224,2,ur.01160031210.84,2020.0
225,13,ur.01146242611.08,2021.0
226,3,ur.0704313302.86,2022.0
227,1,ur.014466471117.86,2016.0
228,0,ur.01145131436.05,
229,6,ur.016033704317.28,2019.0
230,1,ur.015600745002.61,2013.0
231,3,ur.01272021712.88,2024.0
232,0,ur.012050176237.32,
233,3,ur.01355755622.50,2019.0
234,0,ur.013632405754.68,
235,38,ur.015704744537.99,2020.0
236,12,ur.0657037321.56,2024.0
237,16,ur.0754274002.97,2024.0
238,0,ur.0736477270.05,
239,1,ur.0637662640.88,2008.0
240,0,ur.01160554431.67,
241,18,ur.01115613606.51,2021.0
242,22,ur.0763727005.09,2023.0
243,3,ur.011675454737.09,2023.0
244,2,ur.01121575667.46,2020.0
245,4,ur.01332326377.02,2022.0
246,0,ur.010146517105.13,
247,6,ur.01212126575.59,2022.0
248,8,ur.01222663135.20,2022.0
