,id,last_grant_year,total_grants
151,ur.01316313531.32,2022.0,13.0
152,ur.0772742531.89,,
153,ur.01016372227.74,2018.0,4.0
154,ur.014612650514.15,2022.0,29.0
155,ur.014776121077.49,,
156,ur.015012714437.80,2022.0,26.0
157,ur.016323146432.35,2016.0,10.0
158,ur.0612256763.55,,
159,ur.01070452435.44,2022.0,4.0
160,ur.01341032053.15,,
161,ur.01317433110.75,2018.0,1.0
162,ur.015725517277.33,2018.0,4.0
163,ur.01144253565.44,,
164,ur.011275311037.68,,
165,ur.012266613364.42,2022.0,9.0
166,ur.0720114066.32,2022.0,9.0
167,ur.0635554374.79,2022.0,13.0
168,ur.01170271720.20,2019.0,3.0
169,ur.01033044533.08,2021.0,31.0
170,ur.01324147461.28,,
171,ur.011103735437.73,2019.0,15.0
172,ur.01263457230.91,2023.0,28.0
173,ur.01042545356.70,2012.0,1.0
174,ur.01070337133.28,2023.0,24.0
175,ur.01034602463.88,,
176,ur.016601220537.48,2018.0,1.0
177,ur.0645437504.72,2021.0,4.0
178,ur.01055762674.33,2023.0,9.0
179,ur.01271721176.11,,1.0
180,ur.014231041057.12,,
181,ur.0611555753.26,,
182,ur.01002616026.32,2017.0,5.0
183,ur.07706004704.87,,
184,ur.01316742644.30,,
185,ur.01273401363.65,,
186,ur.01104742263.37,2019.0,9.0
187,ur.01205163364.12,2018.0,9.0
188,ur.01313145634.66,2021.0,29.0
189,ur.01310503443.70,,
190,ur.01363244334.84,,
191,ur.01330361724.23,2021.0,31.0
192,ur.01326615365.18,2019.0,13.0
193,ur.010146517105.13,,
194,ur.07373714373.74,,
195,ur.01212615411.02,,
196,ur.01014744771.72,,
197,ur.01002652773.15,,
198,ur.01100532760.37,2020.0,5.0
199,ur.01024027537.42,2023.0,23.0
200,ur.01061331247.57,2023.0,17.0
201,ur.01222663135.20,2022.0,7.0
202,ur.01014232611.51,2023.0,34.0
203,ur.010115766245.30,2023.0,27.0
204,ur.015652454457.90,2021.0,18.0
205,ur.015440420777.43,2011.0,2.0
206,ur.015704744537.99,2019.0,2.0
207,ur.010403073577.20,2018.0,12.0
208,ur.011675454737.09,,
209,ur.013723776517.34,2019.0,34.0
210,ur.01111064510.47,,
211,ur.01255157234.57,2020.0,2.0
212,ur.01066354456.51,2020.0,1.0
213,ur.012050176237.32,,
214,ur.014466471117.86,2016.0,1.0
215,ur.0661002462.53,,
216,ur.01223606626.04,2020.0,1.0
217,ur.01273302464.25,,
218,ur.01367042426.41,,
219,ur.01160031210.84,2020.0,2.0
220,ur.01272473463.54,,
221,ur.01002541335.06,,
222,ur.0637651205.48,,
223,ur.015600745002.61,2013.0,1.0
224,ur.01242715665.45,2018.0,7.0
225,ur.0657037321.56,2021.0,9.0
226,ur.012114463457.52,2023.0,10.0
227,ur.016033704317.28,2014.0,4.0
228,ur.064477252.38,2020.0,28.0
229,ur.0654341265.88,2019.0,3.0
230,ur.0727107235.84,2011.0,3.0
231,ur.01073110664.66,,
232,ur.01074226355.01,2020.0,10.0
233,ur.0767750151.59,2014.0,1.0
234,ur.01127542415.10,2023.0,24.0
235,ur.011644054634.17,,
236,ur.012516024366.43,,
237,ur.016126404017.45,2009.0,1.0
238,ur.015641175307.72,2020.0,1.0
239,ur.01151433047.82,2019.0,4.0
240,ur.0606704334.54,2020.0,22.0
241,ur.01052563772.69,2006.0,2.0
242,ur.01112257404.07,2014.0,1.0
243,ur.01352744336.54,2017.0,1.0
244,ur.01264737414.70,2020.0,8.0
245,ur.01003725424.65,,
246,ur.0712215644.00,,
247,ur.0614047157.56,,
