,affiliations,corresponding,current_organization_id,first_name,is_bogus,last_name,orcid,researcher_id,pub_id
355,"[{'id': 'grid.418729.1', 'name': 'CeMM Research Center for Molecular Medicine', 'city': 'Vienna', 'city_id': 2761369, 'country': 'Austria', 'country_code': 'AT', 'state': None, 'state_code': None}]",,grid.418729.1,Jörg,,Menche,['0000-0002-1583-6404'],ur.01361154226.36,pub.1120397498
358,"[{'id': 'grid.418729.1', 'name': 'CeMM Research Center for Molecular Medicine', 'city': 'Vienna', 'city_id': 2761369, 'country': 'Austria', 'country_code': 'AT', 'state': None, 'state_code': None}]",,grid.418729.1,André C.,,Müller,,ur.01174276732.22,pub.1120397498
360,"[{'id': 'grid.418729.1', 'name': 'CeMM Research Center for Molecular Medicine', 'city': 'Vienna', 'city_id': 2761369, 'country': 'Austria', 'country_code': 'AT', 'state': None, 'state_code': None}]",True,grid.418729.1,Stefan,,Kubicek,['0000-0003-0855-8343'],ur.0611375454.87,pub.1120397498
372,"[{'id': 'grid.5600.3', 'name': 'Cardiff University', 'city': 'Cardiff', 'city_id': 2653822, 'country': 'United Kingdom', 'country_code': 'GB', 'state': None, 'state_code': None}]",,grid.5600.3,Aura,,Frizatti,,ur.01306735136.89,pub.1120339349
415,"[{'name': 'Department of Immunology, Hospital Universitario Doctor Negrín, Las Palmas de Gran Canaria, Spain'}]",,,Maria Candida Deniz,,Naranjo,,ur.0756031766.85,pub.1120339349
462,"[{'id': 'grid.5645.2', 'name': 'Erasmus University Medical Center', 'city': 'Rotterdam', 'city_id': 2747891, 'country': 'Netherlands', 'country_code': 'NL', 'state': None, 'state_code': None}]",,grid.5645.2,Hata,,Karamujić-Čomić,,ur.012670652360.91,pub.1120339349
500,"[{'id': 'grid.414875.b', 'name': 'University Hospital Mútua de Terrassa', 'city': 'Terrassa', 'city_id': 3108286, 'country': 'Spain', 'country_code': 'ES', 'state': None, 'state_code': None}]",,grid.414875.b,Monica,,Diez-Fairen,['0000-0003-1882-0309'],ur.013214335265.47,pub.1120339349
539,"[{'id': 'grid.4793.9', 'name': 'Aristotle University of Thessaloniki', 'city': 'Thessaloniki', 'city_id': 734077, 'country': 'Greece', 'country_code': 'GR', 'state': None, 'state_code': None}]",,grid.4793.9,Olymbia,,Gkatzima,,ur.01346330561.12,pub.1120339349
792,"[{'id': 'grid.417467.7', 'name': 'Mayo Clinic', 'city': 'Jacksonville', 'city_id': 4160021, 'country': 'United States', 'country_code': 'US', 'state': 'Florida', 'state_code': 'US-FL'}]",,grid.417467.7,Nilifur,,Ertekin-Taner,,ur.012063547727.32,pub.1120339349
820,"[{'id': 'grid.5600.3', 'name': 'Cardiff University', 'city': 'Cardiff', 'city_id': 2653822, 'country': 'United Kingdom', 'country_code': 'GB', 'state': None, 'state_code': None}]",,grid.5600.3,Valentina,,Escott-Price,['0000-0003-1784-5483'],ur.0611137272.32,pub.1120339349
833,"[{'id': 'grid.419538.2', 'name': 'Max Planck Institute for Molecular Genetics', 'city': 'Berlin', 'city_id': 2950159, 'country': 'Germany', 'country_code': 'DE', 'state': None, 'state_code': None}]",,grid.419538.2,Michael I.,,Robson,['0000-0003-1126-3538'],ur.0707043262.20,pub.1120395473
841,"[{'id': 'grid.194645.b', 'name': 'University of Hong Kong', 'city': 'Hong Kong', 'city_id': 1819729, 'country': 'China', 'country_code': 'CN', 'state': None, 'state_code': None}]",,grid.194645.b,Benjamin J.,,Cowling,['0000-0002-6297-7154'],ur.07675207637.48,pub.1120288452
842,"[{'id': 'grid.137628.9', 'name': 'New York University', 'city': 'New York', 'city_id': 5128581, 'country': 'United States', 'country_code': 'US', 'state': 'New York', 'state_code': 'US-NY'}]",True,grid.137628.9,Elodie,,Ghedin,,ur.0602347413.42,pub.1120288452
844,"[{'name': 'RIKEN Center for Integrative Medical Sciences, Yokohama, Japan'}, {'id': 'grid.4714.6', 'name': 'Karolinska Institute', 'city': 'Stockholm', 'city_id': 2673730, 'country': 'Sweden', 'country_code': 'SE', 'state': None, 'state_code': None}]",,grid.4714.6,Shruti,,Bhagat,['0000-0003-1403-1783'],ur.011000413413.23,pub.1120764582
845,"[{'name': 'RIKEN Center for Integrative Medical Sciences, Yokohama, Japan'}, {'name': 'K.K. DNAFORM, Yokohama, Japan'}]",,grid.69566.3a,Yu,,Matsuki,['0000-0002-8446-8801'],ur.016404610411.37,pub.1120764582
859,"[{'id': 'grid.1052.6', 'name': 'Ludwig Cancer Research', 'city': 'New York', 'city_id': 5128581, 'country': 'United States', 'country_code': 'US', 'state': 'New York', 'state_code': 'US-NY'}]",,grid.1052.6,Yanxiao,,Zhang,['0000-0001-9618-637X'],ur.01107761064.50,pub.1120398128
860,"[{'id': 'grid.266100.3', 'name': 'University of California, San Diego', 'city': 'San Diego', 'city_id': 5391811, 'country': 'United States', 'country_code': 'US', 'state': 'California', 'state_code': 'US-CA'}]",,grid.266100.3,Ting,,Li,,ur.015400064537.16,pub.1120398128
864,"[{'id': 'grid.266100.3', 'name': 'University of California, San Diego', 'city': 'San Diego', 'city_id': 5391811, 'country': 'United States', 'country_code': 'US', 'state': 'California', 'state_code': 'US-CA'}]",,grid.266100.3,Elie N.,,Farah,,ur.012140457230.06,pub.1120398128
868,"[{'id': 'grid.1052.6', 'name': 'Ludwig Cancer Research', 'city': 'New York', 'city_id': 5128581, 'country': 'United States', 'country_code': 'US', 'state': 'New York', 'state_code': 'US-NY'}]",,grid.1052.6,Ah Young,,Lee,,ur.01117115435.96,pub.1120398128
871,"[{'id': 'grid.1052.6', 'name': 'Ludwig Cancer Research', 'city': 'New York', 'city_id': 5128581, 'country': 'United States', 'country_code': 'US', 'state': 'New York', 'state_code': 'US-NY'}]",,grid.1052.6,Zhen,,Ye,,ur.0713332160.64,pub.1120398128
872,"[{'id': 'grid.1052.6', 'name': 'Ludwig Cancer Research', 'city': 'New York', 'city_id': 5128581, 'country': 'United States', 'country_code': 'US', 'state': 'New York', 'state_code': 'US-NY'}]",,grid.1052.6,Quan,,Zhu,,ur.014167465337.42,pub.1120398128
873,"[{'id': 'grid.1052.6', 'name': 'Ludwig Cancer Research', 'city': 'New York', 'city_id': 5128581, 'country': 'United States', 'country_code': 'US', 'state': 'New York', 'state_code': 'US-NY'}, {'id': 'grid.266100.3', 'name': 'University of California, San Diego', 'city': 'San Diego', 'city_id': 5391811, 'country': 'United States', 'country_code': 'US', 'state': 'California', 'state_code': 'US-CA'}]",,grid.266100.3,Hui,,Huang,,ur.014766035523.05,pub.1120398128
875,"[{'id': 'grid.267313.2', 'name': 'The University of Texas Southwestern Medical Center', 'city': 'Dallas', 'city_id': 4684888, 'country': 'United States', 'country_code': 'US', 'state': 'Texas', 'state_code': 'US-TX'}]",,grid.267313.2,Leqian,,Yu,,ur.016410161713.41,pub.1120398128
876,"[{'id': 'grid.250671.7', 'name': 'Salk Institute for Biological Studies', 'city': 'La Jolla', 'city_id': 5363943, 'country': 'United States', 'country_code': 'US', 'state': 'California', 'state_code': 'US-CA'}]",,grid.250671.7,Juan Carlos,,Izpisua Belmonte,,ur.014010175255.22,pub.1120398128
877,"[{'id': 'grid.267313.2', 'name': 'The University of Texas Southwestern Medical Center', 'city': 'Dallas', 'city_id': 4684888, 'country': 'United States', 'country_code': 'US', 'state': 'Texas', 'state_code': 'US-TX'}]",,grid.267313.2,Jun,,Wu,['0000-0001-9863-1668'],ur.01263062151.28,pub.1120398128
878,"[{'id': 'grid.266100.3', 'name': 'University of California, San Diego', 'city': 'San Diego', 'city_id': 5391811, 'country': 'United States', 'country_code': 'US', 'state': 'California', 'state_code': 'US-CA'}]",,grid.266100.3,Sylvia M.,,Evans,,ur.013607313717.13,pub.1120398128
884,"[{'id': 'grid.484519.5', 'name': 'Amsterdam Neuroscience', 'city': 'Amsterdam', 'city_id': 2759794, 'country': 'Netherlands', 'country_code': 'NL', 'state': None, 'state_code': None}]",,grid.484519.5,Maša,,Umićević Mirkov,,ur.0657452174.31,pub.1120394720
886,"[{'id': 'grid.484519.5', 'name': 'Amsterdam Neuroscience', 'city': 'Amsterdam', 'city_id': 2759794, 'country': 'Netherlands', 'country_code': 'NL', 'state': None, 'state_code': None}]",,grid.484519.5,Tinca J. C.,,Polderman,['0000-0001-5564-301X'],ur.01144253565.44,pub.1120394720
