,count,funding,id
168239,1,0.0,ur.0107563347.02
168240,1,7000000.0,ur.01076313145.88
168241,1,321025.0,ur.01076520642.07
168242,1,129690.0,ur.01100510426.65
168243,1,4962053.0,ur.01103663072.01
168244,1,60015.0,ur.01103703777.73
168245,1,157922.0,ur.01111375316.50
168246,1,151263.0,ur.011162017067.58
168247,1,5347288.0,ur.01117141733.07
168248,1,7000000.0,ur.011173760757.54
168249,1,178780.0,ur.011175421577.09
168250,1,11535341.0,ur.011210741732.16
168251,1,1870638.0,ur.01123144222.38
168252,1,11535341.0,ur.01125513411.45
168253,1,100000.0,ur.01126271653.81
168254,1,6759581.0,ur.01126334467.66
168255,1,30513394.0,ur.01126532453.47
168256,1,348085.0,ur.01131773142.25
168257,1,30513394.0,ur.011327030432.08
168258,1,211229.0,ur.01133221272.86
168259,1,37198.0,ur.01134757351.14
168260,1,0.0,ur.01146500210.00
168261,1,200000.0,ur.01153672041.97
168262,1,436958.0,ur.01155124100.78
168263,1,2902378.0,ur.01156534610.34
168264,1,2902378.0,ur.011567711257.54
168265,1,0.0,ur.01161426165.03
168266,1,2961769.0,ur.01162774623.50
168267,1,151263.0,ur.011661163142.10
168268,1,11535341.0,ur.011662602037.92
168269,1,7000000.0,ur.01170600621.14
168270,1,30513394.0,ur.01172234440.27
168271,1,129690.0,ur.01172432041.51
168272,1,321025.0,ur.011763654654.45
168273,1,100000.0,ur.01176737046.49
168274,1,83135.0,ur.01204726310.17
168275,1,151263.0,ur.012050041113.89
168276,1,122529.0,ur.012050737647.90
168277,1,432275.0,ur.012051101747.19
168278,1,0.0,ur.01205156742.06
168279,1,62926.0,ur.01205240267.34
168280,1,46497.0,ur.01205277066.50
168281,1,212655.0,ur.01205326352.75
168282,1,4962053.0,ur.01206230776.42
168283,1,7000000.0,ur.01207344617.09
168284,1,934323.0,ur.01207450242.89
168285,1,60015.0,ur.01207464022.18
168286,1,151263.0,ur.01210121513.54
168287,1,321025.0,ur.01210202271.19
168288,1,297411.0,ur.012107656642.57
168289,1,46664.0,ur.01211710723.20
168290,1,7000000.0,ur.012127157230.31
168291,1,46664.0,ur.01213776775.58
168292,1,157922.0,ur.01215207316.05
168293,1,4109053.0,ur.01216665565.00
168294,1,7000000.0,ur.012175272430.45
168295,1,405768.0,ur.01221676532.12
168296,1,7000000.0,ur.012243405630.46
168297,1,0.0,ur.01227506545.24
168298,1,34407.0,ur.01227564236.49
168299,1,100000.0,ur.01233432460.98
168300,1,1648981.0,ur.012401125422.47
168301,1,4962053.0,ur.01246505064.76
168302,1,151263.0,ur.01250521541.30
168303,1,1648981.0,ur.01252636474.70
168304,1,189161.0,ur.012536130070.73
168305,1,46497.0,ur.012541553004.12
168306,1,2682159.0,ur.01255307343.83
168307,1,7000000.0,ur.01256177044.04
168308,1,11535341.0,ur.01257000647.98
168309,1,1041080.0,ur.01262631104.19
168310,1,2902378.0,ur.01263052532.61
168311,1,15000.0,ur.01265164554.32
168312,1,1047870.0,ur.01266751036.56
168313,1,489922.0,ur.01270537012.68
168314,1,3289116.0,ur.01271105132.33
168315,1,7000000.0,ur.012724537630.03
168316,1,489922.0,ur.01273650566.43
168317,1,320247.0,ur.012744715457.02
168318,1,178780.0,ur.01274635050.09
168319,1,11535341.0,ur.01277425615.41
168320,1,32743856.0,ur.012776226277.24
168321,1,129690.0,ur.01302017105.90
168322,1,4962053.0,ur.01302110046.67
168323,1,100000.0,ur.01302345031.68
168324,1,405768.0,ur.013061726572.05
168325,1,30513394.0,ur.01306437345.76
168326,1,151263.0,ur.01306527165.00
168327,1,208499.0,ur.01307045554.03
168328,1,11981.0,ur.01307062513.96
168329,1,0.0,ur.01307675251.50
168330,1,100000.0,ur.01313111026.30
168331,1,100000.0,ur.01322016116.70
168332,1,5347288.0,ur.013233376517.36
168333,1,211820.0,ur.01325152764.20
168334,1,48130.0,ur.01327052474.92
168335,1,178780.0,ur.013322552752.84
168336,1,178780.0,ur.01332375141.47
168337,1,1648981.0,ur.01333535671.51
168338,1,7247995.0,ur.013347276237.81
168339,1,493663.0,ur.01335725124.64
168340,1,11535341.0,ur.01336723767.69
168341,1,151263.0,ur.01340061016.07
168342,1,37198.0,ur.01340137345.54
168343,1,48130.0,ur.01344013210.41
168344,1,1500000.0,ur.01350776501.81
168345,1,7000000.0,ur.01351045631.04
168346,1,7000000.0,ur.01351357352.20
168347,1,100000.0,ur.01353526746.35
168348,1,151263.0,ur.01353705566.20
168349,1,7000000.0,ur.01355163060.70
168350,1,46497.0,ur.01355707617.37
168351,1,0.0,ur.01364066004.85
168352,1,1047870.0,ur.01364511612.83
168353,1,46497.0,ur.01366333124.41
168354,1,30513394.0,ur.01366454062.59
168355,1,493663.0,ur.01371611016.13
168356,1,1047870.0,ur.01372671140.59
168357,1,30513394.0,ur.013730377746.73
168358,1,7000000.0,ur.013745230632.15
168359,1,199232.0,ur.014060010344.41
168360,1,4962053.0,ur.014156256736.29
168361,1,489922.0,ur.014167221307.45
168362,1,46497.0,ur.014240466614.00
168363,1,60015.0,ur.014243551405.98
168364,1,7000000.0,ur.014317500630.95
168365,1,46664.0,ur.014405300712.49
168366,1,7000000.0,ur.014433727230.44
168367,1,7000000.0,ur.014502042430.37
168368,1,156594.0,ur.014513351602.44
168369,1,151263.0,ur.014647065142.32
168370,1,7000000.0,ur.015115061230.88
168371,1,100000.0,ur.015213306017.41
168372,1,10631091.0,ur.015311223322.68
168373,1,30513394.0,ur.015553206557.89
168374,1,1047870.0,ur.015604164731.98
168375,1,157922.0,ur.015635764222.60
168376,1,100000.0,ur.015644145057.50
168377,1,30513394.0,ur.015675147657.60
168378,1,3289116.0,ur.015766703057.43
168379,1,7000000.0,ur.016071157737.75
168380,1,7000000.0,ur.016103106037.44
168381,1,10631091.0,ur.016146261317.19
168382,1,60015.0,ur.016434073005.09
168383,1,7000000.0,ur.016556135430.05
168384,1,7000000.0,ur.016624250630.18
168385,1,32743856.0,ur.016633604265.83
168386,1,32743856.0,ur.0575504215.69
168387,1,100000.0,ur.0576332402.76
168388,1,348953.0,ur.0577405566.68
168389,1,7000000.0,ur.0600674352.93
168390,1,1500000.0,ur.0601444667.08
168391,1,46497.0,ur.0603504235.07
168392,1,62926.0,ur.0605725430.68
168393,1,100000.0,ur.0606123766.39
168394,1,46664.0,ur.0606446532.76
168395,1,1047870.0,ur.0610172121.38
168396,1,3289116.0,ur.0612475473.05
168397,1,1561135.0,ur.0615142357.04
168398,1,348953.0,ur.0620523164.54
168399,1,7000000.0,ur.0620642630.54
168400,1,30513394.0,ur.0620700321.83
168401,1,542119.0,ur.0621755053.05
168402,1,151263.0,ur.0631236265.87
168403,1,321025.0,ur.0631514220.07
168404,1,157922.0,ur.0633072440.11
168405,1,321025.0,ur.0633414072.10
168406,1,0.0,ur.0641574005.47
168407,1,0.0,ur.0647550214.58
168408,1,23272.0,ur.0652005542.82
168409,1,3289116.0,ur.0652444461.83
168410,1,183307.0,ur.0663621502.25
168411,1,11535341.0,ur.0664407015.18
168412,1,321025.0,ur.0666300223.12
168413,1,123820.0,ur.0667465465.07
168414,1,7000000.0,ur.0670435041.87
168415,1,100000.0,ur.0670521500.45
168416,1,321025.0,ur.0672056376.74
168417,1,41305.0,ur.0672510657.24
168418,1,151263.0,ur.0702512205.90
168419,1,151263.0,ur.0702512231.11
168420,1,199232.0,ur.0710060341.30
168421,1,183307.0,ur.0713022766.39
168422,1,0.0,ur.0713401506.08
168423,1,7000000.0,ur.0714371057.61
168424,1,151263.0,ur.0715411213.24
168425,1,15000.0,ur.0716126274.46
168426,1,46497.0,ur.0716412723.83
168427,1,32743856.0,ur.0717021306.23
168428,1,0.0,ur.0717273476.32
168429,1,30513394.0,ur.0725407074.43
168430,1,37198.0,ur.0741146020.92
168431,1,100000.0,ur.0741703046.48
168432,1,31155.0,ur.0742722405.16
168433,1,163212.0,ur.0745375320.22
168434,1,0.0,ur.07460730532.77
168435,1,35497.0,ur.0747760636.54
168436,1,7000000.0,ur.0752237663.47
168437,1,35497.0,ur.0752313322.19
168438,1,11535341.0,ur.0753446240.13
168439,1,2902378.0,ur.07535502757.16
168440,1,1648981.0,ur.0754126313.38
168441,1,123820.0,ur.0754154326.39
168442,1,123820.0,ur.0760105261.55
168443,1,35497.0,ur.07615531262.18
168444,1,32743856.0,ur.0762537264.90
168445,1,60015.0,ur.07666435053.78
168446,1,2353742.0,ur.0770100150.86
168447,1,35497.0,ur.0771277400.08
168448,1,3586119.0,ur.07760165437.08
168449,1,348953.0,ur.0776121620.17
168450,1,1047870.0,ur.07763150145.99
168451,21,34507347.0,ur.01207170136.04
168452,9,5670943.0,ur.01207103662.52
168453,9,10583993.0,ur.01220413010.90
168454,8,0.0,ur.01220572243.12
168455,7,0.0,ur.01206416145.04
168456,7,3942449.0,ur.01206643051.26
168457,7,11022139.0,ur.01220556117.54
168458,5,0.0,ur.01206776144.04
168459,4,176436685.0,ur.01206703204.76
168460,4,642033.0,ur.01213661767.34
168461,3,1388286.0,ur.01047542242.24
168462,3,1932445.0,ur.01207036331.90
168463,3,7069992.0,ur.014672115422.00
168464,2,19211244.0,ur.01022362302.77
168465,2,0.0,ur.01026521124.04
168466,2,8156311.0,ur.01063514322.04
168467,2,0.0,ur.01076117153.31
168468,2,492572.0,ur.01207250620.27
168469,2,5121434.0,ur.01220465254.38
168470,2,0.0,ur.01237741615.50
168471,2,0.0,ur.01262760646.95
168472,2,0.0,ur.016107031137.16
168473,2,0.0,ur.0665036345.55
168474,2,261986.0,ur.0741305272.08
168475,2,0.0,ur.07511610043.54
168476,2,261986.0,ur.0763100155.10
168477,1,8156311.0,ur.01000510725.10
168478,1,2418761.0,ur.010012617237.52
168479,1,0.0,ur.01002116703.26
168480,1,0.0,ur.01002676233.29
168481,1,1609430.0,ur.01003043735.04
168482,1,3517303.0,ur.01004125414.69
168483,1,1609430.0,ur.010107656457.05
168484,1,0.0,ur.010111605572.37
168485,1,238062.0,ur.01017333711.45
168486,1,1609430.0,ur.01024407270.41
168487,1,2500.0,ur.01032407212.73
168488,1,0.0,ur.010434506372.03
168489,1,0.0,ur.01044063026.22
168490,1,0.0,ur.01044074671.69
168491,1,1609430.0,ur.010452320737.68
168492,1,1609430.0,ur.01045274562.67
168493,1,0.0,ur.010467561532.59
168494,1,1609430.0,ur.01047510177.28
168495,1,3517303.0,ur.010520272417.55
168496,1,0.0,ur.01057240440.68
168497,1,1609430.0,ur.01066661370.37
168498,1,0.0,ur.01067234230.41
168499,1,0.0,ur.010713752122.95
168500,1,0.0,ur.01072523061.22
168501,1,100000.0,ur.01076153612.39
168502,1,100000.0,ur.01102014712.27
168503,1,3624810.0,ur.01102252455.86
168504,1,3517303.0,ur.01104673753.42
168505,1,1609430.0,ur.011066475117.55
168506,1,238062.0,ur.01112756541.20
168507,1,0.0,ur.011145370357.19
168508,1,75000.0,ur.01126701775.37
168509,1,1609430.0,ur.01134774570.46
168510,1,0.0,ur.01140262452.40
168511,1,3096664.0,ur.01141530442.46
168512,1,0.0,ur.01142270474.89
168513,1,141985.0,ur.011424715123.94
168514,1,1609430.0,ur.01145002230.55
168515,1,0.0,ur.01145707302.20
168516,1,100000.0,ur.01146630513.79
168517,1,0.0,ur.01150425033.65
168518,1,0.0,ur.011504302664.60
168519,1,0.0,ur.011510422357.49
168520,1,0.0,ur.01152762650.19
168521,1,1609430.0,ur.01160234271.56
168522,1,2418761.0,ur.01162550476.02
168523,1,238062.0,ur.01163371377.27
168524,1,8156311.0,ur.01166142713.06
168525,1,0.0,ur.011714711304.99
168526,1,1609430.0,ur.01172774730.12
168527,1,0.0,ur.011737400432.17
168528,1,0.0,ur.01173761003.42
168529,1,8156311.0,ur.01176754534.28
168530,1,0.0,ur.012016116263.95
168531,1,120264.0,ur.01206557240.09
168532,1,100000.0,ur.01207254623.34
168533,1,0.0,ur.01212664466.54
168534,1,1609430.0,ur.01213115430.53
168535,1,1609430.0,ur.012152650702.21
168536,1,0.0,ur.01220326265.99
168537,1,1694123.0,ur.01220506115.91
168538,1,1726986.0,ur.01220530606.25
168539,1,238062.0,ur.01222617614.02
168540,1,0.0,ur.01223143620.01
168541,1,3517303.0,ur.012332552102.93
168542,1,238062.0,ur.01237310426.10
168543,1,0.0,ur.01242313310.55
168544,1,0.0,ur.01242676566.45
168545,1,8156311.0,ur.012467454332.01
168546,1,8156311.0,ur.01250364366.06
168547,1,0.0,ur.012533324264.00
168548,1,0.0,ur.01254737604.06
168549,1,8156311.0,ur.01257432754.55
168550,1,1597260.0,ur.01263107167.34
168551,1,0.0,ur.012660103132.72
168552,1,250998.0,ur.01274337223.48
168553,1,0.0,ur.01276476155.89
168554,1,3517303.0,ur.01301461017.38
168555,1,0.0,ur.01307667673.46
168556,1,0.0,ur.013077507572.32
168557,1,238062.0,ur.01311422635.90
168558,1,0.0,ur.01312130721.80
168559,1,0.0,ur.013131317422.28
168560,1,141985.0,ur.01315516473.51
168561,1,0.0,ur.013157442347.31
168562,1,1609430.0,ur.013164046460.45
168563,1,1609430.0,ur.01317336370.87
168564,1,1597260.0,ur.01320006075.21
168565,1,0.0,ur.01320217550.57
168566,1,1609430.0,ur.01321114547.89
168567,1,0.0,ur.01325767425.57
168568,1,1609430.0,ur.013330272547.22
168569,1,0.0,ur.01333204647.08
168570,1,0.0,ur.01333531120.35
168571,1,0.0,ur.013377154603.37
168572,1,15586434.0,ur.013412567617.13
168573,1,1609430.0,ur.01345624461.02
168574,1,0.0,ur.01355132443.70
168575,1,0.0,ur.01362361664.00
168576,1,0.0,ur.01366354765.52
168577,1,0.0,ur.01370424065.04
168578,1,1609430.0,ur.014120477177.93
168579,1,0.0,ur.014357145022.34
168580,1,8156311.0,ur.014657775732.18
168581,1,0.0,ur.015207053242.49
168582,1,0.0,ur.015343671557.29
168583,1,8156311.0,ur.015552634257.08
168584,1,1609430.0,ur.015556016557.66
168585,1,7069992.0,ur.016020571277.01
168586,1,1609430.0,ur.016204515602.00
168587,1,1609430.0,ur.016234233102.57
168588,1,345121.0,ur.016526727752.76
168589,1,1609430.0,ur.0600076630.27
168590,1,0.0,ur.0602204233.48
168591,1,1609430.0,ur.0603333463.51
168592,1,0.0,ur.0603350067.91
168593,1,0.0,ur.0606424650.94
168594,1,0.0,ur.0613230631.83
168595,1,0.0,ur.0623547243.81
168596,1,0.0,ur.0631601604.19
168597,1,75000.0,ur.0632730750.43
168598,1,8156311.0,ur.0637702044.34
168599,1,0.0,ur.0642310157.60
168600,1,7069992.0,ur.0643440511.18
168601,1,0.0,ur.0645365701.24
168602,1,0.0,ur.0646722553.41
168603,1,395640.0,ur.0662045034.72
168604,1,0.0,ur.0663304144.07
168605,1,100000.0,ur.0671073025.86
168606,1,1609430.0,ur.0705621120.92
168607,1,1609430.0,ur.0706540366.84
