id,publication_date,assignee_names,title,granted_year,publication_ids,inventor_names,filing_status,year,FOR,assignees,times_cited
EP-3210938-A1,2017-08-30,"['Cordouan Technologies', 'CORDOUAN TECH']",DEVICE FOR CHARACTERISING PARTICLES WHICH ARE DISPERSED IN A LIQUID MEDIUM,,['pub.1029716736'],"['PEDRONO, Boris', 'JACOB, DAVID']",Application,2017,"[{'id': '2421', 'name': '0299 Other Physical Sciences'}]",,0
EP-2998410-A1,2016-03-23,"['Autotech Engineering AIE', 'AUTOTECH ENGINEERING AIE']",Method for laser beam heat treatment of press hardened components and press hardened components,,['pub.1028452564'],"['GARCIA, MICHEL']",Application,2014,"[{'id': '2899', 'name': '0910 Manufacturing Engineering'}]","[{'id': 'grid.476123.5', 'city_name': 'Alicante', 'acronym': 'AIE', 'name': 'Asacpharma (Spain)', 'country_name': 'Spain'}]",0
US-9878490-B2,2018-01-30,"['EMS Patent AG', 'BUTZKE JENS', 'WÜRTHNER STEFAN', 'LAMBERTS NIKOLAI', 'DÜBON PIERRE', 'BERTRAM SABINE', 'CAVIEZEL HEINZ', 'EMS-PATENT AG']",Laser beam welding method and molded components fabricated thereby,2018.0,"['pub.1049704950', 'pub.1047570431']","['Jens BUTZKE', 'Stefan Würthner', 'Nikolai Lamberts', 'Pierre Dübon', 'Sabine BERTRAM', 'Heinz CAVIEZEL']",Grant,2012,"[{'id': '2899', 'name': '0910 Manufacturing Engineering'}]","[{'id': 'grid.480170.a', 'city_name': 'Herrliberg', 'name': 'EMS (Switzerland)', 'country_name': 'Switzerland'}]",0
US-8711471-B2,2014-04-29,"['NLIGHT LASER (SHANGHAI) Co Ltd', 'nLight Inc', 'LIU CHANG', 'FARMER JASON N', 'NIJJAR ANMOL', 'LI XIAOJUN', 'NLIGHT PHOTONICS CORP']",High power fiber amplifier with stable output,2014.0,"['pub.1065228094', 'pub.1065190861']","['Chang Liu', 'Jason N. Farmer', 'Anmol Nijjar', 'Xiaojun Li']",Grant,2010,"[{'id': '2409', 'name': '0205 Optical Physics'}]","[{'id': 'grid.431906.9', 'city_name': 'Vancouver', 'name': 'nLIGHT (United States)', 'country_name': 'United States'}]",21
WO-2016046231-A1,2016-03-31,['AUTOTECH ENGINEERING AIE'],METHOD FOR LASER BEAM HEAT TREATMENT OF PRESS HARDENED COMPONENTS AND PRESS HARDENED COMPONENTS,,['pub.1028452564'],"['GARCIA, MICHEL']",Application,2015,"[{'id': '2421', 'name': '0299 Other Physical Sciences'}]",,0
DE-102015208652-A1,2016-11-17,"['Bayerische Motoren Werke AG', 'Technische Universitaet Muenchen', 'BAYERISCHE MOTOREN WERKE AG', 'Technische Universität München']",Hybrid battery component and a method for the production thereof.,,"['pub.1020497622', 'pub.1006967745']","['Rüdiger Daub', 'André Heckert', 'Tobias Zeilinger']",Application,2015,"[{'id': '2921', 'name': '0912 Materials Engineering'}]","[{'id': 'grid.14039.3f', 'city_name': 'Munich', 'name': 'BMW (Germany)', 'country_name': 'Germany'}, {'id': 'grid.6936.a', 'city_name': 'Munich', 'acronym': 'TUM', 'name': 'Technical University Munich', 'country_name': 'Germany'}]",1
US-9535217-B1,2017-01-03,"['nLight Inc', 'NLIGHT INC']",Multimode fiber combiners,2017.0,"['pub.1065228094', 'pub.1061301157', 'pub.1065190861', 'pub.1061702966']","['Jason N. Farmer', 'Ronii C. Mehl', 'Robert G. Waarts']",Grant,2015,"[{'id': '2421', 'name': '0299 Other Physical Sciences'}]","[{'id': 'grid.431906.9', 'city_name': 'Vancouver', 'name': 'nLIGHT (United States)', 'country_name': 'United States'}]",1
US-9403235-B2,2016-08-02,"['Velo3D Inc', 'VELO3D INC']","Apparatuses, systems and methods for three-dimensional printing",2016.0,"['pub.1031531356', 'pub.1033006436', 'pub.1000912738', 'pub.1064448245', 'pub.1062074256', 'pub.1005548235']","['Benyamin Buller', 'Erel Milshtein', 'Sherman Seelinger']",Grant,2015,"[{'id': '2746', 'name': '0801 Artificial Intelligence and Image Processing'}]",,27
US-20150273631-A1,2015-10-01,"['General Electric Co', 'GEN ELECTRIC']",ADDITIVE MANUFACTURING METHOD AND APPARATUS,,['pub.1016766111'],"['Patrick Michael Kenney', 'Dustin Eugene Lindley']",Application,2013,"[{'id': '2921', 'name': '0912 Materials Engineering'}]","[{'id': 'grid.418143.b', 'city_name': 'Boston', 'acronym': 'GE', 'name': 'General Electric (United States)', 'country_name': 'United States'}]",13
US-9573193-B2,2017-02-21,"['Velo3D Inc', 'VELO3D INC']","Apparatuses, systems and methods for three-dimensional printing",2017.0,"['pub.1050932299', 'pub.1005548235', 'pub.1064448245', 'pub.1031531356', 'pub.1062074256', 'pub.1033006436', 'pub.1000912738']","['Benyamin Buller', 'Erel Milshtein']",Grant,2015,"[{'id': '2746', 'name': '0801 Artificial Intelligence and Image Processing'}]",,20
