researcher_id,pubs,full_name,citations_mean,altmetric_mean,last_pub_year,url,total_grants,last_grant_year,total_funding
ur.01132715706.47,22,Adam S. Butterworth,78.13636363636364,159.1818181818182,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01132715706.47,2,2019,3414965.0
ur.0720114066.32,22,Reedik Mägi,162.4090909090909,286.72727272727275,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0720114066.32,9,2022,6227541.0
ur.010065171457.69,22,Tamara B. Harris,90.77272727272728,191.45454545454547,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.010065171457.69,27,2019,18617422.0
ur.013142315002.26,21,Paul M. Ridker,128.28571428571428,279.95238095238096,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.013142315002.26,6,2020,63478692.0
ur.014211634457.16,21,Po-Ru Loh,331.1904761904762,164.52380952380952,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.014211634457.16,5,2023,3335042.0
ur.011026120037.74,21,Ian J. Deary,136.42857142857142,265.42857142857144,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.011026120037.74,41,2023,123520876.0
ur.015301404517.88,21,Marjo-Riitta Jarvelin,121.90476190476191,254.57142857142856,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.015301404517.88,13,2022,4587581.0
ur.012061250547.34,21,Andrew P. Morris,138.28571428571428,186.14285714285717,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.012061250547.34,11,2022,14229451.0
ur.011675454737.09,21,Cornelia M van Duijn,161.33333333333334,373.2380952380952,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.011675454737.09,4,2023,7589176.0
ur.01305515027.20,21,Jaspal S. Kooner,105.23809523809523,175.19047619047618,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01305515027.20,7,2024,19538945.0
ur.0610667722.81,20,Dorret I Boomsma,190.8,318.15,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0610667722.81,8,2015,3314508.0
ur.01052255145.04,20,Markku Laakso,126.25,140.1,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01052255145.04,12,2020,4818033.0
ur.016023162734.90,20,George Dedoussis,100.15,262.65,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.016023162734.90,1,2020,2407867.0
ur.0752407603.69,20,Alison M. Dunning,84.35,251.9,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0752407603.69,15,2020,5107489.0
ur.011673465237.05,20,Christian Gieger,133.55,204.2,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.011673465237.05,0,0,
ur.01301232211.13,20,Ozren Polasek,102.0,239.1,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01301232211.13,2,2020,332723.0
ur.011517303117.07,20,Mark J Daly,368.35,181.1,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.011517303117.07,20,2022,178880146.0
