researcher_id,pubs,full_name,citations_mean,altmetric_mean,last_pub_year,url
ur.01117072553.44,21,Annette Peters,258.14285714285717,212.0952380952381,2021,
ur.0664172257.33,20,Børge G. Nordestgaard,145.0,187.8,2021,
ur.012470551052.55,20,Robert A Scott,152.6,222.4,2020,
ur.01226311004.18,20,Olle Melander,261.4,158.2,2021,
ur.01347664403.23,20,Peter Kraft,194.1,282.0,2021,
ur.01120140410.39,20,Lili Milani,325.5,437.75,2021,
ur.010146517105.13,20,Yingchang Lu,203.0,140.45,2021,
ur.016674701102.75,20,J. Wouter Jukema,238.55,216.95,2021,
ur.01117721120.30,20,Grant W. Montgomery,296.6,421.25,2021,
ur.0576775630.15,20,Igor Rudan,152.95,241.95,2021,
ur.01356633042.87,20,Karen L. Mohlke,178.3,208.85,2021,
ur.0703577540.65,19,Kristian Hveem,165.26315789473685,180.21052631578948,2021,
ur.01345347020.14,19,Dennis O. Mook-Kanamori,151.1578947368421,312.8421052631579,2021,
ur.01325407235.18,19,Diether Lambrechts,124.47368421052632,186.3684210526316,2021,
ur.0730724336.65,19,Jian Yang,457.57894736842104,359.7368421052632,2021,
ur.01326615365.18,19,Danielle Posthuma,401.4736842105263,461.2631578947368,2021,
ur.01276147702.63,19,Evangelos Evangelou,131.73684210526315,196.47368421052633,2021,
ur.0654201533.32,19,Gerome Breen,276.5263157894737,435.3157894736842,2021,
ur.0765447455.52,19,Oluf Pedersen,146.94736842105263,226.94736842105263,2021,
ur.0610017257.08,19,Gonneke Willemsen,236.89473684210526,378.2105263157895,2021,
ur.016466407337.40,19,Panos Deloukas,227.73684210526315,164.1578947368421,2021,
ur.0747162463.84,19,Stella Trompet,243.47368421052633,210.21052631578948,2021,
ur.0670056120.12,19,Albert Hofman,318.4736842105263,348.4736842105263,2019,
ur.016142433077.50,19,Anubha Mahajan,171.42105263157896,208.47368421052633,2021,
ur.01220643160.06,19,Ingileif Jonsdottir,82.3157894736842,237.21052631578948,2021,
ur.015600745002.61,19,John R B Perry,378.4736842105263,354.7368421052632,2019,
ur.01074226355.01,19,Sarah E. Medland,328.36842105263156,503.36842105263156,2021,
ur.0611555753.26,19,Niels Grarup,162.42105263157896,222.68421052631578,2021,
ur.01276752315.18,19,Veronique Vitart,131.0,275.0,2021,
ur.012230156744.42,18,David J. Porteous,320.55555555555554,389.1666666666667,2021,
ur.01134046226.44,18,Tune H Pers,274.3333333333333,341.1666666666667,2019,
ur.01072523061.22,18,Markus M Nöthen,324.22222222222223,248.94444444444446,2021,
ur.01024027537.42,18,Naomi R. Wray,363.72222222222223,243.94444444444446,2021,
ur.0637662640.88,18,Allan Linneberg,166.38888888888889,224.88888888888889,2021,
ur.01263457230.91,18,Ole A. Andreassen,315.6666666666667,190.55555555555554,2021,
ur.0756060406.94,18,John C. Chambers,288.3888888888889,239.22222222222223,2021,
ur.01020276562.45,18,Leo-Pekka Lyytikäinen,209.33333333333334,172.72222222222223,2019,
ur.0750524661.10,18,Nancy L Pedersen,425.0,354.1666666666667,2021,
ur.0715746475.38,18,Uwe Völker,116.22222222222223,176.0,2021,
ur.01325572134.46,18,Sara M. Willems,167.72222222222223,281.5,2021,
ur.0751112610.31,18,Myriam Fornage,188.33333333333334,203.22222222222223,2021,
ur.01034602463.88,18,Paul D P Pharoah,129.83333333333334,246.72222222222223,2020,
ur.0712215644.00,18,Joe Dennis,136.05555555555554,258.44444444444446,2020,
ur.01300757630.84,18,Paolo Gasparini,110.11111111111111,179.5,2019,
ur.016663274647.87,18,Praveen Surendran,136.83333333333334,175.94444444444446,2021,
ur.01014232611.51,18,Paul Elliott,155.44444444444446,170.22222222222223,2020,
ur.0610570026.87,17,Jouke-Jan Hottenga,297.52941176470586,428.11764705882354,2021,
ur.0611452663.46,17,Sune F. Nielsen,133.2941176470588,197.35294117647058,2021,
