,publication_ids,publication_date,FOR,inventor_names,id,year,filing_status,assignee_names,assignees,title,RCDC,granted_year,times_cited
1330,"['pub.1044092686', 'pub.1019104463', 'pub.1061712079', 'pub.1025920634', 'pub.1019222354', 'pub.1021808447', 'pub.1016549770', 'pub.1021186114', 'pub.1019162434', 'pub.1056160166', 'pub.1017908514', 'pub.1026692639', 'pub.1024159587', 'pub.1074704400', 'pub.1009144659', 'pub.1010396766', 'pub.1053186613', 'pub.1026308061', 'pub.1012661240', 'pub.1012610251', 'pub.1024099191', 'pub.1037106594', 'pub.1056227583', 'pub.1024531237', 'pub.1014973828', 'pub.1045319069', 'pub.1003436641', 'pub.1053016240', 'pub.1028807441', 'pub.1027075532', 'pub.1044863148', 'pub.1049357832', 'pub.1004729556', 'pub.1037792610', 'pub.1015972071', 'pub.1037781907', 'pub.1025789016', 'pub.1028726368', 'pub.1016579558', 'pub.1010155541', 'pub.1002042342', 'pub.1041731233', 'pub.1038828819']",2017-09-05,"[{'id': '2353', 'name': '0103 Numerical and Computational Mathematics'}]","['Amrinder Singh Nain', 'Bahareh Behkam']",US-9753023-B2,2016,Grant,"['Carnegie Mellon University', 'UNIV CARNEGIE MELLON']","[{'id': 'grid.147455.6', 'acronym': 'CMU', 'name': 'Carnegie Mellon University', 'country_name': 'United States'}]",Nanofiber grid and related methods,"[{'id': '390', 'name': 'Nanotechnology'}, {'id': '337', 'name': 'Bioengineering'}]",2017.0,
1331,"['pub.1017822899', 'pub.1055225925']",2015-12-08,,['George D. Hartman'],US-9205079-B2,2015,Grant,"['Novira Therapeutics Inc', 'NOVIRA THERAPEUTICS INC']",,Hepatitis B antiviral agents,,2015.0,11.0
1332,"['pub.1001889702', 'pub.1072511264', 'pub.1082486953', 'pub.1019354110', 'pub.1022575366', 'pub.1053110596', 'pub.1019661906', 'pub.1005026359', 'pub.1055223775', 'pub.1017914232']",2012-12-13,"[{'id': '2438', 'name': '0302 Inorganic Chemistry'}]","['HOLBEIN, BRUCE EDWARD', 'FENG, MINHUA', 'HUBER, ANN LOUISE', 'KIDBY, DENIS KEITH']",WO-2012167368-A1,2012,Application,"['CHELATION PARTNERS INC', 'HOLBEIN BRUCE EDWARD', 'FENG MINHUA', 'HUBER ANN LOUISE', 'KIDBY DENIS KEITH']",,METAL CHELATING COMPOSITIONS AND METHODS FOR CONTROLLING THE GROWTH OR ACTIVITIES OF A LIVING CELL OR ORGANISM,,,10.0
1333,"['pub.1027432337', 'pub.1047579325', 'pub.1013672790', 'pub.1013469864', 'pub.1029235335', 'pub.1035558174', 'pub.1015954499']",2018-02-28,,"['LAAKSONEN, REIJO', 'Ekroos, Kim', 'Hurme, Reini', 'Jänis, Minna', 'Katainen, Riikka', 'Tarasov, Kirill']",EP-2385374-B2,2010,Grant,"['Zora Biosciences Oy', 'ZORA BIOSCIENCES OY']","[{'id': 'grid.426520.7', 'name': 'Zora Biosciences (Finland)', 'country_name': 'Finland'}]",Lipidomic biomarkers for atherosclerosis and cardiovascular disease,,2018.0,
1334,"['pub.1015740919', 'pub.1061692615']",2017-06-22,"[{'id': '2746', 'name': '0801 Artificial Intelligence and Image Processing'}]","['LINDEMANN, ROBERT']",WO-2017102634-A1,2016,Application,['CONTINENTAL AUTOMOTIVE GMBH'],"[{'id': 'grid.423649.e', 'name': 'Continental (Germany)', 'country_name': 'Germany'}]",METHOD AND APPARATUS FOR CAMERA-BASED ROAD SIGN RECOGNITION IN A MOTOR VEHICLE,,,
1335,"['pub.1061317732', 'pub.1061432396', 'pub.1061395105', 'pub.1061395246', 'pub.1061432398']",2016-03-15,"[{'id': '3001', 'name': '1005 Communications Technologies'}]","['Harald BURCHARDT', 'Harald Haas', 'Zubin Bharucha']",US-9288022-B2,2013,Grant,"['NTT Docomo Inc', 'NTT DOCOMO INC']","[{'id': 'grid.419819.c', 'acronym': 'NTT', 'name': 'Nippon Telegraph and Telephone (Japan)', 'country_name': 'Japan'}]","Method for controlling operation within a cell of a wireless cellular network, base station and wireless cellular network",,2016.0,
1336,"['pub.1012662104', 'pub.1047915309', 'pub.1035558174', 'pub.1021017304', 'pub.1024619907', 'pub.1025037285', 'pub.1009233376', 'pub.1033630642', 'pub.1022422590', 'pub.1015335534', 'pub.1006430106', 'pub.1033597659', 'pub.1036250731', 'pub.1047579325', 'pub.1013672790', 'pub.1013469864', 'pub.1060301796', 'pub.1045042408', 'pub.1052205967', 'pub.1040895169', 'pub.1037445138', 'pub.1035472912', 'pub.1031176740', 'pub.1027432337', 'pub.1011841425', 'pub.1031599051', 'pub.1029698390', 'pub.1030425433', 'pub.1031640531']",2017-12-12,"[{'id': '3039', 'name': '1101 Medical Biochemistry and Metabolomics'}]","['Reijo Laaksonen', 'Kim Ekroos', 'Reini Hurme', 'Riikka Katainen']",US-9841431-B2,2015,Grant,"['Zora Biosciences Oy', 'ZORA BIOSCIENCES OY']","[{'id': 'grid.426520.7', 'name': 'Zora Biosciences (Finland)', 'country_name': 'Finland'}]",Lipidomic biomarkers for identification of high-risk coronary artery disease patients,"[{'id': '445', 'name': 'Heart Disease'}, {'id': '331', 'name': 'Cardiovascular'}, {'id': '558', 'name': 'Prevention'}, {'id': '444', 'name': 'Heart Disease - Coronary Heart Disease'}, {'id': '308', 'name': 'Atherosclerosis'}]",2017.0,
1337,"['pub.1000012377', 'pub.1013986579', 'pub.1048710932', 'pub.1015087195', 'pub.1000666854', 'pub.1015510006', 'pub.1002785868', 'pub.1009169380', 'pub.1010904856', 'pub.1038194611', 'pub.1004147503', 'pub.1032737092', 'pub.1043477773', 'pub.1052579867', 'pub.1028540053', 'pub.1006639785', 'pub.1045755145', 'pub.1040467981', 'pub.1069184272', 'pub.1025529346', 'pub.1021536088', 'pub.1009445128', 'pub.1045681859', 'pub.1009851692', 'pub.1025383343', 'pub.1004083378', 'pub.1031588063', 'pub.1052822020', 'pub.1031212377', 'pub.1001540395', 'pub.1026697311', 'pub.1045662956', 'pub.1048522293', 'pub.1025925704', 'pub.1058310599', 'pub.1022271337', 'pub.1033519897', 'pub.1025859683', 'pub.1069165679', 'pub.1027563924', 'pub.1009435939', 'pub.1051255370', 'pub.1038209821', 'pub.1032950545', 'pub.1030617578', 'pub.1048526547', 'pub.1019284416', 'pub.1030336438', 'pub.1012619865', 'pub.1017875401', 'pub.1048378968', 'pub.1055223202', 'pub.1036546919', 'pub.1014639070', 'pub.1049039644', 'pub.1009344166', 'pub.1004929245', 'pub.1024073718', 'pub.1007249182']",2016-12-29,"[{'id': '2581', 'name': '0601 Biochemistry and Cell Biology'}]","['DIXON, JAMES']",WO-2016207638-A1,2016,Application,['UNIV NOTTINGHAM'],"[{'id': 'grid.4563.4', 'name': 'University of Nottingham', 'country_name': 'United Kingdom'}]",CONTROLLED CELL DELIVERY VEHICLE AND TREATMENT OF TUMOURS,,,
1338,['pub.1061432396'],2017-09-26,"[{'id': '2867', 'name': '0906 Electrical and Electronic Engineering'}]","['Jong-Kae Fwu', 'Alexey Khoryaev', 'Debdeep CHATTERJEE', 'Mikhail Shilov', 'Andrey Chervyakov', 'Sergey Panteleev', 'Hong He']",US-9775149-B2,2015,Grant,"['Intel Corp', 'INTEL CORP']","[{'id': 'grid.419318.6', 'name': 'Intel (United States)', 'country_name': 'United States'}]",Interference management for dynamic uplink and downlink configuration,,2017.0,
1339,['pub.1030400360'],2018-06-19,"[{'id': '2620', 'name': '0604 Genetics'}]","['Eric Courchesne', 'Tiziano Pramparo']",US-10002230-B2,2015,Grant,"['University of California', 'UNIV CALIFORNIA']","[{'id': 'grid.30389.31', 'name': 'University of California System', 'country_name': 'United States'}]","Screening, diagnosis and prognosis of autism and other developmental disorders","[{'id': '501', 'name': 'Brain Disorders'}, {'id': '439', 'name': 'Diagnostic Radiology'}, {'id': '380', 'name': 'Mental Health'}, {'id': '526', 'name': 'Genetics'}, {'id': '525', 'name': 'Genetic Testing'}, {'id': '310', 'name': 'Autism'}, {'id': '547', 'name': 'Pediatric'}, {'id': '536', 'name': 'Intellectual and Developmental Disabilities (IDD)'}]",2018.0,
1340,"['pub.1051516962', 'pub.1045913263', 'pub.1009370089', 'pub.1032771198', 'pub.1015510006', 'pub.1046559940']",2017-03-08,"[{'id': '2995', 'name': '1004 Medical Biotechnology'}]","['YAMANAKA, SHINYA', 'TAKAHASHI, KAZUTOSHI', 'TANABE, KOJI', 'OHNUKI, MARI']",EP-3008174-A4,2014,Application,"['Kyoto University', 'UNIV KYOTO']","[{'id': 'grid.258799.8', 'name': 'Kyoto University', 'country_name': 'Japan'}]",METHOD OF EFFICIENTLY ESTABLISHING INDUCED PLURIPOTENT STEM CELLS,"[{'id': '484', 'name': 'Stem Cell Research'}]",,
1341,"['pub.1051214539', 'pub.1011007216', 'pub.1020517198', 'pub.1055225925', 'pub.1017822899', 'pub.1008582387']",2016-07-26,"[{'id': '3053', 'name': '1103 Clinical Sciences'}]",['George D. Hartman'],US-9400280-B2,2015,Grant,"['Novira Therapeutics Inc', 'NOVIRA THERAPEUTICS INC']",,Piperidine derivatives and methods of treating hepatitis B infections,"[{'id': '344', 'name': 'Digestive Diseases'}, {'id': '448', 'name': 'Hepatitis'}, {'id': '533', 'name': 'Infectious Diseases'}, {'id': '451', 'name': 'Liver Disease'}, {'id': '375', 'name': 'Chronic Liver Disease and Cirrhosis'}, {'id': '418', 'name': 'Hepatitis - B'}]",2016.0,9.0
1342,"['pub.1029933788', 'pub.1029467419', 'pub.1022031440', 'pub.1024921007', 'pub.1009081897', 'pub.1040968284', 'pub.1029645005', 'pub.1033458099', 'pub.1006483518', 'pub.1007736477', 'pub.1023882243', 'pub.1051682230', 'pub.1002600491', 'pub.1014550555', 'pub.1049960356', 'pub.1022257269', 'pub.1011169875', 'pub.1041674436', 'pub.1038881643', 'pub.1003262555', 'pub.1011962295', 'pub.1025810972', 'pub.1065063979', 'pub.1047511346', 'pub.1018483754', 'pub.1036285672', 'pub.1003295975', 'pub.1053377002', 'pub.1023010126', 'pub.1028027266', 'pub.1026881988', 'pub.1041337436', 'pub.1072296288', 'pub.1031276220', 'pub.1025899139', 'pub.1037454435', 'pub.1053289033', 'pub.1019857985', 'pub.1036528304', 'pub.1019416712', 'pub.1052122994', 'pub.1052316229', 'pub.1034560518']",2017-01-10,,"['Donald J. Zack', 'Derek Stuart Welsbie', 'Zhiyong Yang']",US-9539259-B2,2013,Grant,"['Johns Hopkins University', 'UNIV JOHNS HOPKINS']","[{'id': 'grid.21107.35', 'acronym': 'JHU', 'name': 'Johns Hopkins University', 'country_name': 'United States'}]",Compounds and methods of use thereof for treating neurodegenerative disorders,,2017.0,4.0
1343,['pub.1061432396'],2014-11-04,"[{'id': '3001', 'name': '1005 Communications Technologies'}]","['Mats Folke', 'Sara Landström']",US-8879492-B2,2011,Grant,"['Telefonaktiebolaget LM Ericsson AB', 'FOLKE MATS', 'LANDSTRÖM SARA', 'ERICSSON TELEFON AB L M']","[{'id': 'grid.28287.37', 'name': 'Ericsson (Sweden)', 'country_name': 'Sweden'}]",Methods and arrangements for handling a downlink transmission in a cellular network,,2014.0,
1344,"['pub.1008582387', 'pub.1017822899', 'pub.1011007216', 'pub.1020517198', 'pub.1055225925']",2015-11-10,"[{'id': '3053', 'name': '1103 Clinical Sciences'}]","['George D. Hartman', 'Scott Kuduk']",US-9181288-B2,2015,Grant,"['Novira Therapeutics Inc', 'NOVIRA THERAPEUTICS INC']",,Azepane derivatives and methods of treating hepatitis B infections,"[{'id': '533', 'name': 'Infectious Diseases'}, {'id': '501', 'name': 'Brain Disorders'}, {'id': '448', 'name': 'Hepatitis'}, {'id': '344', 'name': 'Digestive Diseases'}, {'id': '451', 'name': 'Liver Disease'}]",2015.0,19.0
1345,['pub.1061432396'],2013-12-27,"[{'id': '3001', 'name': '1005 Communications Technologies'}]","['LORCA HERNANDO, Javier']",WO-2013189728-A1,2013,Application,['TELEFONICA SA'],"[{'id': 'grid.426313.1', 'name': 'Telefónica (Spain)', 'country_name': 'Spain'}]",A METHOD FOR CANCELLING DOWNLINK INTERFERENCE IN A LTE-ADVANCED NETWORK,,,
1346,['pub.1061432396'],2013-01-17,"[{'id': '3001', 'name': '1005 Communications Technologies'}]","['FOLKE, MATS', 'LANDSTRÖM, Sara']",WO-2013007279-A1,2011,Application,"['ERICSSON TELEFON AB L M', 'FOLKE MATS', 'LANDSTROEM SARA']","[{'id': 'grid.28287.37', 'name': 'Ericsson (Sweden)', 'country_name': 'Sweden'}]",METHODS AND ARRANGEMENTS FOR HANDLING A DOWNLINK TRANSMISSION IN A CELLULAR NETWORK,,,
1347,"['pub.1051700765', 'pub.1006261598', 'pub.1006295349', 'pub.1012534253', 'pub.1029932643', 'pub.1025755034', 'pub.1035823261', 'pub.1046995590', 'pub.1041893901', 'pub.1035366108', 'pub.1033292962', 'pub.1039987283', 'pub.1046372148', 'pub.1062455940', 'pub.1052203474', 'pub.1035236702', 'pub.1045454894', 'pub.1030787623', 'pub.1024414936', 'pub.1043545679', 'pub.1043273160', 'pub.1040877326', 'pub.1004417129', 'pub.1007323178', 'pub.1016874432', 'pub.1013868444', 'pub.1010740897', 'pub.1019799606', 'pub.1053577269', 'pub.1031785953', 'pub.1013316619', 'pub.1004764977', 'pub.1013008799', 'pub.1027687334', 'pub.1019612505', 'pub.1049075000', 'pub.1029293805', 'pub.1022111985', 'pub.1062455286', 'pub.1015204762', 'pub.1034925472', 'pub.1045813035', 'pub.1043029711', 'pub.1041848377', 'pub.1026982890']",2017-09-26,"[{'id': '2581', 'name': '0601 Biochemistry and Cell Biology'}, {'id': '3142', 'name': '1112 Oncology and Carcinogenesis'}]","['David Rodman', 'Anita Seto', 'Christina Dalby', 'Aimee Jackson', 'Xuan BEATTY']",US-9771585-B2,2016,Grant,"['miRagen Therapeutics Inc', 'MIRAGEN THERAPEUTICS INC']",,miR-155 inhibitors for treating cutaneous T cell lymphoma (CTCL),"[{'id': '447', 'name': 'Hematology'}, {'id': '559', 'name': 'Rare Diseases'}, {'id': '503', 'name': 'Cancer'}, {'id': '454', 'name': 'Lymphoma'}]",2017.0,5.0
1348,"['pub.1017822899', 'pub.1055225925']",2017-02-28,,['George D. Hartman'],US-9579313-B2,2015,Grant,"['Novira Therapeutics Inc', 'NOVIRA THERAPEUTICS INC']",,Hepatitis B antiviral agents,,2017.0,5.0
1349,"['pub.1035635906', 'pub.1063338524', 'pub.1024115881', 'pub.1026165915', 'pub.1013343586', 'pub.1029850392', 'pub.1051446210', 'pub.1041760309', 'pub.1055000579', 'pub.1037134682', 'pub.1013218291', 'pub.1014652431', 'pub.1078615738', 'pub.1013973100', 'pub.1013469864', 'pub.1037445138', 'pub.1051840406', 'pub.1063337584', 'pub.1009367543', 'pub.1018362682', 'pub.1064285905', 'pub.1024372121', 'pub.1063292623', 'pub.1013672790']",2016-02-09,"[{'id': '3048', 'name': '1102 Cardiorespiratory Medicine and Haematology'}, {'id': '2581', 'name': '0601 Biochemistry and Cell Biology'}]","['Peter John Meikle', 'Izhak Haviv', 'Bronwyn Anne Kingwell', 'Justin Bedo', 'Benjamin Goudey']",US-9255935-B2,2015,Grant,"['BAKER IDI HEART AND DIABETES INSTITUTE HOLDINGS Ltd', 'BAKER IDI HEART AND DIABETES INST HOLDINGS LTD']","[{'id': 'grid.1051.5', 'name': 'Baker IDI Heart and Diabetes Institute', 'country_name': 'Australia'}]",Lipid biomarkers for stable and unstable heart disease,"[{'id': '445', 'name': 'Heart Disease'}, {'id': '331', 'name': 'Cardiovascular'}]",2016.0,
1350,"['pub.1001788892', 'pub.1051214539', 'pub.1008582387', 'pub.1017822899', 'pub.1011007216', 'pub.1020517198', 'pub.1055225925']",2017-06-13,"[{'id': '3114', 'name': '1108 Medical Microbiology'}]","['George D. Hartman', 'Osvaldo A. Flores']",US-9676747-B2,2015,Grant,"['Novira Therapeutics Inc', 'NOVIRA THERAPEUTICS INC']",,Hepatitis B antiviral agents,"[{'id': '533', 'name': 'Infectious Diseases'}, {'id': '418', 'name': 'Hepatitis - B'}, {'id': '448', 'name': 'Hepatitis'}, {'id': '344', 'name': 'Digestive Diseases'}, {'id': '451', 'name': 'Liver Disease'}]",2017.0,5.0
