,publication_ids,publication_date,FOR,inventor_names,id,year,filing_status,assignee_names,assignees,title,RCDC,granted_year,times_cited
0,"['pub.1019581843', 'pub.1092164786']",2018-01-24,"[{'id': '2746', 'name': '0801 Artificial Intelligence and Image Processing'}]","['ZIGON, ROBERT', 'VANWINKLE, RACHEL', 'SMITH, JEREMY, ALAN', 'MYERS, LARRY']",EP-2347352-A4,2009,Application,"['Beckman Coulter Inc', 'BECKMAN COULTER INC']","[{'id': 'grid.418254.e', 'name': 'Beckman Coulter (United States)', 'country_name': 'United States'}]",INTERACTIVE TREE PLOT FOR FLOW CYTOMETRY DATA,,,
1,"['pub.1030319901', 'pub.1034748881', 'pub.1037179054', 'pub.1003296386', 'pub.1016442987', 'pub.1069166478', 'pub.1018593738', 'pub.1030359592', 'pub.1039913993', 'pub.1090348791', 'pub.1043384193', 'pub.1015699005', 'pub.1045779840', 'pub.1027499160', 'pub.1019863016', 'pub.1047047985', 'pub.1032944135', 'pub.1048668305', 'pub.1070729638', 'pub.1018765157', 'pub.1037197251', 'pub.1000761947', 'pub.1015718059', 'pub.1034539381', 'pub.1022353002', 'pub.1040934132', 'pub.1055865273', 'pub.1016099188', 'pub.1023119049']",2018-04-17,"[{'id': '2464', 'name': '0305 Organic Chemistry'}]","['Roberto Motterlini', 'Roberta FORESTI', 'Thierry Martens', 'Michael Rivard']",US-9944669-B2,2015,Grant,"['Centre National de la Recherche Scientifique CNRS', 'Institut National de la Sante et de la Recherche Medicale INSERM', 'Universite Paris-Est Creteil (Paris 12)', 'UNIV PARIS VAL DE MARNE', 'CENTRE NAT RECH SCIENT', 'INST NAT SANTE RECH MED']","[{'id': 'grid.7429.8', 'acronym': 'INSERM', 'name': 'French Institute of Health and Medical Research', 'country_name': 'France'}, {'id': 'grid.410511.0', 'acronym': 'UPEC', 'name': 'Paris 12 Val de Marne University', 'country_name': 'France'}, {'id': 'grid.4444.0', 'acronym': 'CNRS', 'name': 'French National Centre for Scientific Research', 'country_name': 'France'}]","Fumarate-CO-releasing molecule hybrids, their use in the treatment of inflammatory or cardiovascular diseases and their process of preparation","[{'id': '501', 'name': 'Brain Disorders'}]",2018.0,
2,['pub.1091248898'],2016-04-07,,"['Yukiko Kubota', 'Timothy John Klemmer', 'Kai Chieh Chang', 'Li Gao', 'Yinfeng Ding', 'Yingguo Peng', 'Jan-Ulrich Thiele']",US-20160099016-A1,2015,Application,"['Seagate Technology LLC', 'SEAGATE TECHNOLOGY LLC']","[{'id': 'grid.462839.2', 'name': 'Seagate (United States)', 'country_name': 'United States'}]",MAGNETIC STACK INCLUDING MgO-Ti(ON) INTERLAYER,,,
3,"['pub.1084749935', 'pub.1013385375', 'pub.1055959493', 'pub.1033028415', 'pub.1007270938', 'pub.1036687200', 'pub.1009114829', 'pub.1010235105', 'pub.1017206334', 'pub.1037207742', 'pub.1007118808', 'pub.1055934667', 'pub.1055958479', 'pub.1050915882', 'pub.1032835116', 'pub.1055932735']",2012-03-27,"[{'id': '2421', 'name': '0299 Other Physical Sciences'}]","['Geoffrey W. Abbott', 'Robert Engel', 'JaimeLee Iolani Rizzo']",US-8143254-B2,2006,Grant,"['University of New York City Research Foundation', 'Cornell Research Foundation Inc', 'Pace University', 'ABBOTT GEOFFREY W', 'ENGEL ROBERT', 'RIZZO JAIMELEE IOLANI', 'CORNELL RES FOUNDATION INC', 'PACE UNIVERSITY', 'RES FOUNDATION OF CITY UNIVERSITY OF NEW YORK']","[{'id': 'grid.5386.8', 'acronym': 'CU', 'name': 'Cornell University', 'country_name': 'United States'}, {'id': 'grid.261572.5', 'name': 'Pace University', 'country_name': 'United States'}, {'id': 'grid.430075.5', 'acronym': 'RFCUNY', 'name': 'Research Foundation of The City University of New York', 'country_name': 'United States'}]",Methods for modulating ion channels,,2012.0,
4,['pub.1070928630'],2018-02-08,"[{'id': '2421', 'name': '0299 Other Physical Sciences'}]","['HELLWIG, Dirk']",WO-2018024813-A1,2017,Application,['UNIV REGENSBURG'],"[{'id': 'grid.7727.5', 'name': 'University of Regensburg', 'country_name': 'Germany'}]",IMAGING TECHNOLOGIES,"[{'id': '517', 'name': 'Drug Abuse (NIDA Only)'}, {'id': '573', 'name': 'Substance Abuse'}]",,
5,"['pub.1056288109', 'pub.1047754373', 'pub.1033312360', 'pub.1083853536', 'pub.1041711258']",2018-06-05,,['Jeffrey Etter'],US-9987285-B2,2015,Grant,"['CLOVIS ONCOLOGY Inc', 'CLOVIS ONCOLOGY INC']","[{'id': 'grid.428464.8', 'name': 'Clovis Oncology (United States)', 'country_name': 'United States'}]",High dosage strength tablets of rucaparib,,2018.0,2.0
6,"['pub.1049949711', 'pub.1091101292', 'pub.1070752127', 'pub.1010728744', 'pub.1003712700', 'pub.1037498592', 'pub.1042803077', 'pub.1106204199', 'pub.1044093283', 'pub.1007236387', 'pub.1040612411', 'pub.1003703307', 'pub.1021935355', 'pub.1062558559', 'pub.1009361317', 'pub.1020501313', 'pub.1039385019', 'pub.1049721167', 'pub.1058401479', 'pub.1023775809', 'pub.1056289273', 'pub.1037435951', 'pub.1006193393', 'pub.1085466504', 'pub.1000276458', 'pub.1019369319', 'pub.1050726278', 'pub.1027532046', 'pub.1051376592', 'pub.1018905721', 'pub.1090351728', 'pub.1006788637', 'pub.1091770661', 'pub.1025256559', 'pub.1047393587', 'pub.1067554267', 'pub.1055136424', 'pub.1030590256', 'pub.1042729740', 'pub.1050865548', 'pub.1056211262', 'pub.1058420565', 'pub.1001546061', 'pub.1064285860', 'pub.1091761337', 'pub.1055099818', 'pub.1050415348', 'pub.1086038221', 'pub.1022743272', 'pub.1090346424', 'pub.1027466116', 'pub.1086154042', 'pub.1006552044', 'pub.1011918743', 'pub.1039895113', 'pub.1019913552', 'pub.1001520704', 'pub.1072347650', 'pub.1028758097', 'pub.1048886688', 'pub.1007290433', 'pub.1091896695', 'pub.1000786924', 'pub.1053548183', 'pub.1011121585', 'pub.1043938994', 'pub.1045912481', 'pub.1051446104', 'pub.1045991513', 'pub.1018855585', 'pub.1092419953', 'pub.1063226540', 'pub.1043670795', 'pub.1023348282', 'pub.1001477530', 'pub.1046697624', 'pub.1022507906', 'pub.1046865979', 'pub.1043514230', 'pub.1011887734', 'pub.1006044612', 'pub.1007861322', 'pub.1025479136', 'pub.1021788062', 'pub.1037354217', 'pub.1053965505', 'pub.1047944194', 'pub.1034280993', 'pub.1035462110', 'pub.1028294753', 'pub.1055953752', 'pub.1049739093', 'pub.1041486412', 'pub.1032942774', 'pub.1063225613', 'pub.1085469413', 'pub.1084177382', 'pub.1100248934', 'pub.1086131882', 'pub.1035590549', 'pub.1026993418']",2018-07-17,"[{'id': '2464', 'name': '0305 Organic Chemistry'}]","['Steven W. Andrews', 'James F. Blake', 'Mark J. Chicarelli', 'Adam Golos', 'Julia Haas', 'Yutong Jiang', 'Gabrielle R. Kolakowski']",US-10023570-B2,2016,Grant,"['Array Biopharma Inc', 'ARRAY BIOPHARMA INC', 'ARRAY BIOPHARMA INC']","[{'id': 'grid.467148.8', 'name': 'Array BioPharma (United States)', 'country_name': 'United States'}]","Substituted pyrazolo[1,5-A]pyridine compounds as RET kinase inhibitors",,2018.0,
7,"['pub.1052744398', 'pub.1033847695', 'pub.1041076958', 'pub.1019145605', 'pub.1014189966']",2018-03-15,"[{'id': '3164', 'name': '1115 Pharmacology and Pharmaceutical Sciences'}]","['HAKONARSON, HAKON', 'KAO, CHARLLY']",WO-2018048868-A1,2017,Application,['CHILDRENS HOSPITAL PHILADELPHIA'],"[{'id': 'grid.239552.a', 'acronym': 'CHOP', 'name': ""Children's Hospital of Philadelphia"", 'country_name': 'United States'}]",NONSELECTIVE METABOTROPIC GLUTAMATE RECEPTOR ACTIVATORS FOR TREATMENT OF ANOREXIA NERVOSA AND BINGE EATING DISORDER,"[{'id': '501', 'name': 'Brain Disorders'}, {'id': '380', 'name': 'Mental Health'}, {'id': '388', 'name': 'Nutrition'}, {'id': '300', 'name': 'Anorexia'}, {'id': '349', 'name': 'Eating Disorders'}, {'id': '561', 'name': 'Serious Mental Illness'}]",,
8,"['pub.1010874175', 'pub.1064247036', 'pub.1051404239', 'pub.1050514878', 'pub.1055195190', 'pub.1030496984', 'pub.1037321861', 'pub.1047319178', 'pub.1045742947', 'pub.1031938983', 'pub.1047856231', 'pub.1026288075', 'pub.1047370275', 'pub.1099742127', 'pub.1046559628', 'pub.1047549601', 'pub.1012054270']",2013-01-01,,"['David Jonathan Glass', 'Mara Fornaro']",US-8343918-B2,2007,Grant,"['Novartis AG', 'NOVARTIS AG', 'GLASS DAVID JONATHAN', 'FORNARO MARA']","[{'id': 'grid.419481.1', 'name': 'Novartis (Switzerland)', 'country_name': 'Switzerland'}]",Stabilized insulin-like growth factor polypeptides,,2013.0,5.0
9,"['pub.1039353647', 'pub.1099742127', 'pub.1027553870', 'pub.1000740630', 'pub.1013689183', 'pub.1027701166', 'pub.1030600797', 'pub.1064263566', 'pub.1001364348', 'pub.1033288170', 'pub.1012328869', 'pub.1002689351', 'pub.1019097835', 'pub.1047549601', 'pub.1026855188', 'pub.1012968110', 'pub.1031383607', 'pub.1011925601', 'pub.1006593866', 'pub.1033392784', 'pub.1053108916', 'pub.1013429391', 'pub.1064330308', 'pub.1042921312', 'pub.1050514878', 'pub.1019932907', 'pub.1014864717', 'pub.1038361449', 'pub.1064261279', 'pub.1036329079', 'pub.1059980371', 'pub.1020642327', 'pub.1025834393', 'pub.1021243654', 'pub.1051958301', 'pub.1027715459', 'pub.1001078735']",1997-10-21,,"['Francis John Ballard', 'Leanna Christine Read']",US-5679771-A,1994,Grant,"['Novozymes Biopharma DK AS', 'GROPEP PTY LTD']",,Method for treating intestinal diseases,,1997.0,10.0
10,"['pub.1041527021', 'pub.1055152669', 'pub.1055181427', 'pub.1099742127']",2000-11-21,"[{'id': '2447', 'name': '0303 Macromolecular and Materials Chemistry'}]","['Savio L. C. Woo', 'Louis C. Smith', 'Richard J. Cristiano', 'Stephen Gottchalk', 'Jim Sparrow']",US-6150168-A,1995,Grant,"['Baylor College of Medicine', 'BAYLOR COLLEGE MEDICINE']","[{'id': 'grid.39382.33', 'acronym': 'BCM', 'name': 'Baylor College of Medicine', 'country_name': 'United States'}]",Nucleic acid transporter systems and methods of use,,2000.0,22.0
11,"['pub.1099742127', 'pub.1055152669', 'pub.1062573448', 'pub.1041527021', 'pub.1055181427']",2000-03-07,"[{'id': '2447', 'name': '0303 Macromolecular and Materials Chemistry'}]","['Savio L. C. Woo', 'Louis C. Smith', 'Richard J. Cristiano', 'Stephen Gottchalk', 'Jim Sparrow']",US-6033884-A,1993,Grant,"['Baylor College of Medicine', 'BAYLOR COLLEGE MEDICINE']","[{'id': 'grid.39382.33', 'acronym': 'BCM', 'name': 'Baylor College of Medicine', 'country_name': 'United States'}]",Nucleic acid transporter systems and methods of use,,2000.0,32.0
12,"['pub.1055181427', 'pub.1040877166', 'pub.1041527021', 'pub.1055152669', 'pub.1062573448', 'pub.1099742127']",1999-11-30,"[{'id': '3039', 'name': '1101 Medical Biochemistry and Metabolomics'}]","['Savio L. C. Woo', 'Louis C. Smith', 'Richard J. Cristiano', 'Stephen Gottchalk', 'Jim Sparrow']",US-5994109-A,1995,Grant,"['Baylor College of Medicine', 'BAYLOR COLLEGE MEDICINE']","[{'id': 'grid.39382.33', 'acronym': 'BCM', 'name': 'Baylor College of Medicine', 'country_name': 'United States'}]",Nucleic acid transporter system and methods of use,,1999.0,48.0
13,"['pub.1055152669', 'pub.1099742127', 'pub.1055181427', 'pub.1041527021']",2001-01-23,"[{'id': '3039', 'name': '1101 Medical Biochemistry and Metabolomics'}]","['Savio L. C. Woo', 'Louis C. Smith', 'Richard J. Cristiano', 'Stephen Gottchalk', 'Jim Sparrow']",US-6177554-B1,1995,Grant,"['Baylor College of Medicine', 'BAYLOR COLLEGE MEDICINE']","[{'id': 'grid.39382.33', 'acronym': 'BCM', 'name': 'Baylor College of Medicine', 'country_name': 'United States'}]",Nucleic acid transporter systems,,2001.0,72.0
14,"['pub.1007804767', 'pub.1053630340', 'pub.1002905005', 'pub.1031639545', 'pub.1011853799', 'pub.1008252801', 'pub.1026775309', 'pub.1033026242', 'pub.1001005717']",2018-05-30,"[{'id': '2620', 'name': '0604 Genetics'}]","['KORTH, CARSTEN', 'TROßBACH, Svenja', 'HECHER, Laura']",EP-3327134-A1,2016,Application,['KORTH CARSTEN'],,METHOD AND BIOMARKERS FOR IN VITRO DIAGNOSIS OF MENTAL DISORDERS,"[{'id': '507', 'name': 'Clinical Research'}, {'id': '380', 'name': 'Mental Health'}, {'id': '501', 'name': 'Brain Disorders'}, {'id': '526', 'name': 'Genetics'}]",,
15,"['pub.1007804767', 'pub.1011853799', 'pub.1053630340', 'pub.1008252801', 'pub.1031639545', 'pub.1033026242', 'pub.1001005717', 'pub.1002905005', 'pub.1026775309', 'pub.1040099102']",2018-05-31,"[{'id': '2620', 'name': '0604 Genetics'}]","['KORTH, CARSTEN', 'TROßBACH, Svenja', 'HECHER, Laura']",WO-2018096141-A1,2017,Application,['KORTH CARSTEN'],,METHOD AND BIOMARKERS FOR IN VITRO DIAGNOSIS OF MENTAL DISORDERS,"[{'id': '526', 'name': 'Genetics'}, {'id': '501', 'name': 'Brain Disorders'}, {'id': '380', 'name': 'Mental Health'}, {'id': '507', 'name': 'Clinical Research'}, {'id': '338', 'name': 'Biotechnology'}]",,
16,"['pub.1043830021', 'pub.1085096692', 'pub.1085044939', 'pub.1070730234', 'pub.1021675438', 'pub.1097644737', 'pub.1084077151', 'pub.1047428115']",2017-12-19,"[{'id': '2837', 'name': '0903 Biomedical Engineering'}]","['Harith Rajagopalan', 'Jay Caplan', 'Craig M. Gardner', 'J. Christopher Flaherty']",US-9844641-B2,2016,Grant,"['Fractyl Laboratories Inc', 'FRACTYL LABORATORIES INC']",,"Systems, devices and methods for performing medical procedures in the intestine",,2017.0,1.0
17,"['pub.1021675438', 'pub.1097644737', 'pub.1085096692', 'pub.1043830021', 'pub.1070730234', 'pub.1085044939']",2017-09-12,"[{'id': '2837', 'name': '0903 Biomedical Engineering'}]","['Harith Rajagopalan', 'Jay Caplan', 'Craig M. Gardner', 'J. Christopher Flaherty']",US-9757535-B2,2016,Grant,"['Fractyl Laboratories Inc', 'FRACTYL LABORATORIES INC']",,"Systems, devices and methods for performing medical procedures in the intestine","[{'id': '451', 'name': 'Liver Disease'}, {'id': '344', 'name': 'Digestive Diseases'}, {'id': '375', 'name': 'Chronic Liver Disease and Cirrhosis'}, {'id': '448', 'name': 'Hepatitis'}]",2017.0,3.0
18,"['pub.1016438233', 'pub.1047883095', 'pub.1032958248', 'pub.1001770503', 'pub.1055902794', 'pub.1028246377', 'pub.1053515358', 'pub.1031663285', 'pub.1020273769', 'pub.1007218184', 'pub.1019898337', 'pub.1032882175', 'pub.1035870279', 'pub.1055891921', 'pub.1055927349', 'pub.1055924782', 'pub.1040282271', 'pub.1010524709', 'pub.1045285132', 'pub.1032020370', 'pub.1030582638', 'pub.1052772965', 'pub.1020453652', 'pub.1006115372']",2016-05-17,"[{'id': '2358', 'name': '0104 Statistics'}]",['Clinton DAHLBERG'],US-9340479-B2,2015,Grant,"['KINDEX PHARMACEUTICALS Inc', 'KINDEX PHARMACEUTICALS INC']",,Methods of synthesizing alpha acids and substantially enantiomerically pure compositions thereof,,2016.0,
19,"['pub.1018098636', 'pub.1015541627', 'pub.1026371633', 'pub.1050351408', 'pub.1015538981']",2018-06-07,"[{'id': '3164', 'name': '1115 Pharmacology and Pharmaceutical Sciences'}]","['TSOPANOGLOU, Nikolaos', 'MARAGOUDAKIS, MICHAEL']",WO-2018100403-A1,2017,Application,"['UNIV OF PATRAS', 'TSOPANOGLOU NIKOLAOS', 'MARAGOUDAKIS MICHAEL']","[{'id': 'grid.11047.33', 'name': 'University of Patras', 'country_name': 'Greece'}]",COMBINATION OF PARSTATIN 1-26 AND EXENATIDE,,,
20,"['pub.1045396159', 'pub.1014901029', 'pub.1037438220', 'pub.1022589625', 'pub.1027808664', 'pub.1035305846', 'pub.1027831392', 'pub.1019297453', 'pub.1028522567', 'pub.1025451268', 'pub.1005304147', 'pub.1042590340', 'pub.1049685961']",2018-06-19,"[{'id': '2777', 'name': '0804 Data Format'}]","['Thomas Endress', 'Daniel Szabo', 'Fabian Wahl']",US-10002277-B1,2017,Grant,"['Merck Patent GmbH', 'MERCK PATENT GMBH']","[{'id': 'grid.39009.33', 'name': 'Merck (Germany)', 'country_name': 'Germany'}]",Reader device for reading a marking comprising a physical unclonable function,,2018.0,3.0
21,"['pub.1045396159', 'pub.1014901029', 'pub.1037438220', 'pub.1022589625', 'pub.1027808664', 'pub.1035305846', 'pub.1027831392', 'pub.1019297453', 'pub.1028522567', 'pub.1025451268', 'pub.1005304147', 'pub.1042590340']",2018-06-19,"[{'id': '2777', 'name': '0804 Data Format'}]","['Thomas Endress', 'Daniel Szabo', 'Fabian Wahl']",US-10002362-B1,2017,Grant,"['Merck Patent GmbH', 'MERCK PATENT GMBH']","[{'id': 'grid.39009.33', 'name': 'Merck (Germany)', 'country_name': 'Germany'}]",Composite security marking,,2018.0,1.0
22,['pub.1094156735'],2018-04-12,"[{'id': '2867', 'name': '0906 Electrical and Electronic Engineering'}]","['NOH, YOHAN', 'BIMBO, Joao', 'RHODE, KAWAL', 'ALTHOEFER, KASPAR', 'LIU, HONGBIN', 'HOUSDEN, Richard James', 'WURDEMANN, Helge']",WO-2018065765-A1,2017,Application,['KING S COLLEGE LONDON'],"[{'id': 'grid.13097.3c', 'acronym': 'KCL', 'name': ""King's College London"", 'country_name': 'United Kingdom'}]",MULTI-AXIS FORCE SENSOR,"[{'id': '337', 'name': 'Bioengineering'}]",,
23,"['pub.1008618601', 'pub.1053429111', 'pub.1020362495', 'pub.1046162187', 'pub.1014674293', 'pub.1039697473', 'pub.1039049100', 'pub.1031326052', 'pub.1028544661', 'pub.1029073985', 'pub.1038050664', 'pub.1019745674', 'pub.1022658872', 'pub.1033123959', 'pub.1004627525', 'pub.1006374332', 'pub.1034951685', 'pub.1049712688', 'pub.1051731341', 'pub.1053398409', 'pub.1046783088', 'pub.1043170160', 'pub.1022088960', 'pub.1043443953', 'pub.1023940908', 'pub.1011084389', 'pub.1053037078', 'pub.1008925377', 'pub.1006550371', 'pub.1023436145', 'pub.1008577292', 'pub.1029782633', 'pub.1023548110', 'pub.1021929124', 'pub.1036319979', 'pub.1049249941', 'pub.1012032711', 'pub.1042405936', 'pub.1016188024', 'pub.1043680160']",2018-09-04,"[{'id': '3103', 'name': '1107 Immunology'}]",['Kari C. Nadeau'],US-10064936-B2,2016,Grant,"['Leland Stanford Junior University', 'UNIV LELAND STANFORD JUNIOR']","[{'id': 'grid.168010.e', 'acronym': 'SU', 'name': 'Stanford University', 'country_name': 'United States'}]",Mixed allergen compositions and methods for using the same,"[{'id': '388', 'name': 'Nutrition'}]",2018.0,
24,"['pub.1022658872', 'pub.1051731341', 'pub.1042405936', 'pub.1023436145', 'pub.1029073985', 'pub.1028544661', 'pub.1008925377', 'pub.1049249941', 'pub.1046162187', 'pub.1053037078', 'pub.1043680160', 'pub.1031326052', 'pub.1004627525', 'pub.1043170160', 'pub.1008618601', 'pub.1036319979', 'pub.1043443953', 'pub.1012032711', 'pub.1021929124', 'pub.1014674293', 'pub.1038050664', 'pub.1006550371', 'pub.1023940908', 'pub.1034951685', 'pub.1053398409', 'pub.1049712688', 'pub.1029782633', 'pub.1011084389', 'pub.1039697473', 'pub.1033123959', 'pub.1039049100', 'pub.1016188024', 'pub.1023548110', 'pub.1006374332', 'pub.1022088960', 'pub.1053429111', 'pub.1046783088', 'pub.1020362495', 'pub.1019745674']",2017-08-15,"[{'id': '3103', 'name': '1107 Immunology'}]",['Kari C. Nadeau'],US-9731003-B2,2016,Grant,"['Leland Stanford Junior University', 'UNIV LELAND STANFORD JUNIOR']","[{'id': 'grid.168010.e', 'acronym': 'SU', 'name': 'Stanford University', 'country_name': 'United States'}]",Mixed allergen compositions and methods for using the same,"[{'id': '388', 'name': 'Nutrition'}]",2017.0,8.0
25,"['pub.1046971968', 'pub.1049916248', 'pub.1038473514', 'pub.1007319748', 'pub.1022327910', 'pub.1029679777', 'pub.1007532814', 'pub.1035117696', 'pub.1041119583', 'pub.1050917544', 'pub.1008075749', 'pub.1074260347', 'pub.1001033312', 'pub.1044030859', 'pub.1029731737', 'pub.1053675485', 'pub.1030615820', 'pub.1041109745', 'pub.1034120321', 'pub.1036060991', 'pub.1069162062', 'pub.1007330709', 'pub.1034013763', 'pub.1022806522', 'pub.1025224859', 'pub.1028615804', 'pub.1000319250', 'pub.1009077384', 'pub.1024059257', 'pub.1000170304', 'pub.1040801964', 'pub.1049086680', 'pub.1044759432', 'pub.1045908987', 'pub.1012652238', 'pub.1003942241', 'pub.1007450009', 'pub.1012234267', 'pub.1007604399', 'pub.1049881924', 'pub.1034803905', 'pub.1052270984', 'pub.1023228038']",2018-03-06,"[{'id': '3048', 'name': '1102 Cardiorespiratory Medicine and Haematology'}]",['Mike Trower'],US-9907795-B2,2017,Grant,"['Nerre Therapeutics Ltd', 'NERRE THERAPEUTICS LTD']",,Method of treatment of chronic cough administering orvepitant in combination with other therapeutic agents,,2018.0,
26,"['pub.1009542183', 'pub.1029804036', 'pub.1044984743', 'pub.1007700367', 'pub.1018819001', 'pub.1053923731', 'pub.1013457507', 'pub.1054058499', 'pub.1051941672']",2017-11-07,,"['Regina M. Murphy', 'Patricia Y. Cho', 'Jeffrey A. Johnson', 'Xiaomeng Lu']",US-9809627-B2,2015,Grant,"['Wisconsin Alumni Research Foundation', 'WISCONSIN ALUMNI RES FOUND']","[{'id': 'grid.453773.1', 'acronym': 'WARF', 'name': 'Wisconsin Alumni Research Foundation', 'country_name': 'United States'}]",Cyclized transthyretin peptide and methods of use therefor,,2017.0,
27,['pub.1072355917'],2016-11-15,"[{'id': '2746', 'name': '0801 Artificial Intelligence and Image Processing'}]",['Jonathan H. Friedman'],US-9495276-B1,2008,Grant,"['MathWorks Inc', 'FRIEDMAN JONATHAN H', 'MATHWORKS INC']","[{'id': 'grid.471101.2', 'name': 'MathWorks (United States)', 'country_name': 'United States'}]",Indicating metrics associated with a model on a human machine interface (HMI),,2016.0,3.0
28,"['pub.1012504411', 'pub.1052910569', 'pub.1010821695', 'pub.1038276892', 'pub.1043965939', 'pub.1006528939', 'pub.1050881401', 'pub.1041213558', 'pub.1046364195']",2018-03-22,"[{'id': '2421', 'name': '0299 Other Physical Sciences'}]","['BOULDI, Mélina', 'WARNKING, Jan']",WO-2018050777-A1,2017,Application,"['INST NAT SANTE RECH MED', 'UNIV GRENOBLE ALPES']","[{'id': 'grid.450307.5', 'acronym': 'UGA', 'name': 'Grenoble Alpes University', 'country_name': 'France'}, {'id': 'grid.7429.8', 'acronym': 'INSERM', 'name': 'French Institute of Health and Medical Research', 'country_name': 'France'}]",A METHOD FOR CHARACTERIZING THE RADIO-FREQUENCY TRANSMIT FIELD IN NMR,,,
