,id,name,country_name,acronym,grant_id,grant_year,grant_title
40,grid.28390.30,German Telecom,Germany,DT,EP-3327990-A1,2016,RADIO COMMUNICATION NETWORK WITH MULTI THRESHOLD BASED SLA MONITORING FOR RADIO RESOURCE MANAGEMENT
41,grid.28390.30,German Telecom,Germany,DT,EP-3316646-A1,2016,RADIO COMMUNICATION NETWORK WITH RE-CONFIGURABLE RADIO SCHEDULER
42,grid.6533.3,Nokia (Finland),Finland,,WO-2017211849-A1,2017,"METHOD, SYSTEM AND APPARATUS"
43,grid.6533.3,Nokia (Finland),Finland,,WO-2017220855-A1,2017,METHOD AND APPARATUS FOR PERFORMING PACKET DUPLICATION IN A MULTI-CONNECTIVITY SCENARIO
44,grid.28287.37,Ericsson (Sweden),Sweden,,WO-2017209671-A1,2016,MANAGEMENT OF 5G SPLIT BEARER FLOW CONTROL
45,grid.168010.e,Stanford University,United States,SU,US-10064936-B2,2016,Mixed allergen compositions and methods for using the same
46,grid.168010.e,Stanford University,United States,SU,US-9731003-B2,2016,Mixed allergen compositions and methods for using the same
47,grid.4561.6,Fraunhofer Society,Germany,FHG,US-9745552-B2,2011,Anti CD4 antibodies to prevent in particular graft-versus-host-disease (GvHD)
48,grid.28287.37,Ericsson (Sweden),Sweden,,WO-2017175027-A1,2016,QUALITY OF SERVICE (QOS) SUPPORT FOR TACTILE TRAFFIC
49,grid.30389.31,University of California System,United States,,US-9701675-B2,2016,Activation of TRPV4 ion channel by physical stimuli and critical role for TRPV4 in organ-specific inflammation and itch
50,grid.26009.3d,Duke University,United States,,US-9701675-B2,2016,Activation of TRPV4 ion channel by physical stimuli and critical role for TRPV4 in organ-specific inflammation and itch
51,grid.277151.7,Centre Hospitalier Universitaire de Nantes,France,CHU,WO-2018015551-A1,2017,METHODS FOR DISCRIMINATING A TOLERANT SUBJECT
52,grid.4444.0,French National Centre for Scientific Research,France,CNRS,WO-2018015551-A1,2017,METHODS FOR DISCRIMINATING A TOLERANT SUBJECT
53,grid.4817.a,University of Nantes,France,,WO-2018015551-A1,2017,METHODS FOR DISCRIMINATING A TOLERANT SUBJECT
54,grid.417570.0,Roche (Switzerland),Switzerland,,EP-2903691-A4,2013,METHODS FOR DIAGNOSING AND TREATING INFLAMMATORY BOWEL DISEASE
55,grid.417570.0,Roche (Switzerland),Switzerland,,EP-3122377-A4,2015,METHODS FOR DIAGNOSING AND TREATING INFLAMMATORY BOWEL DISEASE
56,grid.418158.1,Roche (United States),United States,Roche,US-9873742-B2,2015,Methods for diagnosing and treating inflammatory bowel disease
57,grid.410513.2,Pfizer (United States),United States,Pfizer,US-10035788-B2,2017,Maleate salts of (E)-N-{4[3-chloro-4-(2-pyridinylmethoxy)anilino]-3-cyano-7-ethoxy-6-quinolinyl}-4-(dimethylamino)-2-butenamide and crystalline forms thereof
58,grid.410513.2,Pfizer (United States),United States,Pfizer,US-9630946-B2,2015,Maleate salts of (E)-N-{4-[3-chloro-4-(2-pyridinylmethoxy)anilino]-3-cyano-7-ethoxy-6-quinolinyl}-4-(dimethylamino)-2-butenamide and crystalline forms thereof
59,grid.168010.e,Stanford University,United States,SU,US-10034645-B1,2017,Systems and methods for detecting complex networks in MRI image data
60,grid.25786.3e,Italian Institute of Technology,Italy,,US-9949968-B2,2016,Diarylalkylamine REV-ERB antagonists and their use as medicaments
61,grid.437349.e,University of Minnesota System,United States,,US-9888673-B2,2015,"Genetically modified cells, tissues, and organs for treating disease"
62,grid.11749.3a,Saarland University,Germany,,WO-2018096084-A1,2017,MIRNAS AS BIOMARKER IN IN-VITRO-FERTILIZATION
63,grid.480196.2,Kathrein (Germany),Germany,,EP-3258714-A1,2017,MOBILE RADIO COMMUNICATION SYSTEM FOR PROVIDING A PLURALITY OF MOBILE RADIO CELLS IN A BUILDING OR CAMPUS
64,grid.431860.8,AT&T (United States),United States,,WO-2018084950-A1,2017,PROVIDING A FORMAT INDICATOR COMPRISING RANK INDICATION AND CHANNEL STATE INFORMATION SPATIAL DOMAIN RESOLUTION TYPE
65,grid.423754.3,Atos (France),France,,EP-0697638-A1,1995,Method of detection of complete sequences and failed sequences in a system for situation recognition
66,grid.420215.0,Stallergenes Greer (France),France,,US-20140079795-A1,2013,MUCOADHESIVE PARTICULATE FORMULATION FOR INDUCING ANTIGEN-SPECIFIC IMMUNE TOLERANCE
67,grid.168010.e,Stanford University,United States,SU,US-10064936-B2,2016,Mixed allergen compositions and methods for using the same
68,grid.32224.35,Massachusetts General Hospital,United States,MGH,US-10059945-B2,2017,Methods of controlling cell fate and consequences for disease
69,grid.476083.e,Roivant Sciences (United States),United States,,US-10022355-B2,2016,Diaryl and arylheteroaryl urea derivatives as modulators of the 5-HT2A serotonin receptor useful for the prophylaxis and treatment of REM sleep behavior disorder
70,grid.488287.9,Roivant Sciences (Bermuda),Bermuda,,US-10022355-B2,2016,Diaryl and arylheteroaryl urea derivatives as modulators of the 5-HT2A serotonin receptor useful for the prophylaxis and treatment of REM sleep behavior disorder
71,grid.433329.c,Arena Pharmaceuticals (United States),United States,,US-10059691-B2,2017,Processes for the preparation of pyrazole derivatives useful as modulators of the 5-HT2A serotonin receptor
72,grid.420215.0,Stallergenes Greer (France),France,,US-9480748-B2,2013,Mucoadhesive particulate formulation for inducing antigen-specific immune tolerance
73,grid.168010.e,Stanford University,United States,SU,US-9731003-B2,2016,Mixed allergen compositions and methods for using the same
74,grid.476083.e,Roivant Sciences (United States),United States,,US-10034859-B2,2016,Diaryl and arylheteroaryl urea derivatives as modulators of the 5-HT2A serotonin receptor useful for the prophylaxis and treatment of hallucinations associated with a neurodegenerative disease
75,grid.488287.9,Roivant Sciences (Bermuda),Bermuda,,US-10034859-B2,2016,Diaryl and arylheteroaryl urea derivatives as modulators of the 5-HT2A serotonin receptor useful for the prophylaxis and treatment of hallucinations associated with a neurodegenerative disease
76,grid.433329.c,Arena Pharmaceuticals (United States),United States,,US-9745270-B2,2016,"Processes useful for the preparation of 1-[3-(4-bromo-2-methyl-2H-pyrazol-3-yl)-4-methoxy-phenyl]-3-(2,4-difluoro-phenyl)-urea and crystalline forms related thereto"
77,grid.433329.c,Arena Pharmaceuticals (United States),United States,,US-9775829-B2,2016,Diaryl and arylheteroaryl urea derivatives as modulators of the 5-HT2A serotonin receptor useful for the prophylaxis and treatment of disorders related thereto
78,grid.13097.3c,King's College London,United Kingdom,KCL,WO-2017158343-A1,2017,METHOD AND SYSTEM FOR PRESSURE DROP ESTIMATION
79,grid.7700.0,Heidelberg University,Germany,,EP-3067432-A1,2015,DNA-methylation based method for classifying tumor species of the brain
80,grid.7497.d,German Cancer Research Center,Germany,DKFZ,EP-3067432-A1,2015,DNA-methylation based method for classifying tumor species of the brain
