id,investigator_id,first_name,last_name,middle_name,role,aff_id,aff_name,aff_state_code,aff_state,aff_country_code,aff_city_id,aff_city,aff_country
grant.8470217,ur.0774373200.39,Andrew,Broadbent,James,Co-PI,grid.63622.33,The Pirbright Institute,,South East,GB,2633709,,United Kingdom
grant.8470217,ur.01041302760.13,Christopher,Netherton,Lewis,Co-PI,grid.63622.33,The Pirbright Institute,,South East,GB,2633709,,United Kingdom
grant.8470217,ur.0627276327.18,Karin,Darpel,,Co-PI,grid.63622.33,The Pirbright Institute,,South East,GB,2633709,,United Kingdom
grant.8470217,ur.01165511256.59,Erica,Bickerton,Jane,Co-PI,grid.63622.33,The Pirbright Institute,,South East,GB,2633709,,United Kingdom
grant.8470217,ur.01261423660.52,Satya,Parida,,Co-PI,grid.63622.33,The Pirbright Institute,,South East,GB,2633709,,United Kingdom
grant.8470217,ur.0663673306.67,Venugopal,Nair,,Co-PI,grid.63622.33,The Pirbright Institute,,South East,GB,2633709,,United Kingdom
grant.7748124,ur.01075052317.93,Graham,Moore,,Co-PI,,,,,,,,
grant.7748124,ur.01162335230.71,Cristobal,Uauy,,Co-PI,,,,,,,,
grant.7748487,ur.012503163047.69,David,Jackson,,PI,grid.4991.5,University of Oxford,,South East,GB,2640729,,United Kingdom
grant.7748488,ur.01334123457.74,Daniel,Cutler,,PI,grid.83440.3b,University College London,,London,GB,2643743,,United Kingdom
grant.8469968,ur.07744410433.45,Isabelle,Dietrich,,Co-PI,,,,,,,,
grant.8469968,ur.01207726760.30,Julian,Seago,Ernest,Co-PI,grid.63622.33,The Pirbright Institute,,South East,GB,2633709,,United Kingdom
grant.8469968,ur.01133263421.44,Simon,Gubbins,,Co-PI,grid.63622.33,The Pirbright Institute,,South East,GB,2633709,,United Kingdom
grant.8469968,ur.01257100063.27,Donald,King,,Co-PI,grid.63622.33,The Pirbright Institute,,South East,GB,2633709,,United Kingdom
grant.8469968,ur.0753266047.27,Luke,Alphey,,Co-PI,grid.63622.33,The Pirbright Institute,,South East,GB,2633709,,United Kingdom
grant.8469968,ur.01024261702.39,Elma,Tchilian,Zaven,Co-PI,grid.63622.33,The Pirbright Institute,,South East,GB,2633709,,United Kingdom
grant.8469968,ur.014312213373.21,Linda,Dixon,,Co-PI,grid.63622.33,The Pirbright Institute,,South East,GB,2633709,,United Kingdom
grant.8469968,ur.014426441773.63,Nicholas,Lyons,Anthony,Co-PI,grid.63622.33,The Pirbright Institute,,South East,GB,2633709,,United Kingdom
grant.8469604,ur.0624513203.52,Philippa,Beard,,PI,grid.63622.33,The Pirbright Institute,,South East,GB,2633709,,United Kingdom
grant.8469604,ur.07744410433.45,Isabelle,Dietrich,,Co-PI,grid.4991.5,University of Oxford,,South East,GB,2640729,,United Kingdom
grant.8469604,ur.01271657630.49,Mark,Fife,Stewart,Co-PI,,,,,,,,
grant.8469604,ur.0627147361.60,Shahriar,Behboudi,,Co-PI,grid.63622.33,The Pirbright Institute,,South East,GB,2633709,,United Kingdom
grant.8469604,ur.01015743355.18,Simon,Graham,Paul,Co-PI,grid.63622.33,The Pirbright Institute,,South East,GB,2633709,,United Kingdom
grant.8469604,ur.013020135473.28,Linda,Dixon,,Co-PI,grid.63622.33,The Pirbright Institute,,South East,GB,2633709,,United Kingdom
grant.8470091,ur.01350024110.41,John,Hammond,Anthony,PI,grid.63622.33,The Pirbright Institute,,South East,GB,2633709,,United Kingdom
grant.8470091,ur.012246126033.45,Linda,Dixon,,Co-PI,grid.63622.33,The Pirbright Institute,,South East,GB,2633709,,United Kingdom
grant.7924629,ur.015544641737.16,Linda,Dixon,,Co-PI,grid.63622.33,The Pirbright Institute,,South East,GB,2633709,,United Kingdom
grant.7924629,ur.01255356033.23,Muhammad,Munir,,Co-PI,,,,,,,,
grant.7924629,ur.0715143444.61,Helena,Maier,Jane,Co-PI,grid.63622.33,The Pirbright Institute,,South East,GB,2633709,,United Kingdom
grant.7924629,ur.0760347561.41,Javier,Castillo-Olivares,,Co-PI,grid.63622.33,The Pirbright Institute,,South East,GB,2633709,,United Kingdom
grant.6944672,ur.0754563731.66,Valeria,Saraceni,,Co-PI,,,,,,,,
grant.6944672,ur.012565773207.13,Daniel,Villela,Antunes,Co-PI,,,,,,,,
grant.6944672,ur.014164173137.84,Kenneth,"Rochel De Camargo, Jr",,Co-PI,,,,,,,,
grant.6944672,ur.01173016413.96,Anete,Trajman,,Co-PI,grid.8536.8,Federal University of Rio de Janeiro,,Outside UK,BR,3451190,,Brazil
grant.6944672,ur.01276270421.43,Marcia,Pinto,,Co-PI,,,,,,,,
grant.6944672,ur.01032443536.25,Johanna,Hanefeld,,Co-PI,,,,,,,,
grant.6944672,ur.0661524171.03,Betina,Durovni,,Co-PI,,,,,,,,
grant.6944672,ur.011773651537.45,Claudia,Medina Coeli,,Co-PI,grid.8536.8,Federal University of Rio de Janeiro,,Outside UK,BR,3451190,,Brazil
grant.6944672,ur.01004162042.49,Adriana Cavalcanti De,Aguiar,,Co-PI,,,,,,,,
grant.6621742,ur.013367027547.57,Tomoki,Arichi,,PI,grid.13097.3c,King's College London,,London,GB,2643743,,United Kingdom
grant.6622815,ur.013215206743.83,Cristina,Cecchetti,,PI,,,,,,,,
grant.6622815,ur.011475350345.57,Claudia,Stohrer,,PI,,,,,,,,
grant.6622815,ur.013070311345.36,Diogo,Melo,,PI,,,,,,,,
grant.6622815,ur.016056213345.36,Elham,Vahdatahar,,PI,,,,,,,,
grant.6622815,ur.07662542623.36,Jessica,Ames,,PI,,,,,,,,
grant.6622815,ur.013431025401.48,Sofia,Jaho,,PI,,,,,,,,
grant.6622815,ur.014463252345.10,Cromarte,Rogers,,PI,,,,,,,,
grant.6622815,ur.016653573745.75,Swati,Aggarwal,,PI,,,,,,,,
grant.6622815,ur.010677767745.07,Virginia,Apostolopoulou,,PI,,,,,,,,
grant.6622815,ur.012272730745.70,Jannik,Strauss,,PI,,,,,,,,
grant.6622815,ur.013665671745.47,Thi Thanh My,Nguyen,,PI,,,,,,,,
grant.6622815,ur.016613627125.79,Sofia,Trampari,,PI,,,,,,,,
grant.6622815,ur.016070127767.41,Samuel,Hjorth-Jensen,,PI,,,,,,,,
grant.6381113,ur.014645377241.63,Christopher,McCabe,,PI,grid.13097.3c,King's College London,,London,GB,2643743,,United Kingdom
grant.6620230,ur.0603517252.09,Miles,Carroll,William,Co-PI,grid.271308.f,Public Health England,,South West,GB,2643743,,United Kingdom
grant.6620230,ur.0751102271.80,Simon,Draper,,Co-PI,grid.4991.5,University of Oxford,,South East,GB,2640729,,United Kingdom
grant.6620230,ur.01223741130.06,Simon,Croft,,Co-PI,grid.8991.9,London Sch of Hygiene and Trop Medicine,,London,GB,2643743,,United Kingdom
grant.6503710,ur.011476510537.69,Andrea,Zocca,,PI,,,,,,,,
grant.6503710,ur.014562474625.69,Kai,Zheng,,PI,,,,,,,,
grant.6503710,ur.015314761413.50,Paolo,Scanferla,,PI,,,,,,,,
grant.6503710,ur.012146774263.14,Enrique,Juste,,PI,,,,,,,,
grant.6503710,ur.010622146463.23,Anthony,Maçon,,PI,,,,,,,,
grant.6503710,ur.012506401625.26,Sarah,Diener,,PI,,,,,,,,
grant.6503710,ur.01037162565.90,MALIKA,SAADAOUI,,PI,,,,,,,,
grant.6503710,ur.014745036425.87,Stéphane,Richaud,,PI,,,,,,,,
grant.6503710,ur.016337777425.11,Anthony,Maçon,,PI,,,,,,,,
grant.6503710,ur.012565755003.22,Amin,M'Barki,,PI,,,,,,,,
grant.6503710,ur.010024566063.95,FABRICE,ROSSIGNOL,,PI,,,,,,,,
grant.6503710,ur.016527637263.20,Hugo,CURTO,,PI,,,,,,,,
grant.6503710,ur.015732256663.68,JULIE,BOURRET,,PI,,,,,,,,
grant.6503710,ur.015007071711.40,Fahd,KHALDOUN,,PI,,,,,,,,
grant.6503710,ur.015134676263.00,Imane,TOUAIHER,,PI,,,,,,,,
grant.6503710,ur.014101342625.31,Filippo,Gobbin,,PI,,,,,,,,
grant.6503710,ur.07520477625.82,Sarah,Diener,,PI,,,,,,,,
grant.6503710,ur.014337315663.05,Andreas,Burghardt,,PI,,,,,,,,
grant.6503710,ur.013001330725.28,Sarah,Diener,,PI,,,,,,,,
grant.6503710,ur.013541735263.27,Karine,Goulart de Oliveira,,PI,,,,,,,,
grant.6503710,ur.016075036017.04,Joan Josep,Roa Rovira,,PI,,,,,,,,
grant.6503710,ur.014463150511.14,Bartolomeo,Coppola,,PI,,,,,,,,
grant.6503710,ur.010247745025.95,Katharina,Schuhladen,,PI,,,,,,,,
grant.6503710,ur.012744354663.67,Dominique,Hautcoeur,,PI,,,,,,,,
grant.6503710,ur.0761234142.75,Paolo,Colombo,,PI,,,,,,,,
grant.6503710,ur.016466047122.96,Johanna,Schmidt,,PI,,,,,,,,
grant.6503710,ur.010145642141.40,Giorgia,Franchin,,PI,,,,,,,,
grant.6503710,ur.013713137725.04,Mehdi,Mohammadi,,PI,,,,,,,,
grant.6503710,ur.012113160261.80,Jens,Günster,,PI,,,,,,,,
grant.6503710,ur.016035346125.17,Mélanie,WYNN,,PI,,,,,,,,
grant.6503710,ur.015672550441.24,Janka,Wilbig,,PI,,,,,,,,
grant.6503710,ur.011351413663.70,Jérôme,ADRIEN,,PI,,,,,,,,
grant.6503710,ur.010657122525.52,Philippe,CHAMPAGNE,,PI,,,,,,,,
grant.6503710,ur.010554033263.15,Ludmila,Hodasova,,PI,,,,,,,,
grant.6945359,ur.014256626047.55,Matthew,Wood,John,PI,grid.4991.5,University of Oxford,,South East,GB,2640729,,United Kingdom
grant.6622065,ur.014047052545.12,Lakshminarayana,Tamatam,,PI,,,,,,,,
grant.6622065,ur.014644433145.01,Steven,Klaassen,,PI,,,,,,,,
grant.6622065,ur.07466207545.51,Clement,Foyer,,PI,,,,,,,,
grant.6622065,ur.012536114511.23,Sivasankar,Arul,,PI,,,,,,,,
grant.6622065,ur.011061150545.84,Jiri,Blahos,,PI,,,,,,,,
grant.6622065,ur.012454111545.97,Hendrik,Andresen,,PI,,,,,,,,
grant.6622065,ur.012645373734.98,Guilherme,Jenovencio,,PI,,,,,,,,
grant.6622065,ur.07534322745.20,Anilraj,Sudhakar,,PI,,,,,,,,
grant.6622065,ur.014576317745.91,Hatem,Elshazly,,PI,,,,,,,,
grant.6622065,ur.011737172264.19,Alfredo,Fantetti,,PI,,,,,,,,
grant.6622065,ur.015373700345.90,Ranjit Annasaheb,Patil,,PI,,,,,,,,
grant.6622065,ur.016171260745.07,Fabia,TUBITA,,PI,,,,,,,,
grant.6622065,ur.014731226707.43,Ayse,Bagbaba,,PI,,,,,,,,
grant.6622065,ur.013251472145.59,Zeeshan,Saeed,,PI,,,,,,,,
grant.6622065,ur.010371204401.85,Pierlauro,Sciarelli,,PI,,,,,,,,
grant.5498672,ur.015616500461.57,Laura,Bocchi,,PI,grid.9759.2,University of Kent,,South East,GB,2653877,,United Kingdom
grant.6945587,ur.013735042305.40,Pete,James,,PI,,Lyra Electronics Limited,,West Midlands,,,Wellesbourne,
grant.6944980,ur.01075517714.00,Roch,Dabire,Kounbobr,Co-PI,,,,,,,,
grant.6944980,ur.01046417324.26,Maggy,Sikulu,,Co-PI,,,,,,,,
grant.6620594,ur.07641325777.11,David,Mabey,,PI,grid.8991.9,London Sch of Hygiene and Trop Medicine,,London,GB,2643743,,United Kingdom
grant.6620594,ur.0716606764.88,Anna,Last,,Co-PI,grid.8991.9,London Sch of Hygiene and Trop Medicine,,London,GB,2643743,,United Kingdom
grant.6620594,ur.015476113652.05,Brian,Greenwood,Mellor,Co-PI,grid.8991.9,London Sch of Hygiene and Trop Medicine,,London,GB,2643743,,United Kingdom
grant.6620594,ur.0631621653.00,James,Logan,George,Co-PI,grid.8991.9,London Sch of Hygiene and Trop Medicine,,London,GB,2643743,,United Kingdom
grant.6620594,ur.011557354737.89,Robin,Bailey,L,Co-PI,grid.8991.9,London Sch of Hygiene and Trop Medicine,,London,GB,2643743,,United Kingdom
grant.6620594,ur.01165470413.48,Meno,Nabicassa,,Co-PI,,,,,,,,
grant.6620594,ur.01307027646.18,Amabelia,Rodrigues,,Co-PI,,,,,,,,
grant.6620594,ur.0630111303.57,Nicholas,Thomson,R,Co-PI,,,,,,,,
grant.6620594,ur.014720264617.16,Katy,Greenland,,Co-PI,,,,,,,,
grant.6620594,ur.01063334514.37,Umberto,D'Alessandro,,Co-PI,grid.8991.9,London Sch of Hygiene and Trop Medicine,,London,GB,2643743,,United Kingdom
grant.6620594,ur.01073375566.05,Jane,Achan,,Co-PI,grid.8991.9,London Sch of Hygiene and Trop Medicine,,London,GB,2643743,,United Kingdom
grant.5498695,ur.01366043734.68,Ferenc,Mueller,,Co-PI,grid.6572.6,University of Birmingham,,West Midlands,GB,2655603,,United Kingdom
grant.5498695,ur.0654056334.56,Fiona,Wardle,Claire,Co-PI,grid.13097.3c,King's College London,,London,GB,2643743,,United Kingdom
grant.6542409,ur.011110713123.46,Leo,Murray,,PI,grid.500989.d,The 10:10 Foundation,,London,GB,2643743,LONDON,
grant.7692463,ur.015500527230.96,Guillermo,Francia,,PI,grid.257992.2,Jacksonville State University,US-AL,Alabama,US,4069553,Jacksonville,United States
grant.6504068,ur.010620511525.44,Elizabeth,Diemer,,PI,,,,,,,,
grant.6504068,ur.016113163525.50,Sabrina Carmen,Doering,,PI,,,,,,,,
grant.6504068,ur.015573202777.70,Andrea,Allegrini,,PI,,,,,,,,
grant.6504068,ur.07754533447.21,Laura,Schellhas,,PI,,,,,,,,
grant.6504068,ur.016642430725.80,Elis,Haan,,PI,,,,,,,,
grant.6504068,ur.014452107325.08,Kratika,Agarwal,,PI,,,,,,,,
grant.6504068,ur.07651310475.54,Omowonuola,Akingbuwa,,PI,,,,,,,,
grant.6504068,ur.015201354525.02,Eshim,Shahid,,PI,,,,,,,,
grant.6504068,ur.013011033125.77,Marica,Leone,,PI,,,,,,,,
grant.6504068,ur.010125703772.38,Hema Sekhar Reddy,Rajula,,PI,,,,,,,,
grant.6504068,ur.015154651745.75,Ville,Karhunen,,PI,,,,,,,,
grant.6504068,ur.013722642125.70,Ashley,Thompson,,PI,,,,,,,,
grant.6619584,ur.01072421523.37,Mark Howard,Wilson,,Co-PI,,,,,,,,
grant.6383460,ur.01261727120.03,Charalampos,Makatsoris,,PI,,,,,,,,
grant.6383460,ur.016341670061.28,Paul Robert,Raithby,,Co-PI,,,,,,,,
grant.5498619,ur.016320432267.22,Xiangbing,Zeng,,PI,grid.11835.3e,University of Sheffield,,Yorkshire and The Humber,GB,2638077,,United Kingdom
grant.5498619,ur.01006540274.70,Goran,Ungar,,Co-PI,grid.11835.3e,University of Sheffield,,Yorkshire and The Humber,GB,2638077,,United Kingdom
grant.6712522,ur.01372243376.30,Philip,Hall,,PI,,,,,,,,
grant.6712522,ur.0740563570.88,Spencer,Sherwin,,Co-PI,,,,,,,,
grant.6712522,ur.015054203737.32,Hugh,Blackburn,,Co-PI,,,,,,,,
grant.6502889,ur.0644371476.95,Kevin,Ronald,,PI,grid.11984.35,University of Strathclyde,,Scotland,GB,2648579,,United Kingdom
grant.6502889,ur.0621027451.37,Colin,Whyte,,Co-PI,grid.11984.35,University of Strathclyde,,Scotland,GB,2648579,,United Kingdom
grant.6712114,ur.012461233253.06,Andrew,Tomkins,,PI,,,,,,,,
grant.6712114,ur.07662301636.03,Matthew,Genge,,Co-PI,,,,,,,,
grant.6712114,ur.010402020217.59,James,Kasting,,Co-PI,,,,,,,,
grant.6712368,ur.0704137774.75,Ian,Wright,,PI,,,,,,,,
grant.6712368,ur.01205603561.53,Iain,Prentice,,Co-PI,,,,,,,,
grant.6712262,ur.0731040064.96,Philip,Bland,,PI,,,,,,,,
grant.6712262,ur.016436551717.95,Mark,Rutten,,Co-PI,,,,,,,,
grant.6712262,ur.01202635230.74,William,Bottke,,Co-PI,,,,,,,,
grant.6712262,ur.01040723010.30,Gretchen,Benedix,,Co-PI,,,,,,,,
grant.6712262,ur.015472177475.40,Peter,Jenniskens,,Co-PI,,,,,,,,
grant.6712262,ur.010664742547.57,Timothy,Swindle,,Co-PI,,,,,,,,
grant.6712262,ur.07627505317.13,Jonathan,Horner,,Co-PI,,,,,,,,
grant.6712262,ur.0622150470.26,Gareth,Collins,,Co-PI,,,,,,,,
grant.6712582,ur.013653452357.55,Yvonne,Pendleton,,Co-PI,,,,,,,,
grant.6712582,ur.014540705335.31,Christopher,Herd,,Co-PI,,,,,,,,
grant.6712582,ur.010665550357.48,Peter,Brown,,Co-PI,,,,,,,,
grant.6712582,ur.016573241157.32,Hasnaa,Chennaoui,,Co-PI,,,,,,,,
grant.6712582,ur.015775660557.76,Jean-Pierre,Macquart,,Co-PI,,,,,,,,
grant.6712582,ur.015200300157.35,Andrew,Tomkins,,Co-PI,,,,,,,,
grant.6712582,ur.012537602125.84,Tracy,Rushmer,,Co-PI,,,,,,,,
grant.6712582,ur.012212376157.67,Trevor,Ireland,,Co-PI,,,,,,,,
grant.6712408,ur.0603324354.80,Andrey,Miroshnichenko,,PI,,,,,,,,
grant.6712408,ur.0652737645.65,Stefan,Maier,,Co-PI,,,,,,,,
grant.6712408,ur.01070033534.70,Isabelle,Staude,,Co-PI,,,,,,,,
grant.6712408,ur.0603446735.55,Mohsen,Rahmani,,Co-PI,,,,,,,,
grant.6712566,ur.0736561673.02,Robert,Trengove,,PI,,,,,,,,
grant.6712566,ur.012024145322.68,Elaine,Holmes,,Co-PI,,,,,,,,
grant.6712566,ur.0747132251.27,Robert,Plumb,,Co-PI,,,,,,,,
grant.6712566,ur.01365402465.34,Jeremy,Nicholson,,Co-PI,,,,,,,,
grant.6712566,ur.015720043157.26,Merrilee,Needham,,Co-PI,,,,,,,,
grant.6712566,ur.01243741525.55,John,Pluske,,Co-PI,,,,,,,,
grant.6712566,ur.014325102157.42,John,Mamo,,Co-PI,,,,,,,,
grant.6712566,ur.0742035120.04,Caroline,Rae,,Co-PI,,,,,,,,
grant.6712566,ur.01026065310.36,Sarah,Kenderdine,,Co-PI,,,,,,,,
grant.6712566,ur.0606414521.08,Kingsley,Dixon,,Co-PI,,,,,,,,
grant.6712566,ur.011361712512.11,Andrew,Millar,,Co-PI,,,,,,,,
grant.6712566,ur.01235056531.85,Peter,Leedman,,Co-PI,,,,,,,,
grant.6712566,ur.01306372351.29,David,Sampson,,Co-PI,,,,,,,,
grant.6712566,ur.01070727074.20,Jonathan,Carapetis,,Co-PI,,,,,,,,
grant.6712566,ur.01140423003.13,David,Broadhurst,,Co-PI,,,,,,,,
grant.6503178,ur.01213426560.50,Kenneth,Long,,PI,,,,,,,,
grant.6711939,ur.0714741014.04,Boris,Baer,,PI,,,,,,,,
grant.6711939,ur.013110033157.79,Anne,Dell,,Co-PI,,,,,,,,
grant.6711939,ur.01335773561.25,Jacobus,Boomsma,,Co-PI,,,,,,,,
grant.6541921,ur.01017372752.47,Tanzi,Besant,,PI,grid.498353.0,Hiflux Limited,,London,GB,2643743,LONDON,
grant.6382344,ur.010004122627.27,Ramanarayanan,Balachandran,,Co-PI,,,,,,,,
grant.6712000,ur.0772563437.88,Irene,Yarovsky,,PI,,,,,,,,
grant.6712000,ur.01345761165.50,Molly,Stevens,,Co-PI,,,,,,,,
grant.6621710,ur.01162451745.77,Alexander,Frater,John,PI,grid.4991.5,University of Oxford,,South East,GB,2640729,,United Kingdom
grant.6621710,ur.015550130537.09,Matthew,Pace,James,Co-PI,grid.4991.5,University of Oxford,,South East,GB,2640729,,United Kingdom
