,name,surname,frequency,search_url
82,J. Wouter,Jukema,6,https://www.google.com/search?q=J.%20Wouter+Jukema
83,,ExomeBP Consortium,6,https://www.google.com/search?q=+ExomeBP%20Consortium
84,Stacy,Steinberg,6,https://www.google.com/search?q=Stacy+Steinberg
85,Ching-Yu,Cheng,6,https://www.google.com/search?q=Ching-Yu+Cheng
86,Paolo,Gasparini,6,https://www.google.com/search?q=Paolo+Gasparini
87,Yii-Der Ida,Chen,6,https://www.google.com/search?q=Yii-Der%20Ida+Chen
88,Tamara B,Harris,6,https://www.google.com/search?q=Tamara%20B+Harris
89,Ozren,Polasek,6,https://www.google.com/search?q=Ozren+Polasek
90,Thomas,Werge,6,https://www.google.com/search?q=Thomas+Werge
91,Lili,Milani,6,https://www.google.com/search?q=Lili+Milani
92,Mika,Kähönen,6,https://www.google.com/search?q=Mika+K%C3%A4h%C3%B6nen
93,Jonathan,Marten,6,https://www.google.com/search?q=Jonathan+Marten
94,Kenneth,Rice,6,https://www.google.com/search?q=Kenneth+Rice
95,Jun,Wang,6,https://www.google.com/search?q=Jun+Wang
96,,Social Science Genetic Association Consortium,6,https://www.google.com/search?q=+Social%20Science%20Genetic%20Association%20Consortium
97,Rajesh,Rawal,6,https://www.google.com/search?q=Rajesh+Rawal
98,John C.,Chambers,6,https://www.google.com/search?q=John%20C.+Chambers
99,Leslie A.,Lange,6,https://www.google.com/search?q=Leslie%20A.+Lange
100,Jing Hua,Zhao,6,https://www.google.com/search?q=Jing%20Hua+Zhao
101,Henning,Tiemeier,6,https://www.google.com/search?q=Henning+Tiemeier
102,James J,Lee,6,https://www.google.com/search?q=James%20J+Lee
103,Emily,Niemitz,6,https://www.google.com/search?q=Emily+Niemitz
104,Veronique,Vitart,6,https://www.google.com/search?q=Veronique+Vitart
105,André G.,Uitterlinden,6,https://www.google.com/search?q=Andr%C3%A9%20G.+Uitterlinden
106,Hiroko,Tanaka,6,https://www.google.com/search?q=Hiroko+Tanaka
107,Jaakko,Kaprio,6,https://www.google.com/search?q=Jaakko+Kaprio
108,Alisa K.,Manning,5,https://www.google.com/search?q=Alisa%20K.+Manning
109,Pamela,Sklar,5,https://www.google.com/search?q=Pamela+Sklar
110,Jonathan,Beesley,5,https://www.google.com/search?q=Jonathan+Beesley
111,Sekar,Kathiresan,5,https://www.google.com/search?q=Sekar+Kathiresan
112,Dennis O.,Mook-Kanamori,5,https://www.google.com/search?q=Dennis%20O.+Mook-Kanamori
113,Xiao-Ou,Shu,5,https://www.google.com/search?q=Xiao-Ou+Shu
114,Panos,Roussos,5,https://www.google.com/search?q=Panos+Roussos
115,Stefan,Herms,5,https://www.google.com/search?q=Stefan+Herms
116,Scott D.,Gordon,5,https://www.google.com/search?q=Scott%20D.+Gordon
117,David M.,Hougaard,5,https://www.google.com/search?q=David%20M.+Hougaard
118,David J.,Porteous,5,https://www.google.com/search?q=David%20J.+Porteous
119,Sarah E.,Medland,5,https://www.google.com/search?q=Sarah%20E.+Medland
120,Wei-Yu,Lin,5,https://www.google.com/search?q=Wei-Yu+Lin
121,Wei,Zhou,5,https://www.google.com/search?q=Wei+Zhou
122,,CHD Exome+ Consortium,5,https://www.google.com/search?q=+CHD%20Exome%2B%20Consortium
123,George,McMahon,5,https://www.google.com/search?q=George+McMahon
124,Xifeng,Wu,5,https://www.google.com/search?q=Xifeng+Wu
125,Gerome,Breen,5,https://www.google.com/search?q=Gerome+Breen
126,Deborah A.,Meyers,5,https://www.google.com/search?q=Deborah%20A.+Meyers
127,Michael,Gill,5,https://www.google.com/search?q=Michael+Gill
128,,Global Lipids Genetic Consortium,5,https://www.google.com/search?q=+Global%20Lipids%20Genetic%20Consortium
129,Nicholas G,Martin,5,https://www.google.com/search?q=Nicholas%20G+Martin
130,,ReproGen Consortium,5,https://www.google.com/search?q=+ReproGen%20Consortium
131,Laura M.,Yerges-Armstrong,5,https://www.google.com/search?q=Laura%20M.+Yerges-Armstrong
132,Jing,Ma,5,https://www.google.com/search?q=Jing+Ma
133,Andrew R.,Wood,5,https://www.google.com/search?q=Andrew%20R.+Wood
134,Xueqiu,Jian,5,https://www.google.com/search?q=Xueqiu+Jian
135,Yukinori,Okada,5,https://www.google.com/search?q=Yukinori+Okada
136,Vilmantas,Giedraitis,5,https://www.google.com/search?q=Vilmantas+Giedraitis
137,Helena,Schmidt,5,https://www.google.com/search?q=Helena+Schmidt
138,Graciela,Delgado,5,https://www.google.com/search?q=Graciela+Delgado
139,Jeffrey,Haessler,5,https://www.google.com/search?q=Jeffrey+Haessler
140,Sara M,Willems,5,https://www.google.com/search?q=Sara%20M+Willems
141,Yingchang,Lu,5,https://www.google.com/search?q=Yingchang+Lu
142,Wei,Wang,5,https://www.google.com/search?q=Wei+Wang
143,Chunyu,Liu,5,https://www.google.com/search?q=Chunyu+Liu
144,Hermann,Brenner,5,https://www.google.com/search?q=Hermann+Brenner
145,Sven,Bergmann,5,https://www.google.com/search?q=Sven+Bergmann
146,Grant W.,Montgomery,5,https://www.google.com/search?q=Grant%20W.+Montgomery
147,Albert V.,Smith,5,https://www.google.com/search?q=Albert%20V.+Smith
148,Lenore J.,Launer,5,https://www.google.com/search?q=Lenore%20J.+Launer
149,Ya Xing,Wang,5,https://www.google.com/search?q=Ya%20Xing+Wang
150,Linda,Broer,5,https://www.google.com/search?q=Linda+Broer
151,Rainer,Malik,5,https://www.google.com/search?q=Rainer+Malik
152,Timothy D.,Spector,5,https://www.google.com/search?q=Timothy%20D.+Spector
153,Yan,Li,5,https://www.google.com/search?q=Yan+Li
154,Karl-Heinz,Jöckel,5,https://www.google.com/search?q=Karl-Heinz+J%C3%B6ckel
155,Shuai,Wang,5,https://www.google.com/search?q=Shuai+Wang
156,Dorret I,Boomsma,5,https://www.google.com/search?q=Dorret%20I+Boomsma
157,Dorret I.,Boomsma,5,https://www.google.com/search?q=Dorret%20I.+Boomsma
158,Thomas F.,Vogt,5,https://www.google.com/search?q=Thomas%20F.+Vogt
159,Mark,Walker,5,https://www.google.com/search?q=Mark+Walker
160,Antonietta,Robino,5,https://www.google.com/search?q=Antonietta+Robino
161,Gad,Getz,5,https://www.google.com/search?q=Gad+Getz
162,Paul,Elliott,5,https://www.google.com/search?q=Paul+Elliott
163,Xiuqing,Guo,5,https://www.google.com/search?q=Xiuqing+Guo
164,Christine,Power,5,https://www.google.com/search?q=Christine+Power
165,Eli A.,Stahl,5,https://www.google.com/search?q=Eli%20A.+Stahl
166,Michael,Boehnke,5,https://www.google.com/search?q=Michael+Boehnke
167,Karen L.,Mohlke,5,https://www.google.com/search?q=Karen%20L.+Mohlke
168,Daniel I,Chasman,5,https://www.google.com/search?q=Daniel%20I+Chasman
169,,T2D-Genes Consortium,5,https://www.google.com/search?q=+T2D-Genes%20Consortium
170,Philippe,Amouyel,5,https://www.google.com/search?q=Philippe+Amouyel
171,,GoT2D Genes Consortium,5,https://www.google.com/search?q=+GoT2D%20Genes%20Consortium
172,Young-Ae,Lee,5,https://www.google.com/search?q=Young-Ae+Lee
173,Satoko,Nakano,4,https://www.google.com/search?q=Satoko+Nakano
174,Zhenglin,Yang,4,https://www.google.com/search?q=Zhenglin+Yang
175,Christopher,Newton-Cheh,4,https://www.google.com/search?q=Christopher+Newton-Cheh
176,Heather M.,Stringham,4,https://www.google.com/search?q=Heather%20M.+Stringham
177,,The MAGIC Investigators,4,https://www.google.com/search?q=+The%20MAGIC%20Investigators
178,Ilaria,Gandin,4,https://www.google.com/search?q=Ilaria+Gandin
179,Rodney J,Scott,4,https://www.google.com/search?q=Rodney%20J+Scott
180,Yuanqing,Ye,4,https://www.google.com/search?q=Yuanqing+Ye
181,Mary F.,Feitosa,4,https://www.google.com/search?q=Mary%20F.+Feitosa
182,Jianjun,Liu,4,https://www.google.com/search?q=Jianjun+Liu
183,Evelin,Mihailov,4,https://www.google.com/search?q=Evelin+Mihailov
184,Harold,Snieder,4,https://www.google.com/search?q=Harold+Snieder
185,Daniel H.,Geschwind,4,https://www.google.com/search?q=Daniel%20H.+Geschwind
186,Tian,Liu,4,https://www.google.com/search?q=Tian+Liu
187,Jie,Yao,4,https://www.google.com/search?q=Jie+Yao
188,Peter,Kovacs,4,https://www.google.com/search?q=Peter+Kovacs
189,Wei,Huang,4,https://www.google.com/search?q=Wei+Huang
190,André G,Uitterlinden,4,https://www.google.com/search?q=Andr%C3%A9%20G+Uitterlinden
191,Carl D.,Langefeld,4,https://www.google.com/search?q=Carl%20D.+Langefeld
192,Marianne Giørtz,Pedersen,4,https://www.google.com/search?q=Marianne%20Gi%C3%B8rtz+Pedersen
193,Yan V.,Sun,4,https://www.google.com/search?q=Yan%20V.+Sun
194,Torben,Hansen,4,https://www.google.com/search?q=Torben+Hansen
195,Pim,van der Harst,4,https://www.google.com/search?q=Pim+van%20der%20Harst
196,Robert,Karlsson,4,https://www.google.com/search?q=Robert+Karlsson
197,Yan,Zhang,4,https://www.google.com/search?q=Yan+Zhang
198,Chris,Jones,4,https://www.google.com/search?q=Chris+Jones
199,Hendrik G,Stunnenberg,4,https://www.google.com/search?q=Hendrik%20G+Stunnenberg
200,,INTERVAL Study,4,https://www.google.com/search?q=+INTERVAL%20Study
201,Lei,Yu,4,https://www.google.com/search?q=Lei+Yu
202,James P,Cook,4,https://www.google.com/search?q=James%20P+Cook
203,Konstantin,Strauch,4,https://www.google.com/search?q=Konstantin+Strauch
204,Laura M.,Huckins,4,https://www.google.com/search?q=Laura%20M.+Huckins
205,Shuo,Li,4,https://www.google.com/search?q=Shuo+Li
