,id,last_grant_year,total_grants
171,ur.01034602463.88,,
172,ur.016601220537.48,2018.0,1.0
173,ur.0645437504.72,2021.0,4.0
174,ur.01055762674.33,2023.0,9.0
175,ur.01271721176.11,,1.0
176,ur.014231041057.12,,
177,ur.0611555753.26,,
178,ur.01002616026.32,2017.0,5.0
179,ur.07706004704.87,,
180,ur.0705572413.42,2016.0,1.0
181,ur.01316742644.30,,
182,ur.01273401363.65,,
183,ur.01104742263.37,2019.0,9.0
184,ur.01205163364.12,2018.0,9.0
185,ur.01313145634.66,2021.0,29.0
186,ur.01310503443.70,,
187,ur.01363244334.84,,
188,ur.01160234271.56,2023.0,26.0
189,ur.01330361724.23,2021.0,31.0
190,ur.01326615365.18,2019.0,13.0
191,ur.0743663170.81,2021.0,17.0
192,ur.010146517105.13,,
193,ur.01212615411.02,,
194,ur.01014744771.72,,
195,ur.01002652773.15,,
196,ur.01100532760.37,2020.0,5.0
197,ur.01366421627.04,,
198,ur.01024027537.42,2023.0,23.0
199,ur.01061331247.57,2023.0,17.0
200,ur.01222663135.20,2022.0,7.0
201,ur.01014232611.51,2023.0,34.0
202,ur.010115766245.30,2023.0,27.0
203,ur.015652454457.90,2021.0,18.0
204,ur.015440420777.43,2011.0,2.0
205,ur.015704744537.99,2019.0,2.0
206,ur.010403073577.20,2018.0,12.0
207,ur.011675454737.09,,
208,ur.013723776517.34,2019.0,34.0
209,ur.01111064510.47,,
210,ur.01255157234.57,2020.0,2.0
211,ur.01066354456.51,2020.0,1.0
212,ur.012050176237.32,,
213,ur.014466471117.86,2016.0,1.0
214,ur.016441375557.13,,
215,ur.01223606626.04,2020.0,1.0
216,ur.01273302464.25,,
217,ur.01367042426.41,,
218,ur.01160031210.84,2020.0,2.0
219,ur.01002541335.06,,
220,ur.0637651205.48,,
221,ur.015600745002.61,2013.0,1.0
222,ur.01242715665.45,2018.0,7.0
223,ur.0657037321.56,2021.0,9.0
224,ur.012114463457.52,2023.0,10.0
225,ur.016033704317.28,2014.0,4.0
226,ur.064477252.38,2020.0,28.0
227,ur.0654341265.88,2019.0,3.0
228,ur.0727107235.84,2011.0,3.0
229,ur.01073110664.66,,
230,ur.01074226355.01,2020.0,10.0
231,ur.0767750151.59,2014.0,1.0
232,ur.01127542415.10,2023.0,24.0
233,ur.011644054634.17,,
234,ur.016126404017.45,2009.0,1.0
235,ur.015641175307.72,2020.0,1.0
236,ur.01151433047.82,2019.0,4.0
237,ur.0606704334.54,2020.0,22.0
238,ur.01052563772.69,2006.0,2.0
239,ur.01112257404.07,2014.0,1.0
240,ur.01352744336.54,2017.0,1.0
241,ur.01264737414.70,2020.0,8.0
242,ur.01003725424.65,,
243,ur.0712215644.00,,
244,ur.0614047157.56,,
245,ur.01212126575.59,2022.0,6.0
246,ur.01352712313.86,,
247,ur.01210060353.68,,
248,ur.01367711150.31,2024.0,30.0
249,ur.0637662640.88,,1.0
250,ur.0611467633.09,,
251,ur.01272021712.88,2020.0,2.0
252,ur.01372510466.28,2013.0,4.0
253,ur.01301232211.13,2020.0,2.0
254,ur.01160554431.67,,
255,ur.01146242611.08,2021.0,13.0
256,ur.01041444737.29,2018.0,21.0
257,ur.01067302737.32,2003.0,1.0
258,ur.01040002611.24,,1.0
259,ur.0651363747.00,2004.0,1.0
260,ur.01121575667.46,2020.0,2.0
261,ur.0763727005.09,2022.0,21.0
262,ur.01214037731.22,,
263,ur.01332326377.02,2018.0,3.0
264,ur.01262760646.95,2019.0,18.0
265,ur.0736477270.05,,
266,ur.01210015511.37,2024.0,3.0
267,ur.01031217667.32,2023.0,46.0
268,ur.01134046226.44,,2.0
269,ur.0610667722.81,2015.0,7.0
270,ur.01354702574.20,2020.0,1.0
271,ur.0675500473.09,2022.0,7.0
272,ur.01265161315.61,,
273,ur.01354277023.89,,
274,ur.01010701573.25,2021.0,9.0
275,ur.01117105305.38,,
276,ur.010312422777.39,2012.0,1.0
277,ur.0611452663.46,,
278,ur.01060172311.14,2011.0,2.0
279,ur.0730724336.65,2021.0,8.0
280,ur.0703026332.87,,
281,ur.01115613606.51,2021.0,18.0
282,ur.0776707354.45,,
283,ur.0621721526.17,2018.0,7.0
284,ur.0735501366.78,2020.0,2.0
285,ur.01267126530.10,,
286,ur.0734135057.55,2019.0,2.0
287,ur.01344404521.43,2020.0,1.0
288,ur.0704313302.86,2022.0,3.0
289,ur.01020276562.45,,
290,ur.0664633045.78,,
291,ur.010370267737.55,2022.0,17.0
292,ur.0750524661.10,2023.0,29.0
293,ur.0754274002.97,2023.0,14.0
294,ur.014345267457.07,2023.0,15.0
295,ur.015565463537.09,2022.0,21.0
296,ur.01153036061.24,2021.0,10.0
297,ur.014514614637.17,2023.0,21.0
298,ur.012061250547.34,2022.0,8.0
299,ur.012151130377.17,2015.0,1.0
300,ur.015521617657.37,2019.0,15.0
301,ur.0700374216.54,,
302,ur.01244315352.55,,
303,ur.014551440505.24,,
304,ur.0642437710.09,2023.0,14.0
305,ur.01356101225.49,,
306,ur.011362467573.59,2020.0,1.0
307,ur.016605505244.07,,
308,ur.013142315002.26,2020.0,5.0
309,ur.012264440652.05,2022.0,16.0
310,ur.011203245315.59,,
311,ur.01175557647.16,2024.0,7.0
312,ur.01200771067.24,2008.0,3.0
313,ur.0651111653.12,2024.0,31.0
314,ur.0761771561.72,2019.0,5.0
315,ur.01072523061.22,2018.0,14.0
316,ur.01006524472.69,2023.0,19.0
317,ur.0773127601.34,,
318,ur.01276752315.18,,
319,ur.013236063322.64,2017.0,6.0
320,ur.012631765612.56,2022.0,28.0
321,ur.010001043302.06,,
322,ur.015576406233.51,,
323,ur.0112255365.50,,
324,ur.01056637062.63,2021.0,8.0
325,ur.01001324722.89,,
326,ur.01247426430.47,,
327,ur.01053125172.25,2018.0,14.0
328,ur.01260753642.13,2017.0,3.0
329,ur.01276147702.63,,
330,ur.01303606614.33,,
331,ur.01225441541.34,,
332,ur.0605556261.59,,
333,ur.01042141060.50,2021.0,15.0
334,ur.0770340363.50,2023.0,10.0
335,ur.01333446703.24,,
336,ur.012745117217.03,2016.0,18.0
337,ur.01272012610.98,,
338,ur.01325407235.18,2019.0,2.0
339,ur.01041061221.12,2020.0,3.0
340,ur.01162764321.86,,
341,ur.0730545027.13,2012.0,6.0
342,ur.01240456501.49,2022.0,3.0
343,ur.0722663766.79,2019.0,1.0
344,ur.01165442252.60,,
345,ur.0763100407.41,,
346,ur.014377465057.81,2023.0,6.0
347,ur.014366020547.03,2020.0,18.0
348,ur.01310516710.30,2023.0,10.0
349,ur.01146643251.63,,
350,ur.01026114310.09,2021.0,20.0
351,ur.01025022663.19,,
352,ur.0644335107.68,,
353,ur.01036127203.64,,
