,aff_city,aff_city_id,aff_country,aff_country_code,aff_id,aff_name,aff_state,aff_state_code,id,researcher_id,first_name,last_name
0,Rio de Janeiro,3451190.0,Brazil,BR,grid.8536.8,Federal University of Rio de Janeiro,,,pub.1103719897,,C. C.,Soares
1,Rio de Janeiro,3451190.0,Brazil,BR,grid.8536.8,Federal University of Rio de Janeiro,,,pub.1103719897,ur.01175272515.05,M.,ElMassalami
2,Tsukuba,2110683.0,Japan,JP,grid.21941.3f,National Institute for Materials Science,,,pub.1103719897,ur.013116001105.24,Y.,Yanagisawa
3,Tsukuba,2110683.0,Japan,JP,grid.21941.3f,National Institute for Materials Science,,,pub.1103719897,ur.014310336431.75,M.,Tanaka
4,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1103719897,ur.014310336431.75,M.,Tanaka
5,Tsukuba,2110683.0,Japan,JP,grid.21941.3f,National Institute for Materials Science,,,pub.1103719897,ur.010212206615.18,H.,Takeya
6,Tsukuba,2110683.0,Japan,JP,grid.21941.3f,National Institute for Materials Science,,,pub.1103719897,ur.012542273621.12,Y.,Takano
7,Seri Kembangan,,Malaysia,MY,grid.11142.37,Universiti Putra Malaysia,,,pub.1100756013,ur.010410655003.51,Chi Huey,Ng
8,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1100756013,ur.010410655003.51,Chi Huey,Ng
9,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1100756013,ur.01314463063.90,Teresa S.,Ripolles
10,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1100756013,ur.012436654063.15,Kengo,Hamada
11,Seri Kembangan,,Malaysia,MY,grid.11142.37,Universiti Putra Malaysia,,,pub.1100756013,ur.013142742534.19,Siow Hwa,Teo
12,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1100756013,ur.013142742534.19,Siow Hwa,Teo
13,Seri Kembangan,,Malaysia,MY,grid.11142.37,Universiti Putra Malaysia,,,pub.1100756013,ur.013165130252.69,Hong Ngee,Lim
14,Castelló de la Plana,2519752.0,Spain,ES,grid.9612.c,Jaume I University,,,pub.1100756013,ur.01204203762.34,Juan,Bisquert
15,Jeddah,105343.0,Saudi Arabia,SA,grid.412125.1,King Abdulaziz University,,,pub.1100756013,ur.01204203762.34,Juan,Bisquert
16,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1100756013,ur.01055753603.27,Shuzi,Hayase
17,Chiba,2113015.0,Japan,JP,grid.448846.2,Chiba Prefectural University of Health Sciences,,,pub.1100920529,ur.010334113317.88,Nami,Aso-Someya
18,Wako,1907300.0,Japan,JP,grid.474690.8,RIKEN Center for Brain Science,,,pub.1100920529,ur.014037052603.97,Kimiya,Narikiyo
19,Kyoto,1857910.0,Japan,JP,grid.255178.c,Doshisha University,,,pub.1100920529,ur.013106631125.09,Akira,Masuda
20,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1100920529,ur.01035236171.02,Shuji,Aou
21,Asan,1839726.0,South Korea,KR,grid.412238.e,Hoseo University,,,pub.1110037726,ur.014431435311.16,Chul Gyu,Jhun
22,Daegu,1835329.0,South Korea,KR,grid.413028.c,Yeungnam University,,,pub.1110037726,ur.01273442731.32,Gyu Jin,Choi
23,Daegu,1835329.0,South Korea,KR,grid.413028.c,Yeungnam University,,,pub.1110037726,,Dae Geon,Ryu
24,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1110037726,ur.012627462037.62,Jong-Hoon,Huh
25,Daegu,1835329.0,South Korea,KR,grid.413028.c,Yeungnam University,,,pub.1110037726,ur.0753013572.93,Jin Seog,Gwag
26,Nagoya,1856057.0,Japan,JP,grid.27476.30,Nagoya University,,,pub.1109809848,ur.014240152313.24,S.,Imajo
27,Nagoya,1856057.0,Japan,JP,grid.27476.30,Nagoya University,,,pub.1109809848,ur.016703254145.76,M.,Nosé
28,Tokyo,1850147.0,Japan,JP,grid.450279.d,Institute of Space and Astronautical Science,,,pub.1109809848,,A.,Matsuoka
29,Tokyo,1850147.0,Japan,JP,grid.26999.3d,University of Tokyo,,,pub.1109809848,ur.012357131603.57,S.,Kasahara
30,Osaka,1853909.0,Japan,JP,grid.136593.b,Osaka University,,,pub.1109809848,,S.,Yokota
31,Nagoya,1856057.0,Japan,JP,grid.27476.30,Nagoya University,,,pub.1109809848,ur.011505071151.96,M.,Teramoto
32,Tokyo,1850147.0,Japan,JP,grid.26999.3d,University of Tokyo,,,pub.1109809848,ur.013655612441.33,K.,Keika
33,North Laurel,4363964.0,United States,US,grid.474430.0,Johns Hopkins University Applied Physics Laboratory,Maryland,US-MD,pub.1109809848,ur.013622410521.96,T.,Motoba
34,North Laurel,4363964.0,United States,US,grid.474430.0,Johns Hopkins University Applied Physics Laboratory,Maryland,US-MD,pub.1109809848,,B.,Anderson
35,Mitaka-shi,1856942.0,Japan,JP,grid.458494.0,National Astronomical Observatory of Japan,,,pub.1109809848,ur.013526345261.26,R.,Nomura
36,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1109809848,ur.013061716553.74,A.,Fujimoto
37,Tokyo,1850147.0,Japan,JP,grid.450279.d,Institute of Space and Astronautical Science,,,pub.1109809848,ur.013175603371.04,I.,Shinohara
38,Nagoya,1856057.0,Japan,JP,grid.27476.30,Nagoya University,,,pub.1109809848,ur.07772610343.25,Y.,Miyoshi
39,Nagoya,1856057.0,Japan,JP,grid.27476.30,Nagoya University,,,pub.1107342980,ur.016703254145.76,M.,Nosé
40,Tokyo,1850147.0,Japan,JP,grid.450279.d,Institute of Space and Astronautical Science,,,pub.1107342980,ur.014562313670.47,A.,Matsuoka
41,Sendai,2111149.0,Japan,JP,grid.69566.3a,Tohoku University,,,pub.1107342980,ur.010432320731.01,A.,Kumamoto
42,Kanazawa,1860243.0,Japan,JP,grid.9707.9,Kanazawa University,,,pub.1107342980,ur.010744152631.50,Y.,Kasahara
43,San Antonio,4726206.0,United States,US,grid.201894.6,Southwest Research Institute,Texas,US-TX,pub.1107342980,ur.07422455723.42,J.,Goldstein
44,San Antonio,4726206.0,United States,US,grid.215352.2,The University of Texas at San Antonio,Texas,US-TX,pub.1107342980,ur.07422455723.42,J.,Goldstein
45,Nagoya,1856057.0,Japan,JP,grid.27476.30,Nagoya University,,,pub.1107342980,ur.011505071151.96,M.,Teramoto
46,Sendai,2111149.0,Japan,JP,grid.69566.3a,Tohoku University,,,pub.1107342980,ur.012400457171.52,F.,Tsuchiya
47,Tokyo,1850147.0,Japan,JP,grid.450279.d,Institute of Space and Astronautical Science,,,pub.1107342980,ur.016407433470.51,S.,Matsuda
48,Nagoya,1856057.0,Japan,JP,grid.27476.30,Nagoya University,,,pub.1107342980,ur.011333626730.71,M.,Shoji
49,Nagoya,1856057.0,Japan,JP,grid.27476.30,Nagoya University,,,pub.1107342980,ur.014240152313.24,S.,Imajo
50,Kyoto,1857910.0,Japan,JP,grid.258799.8,Kyoto University,,,pub.1107342980,ur.016373727433.07,S.,Oimatsu
51,Kyoto,1857910.0,Japan,JP,grid.258799.8,Kyoto University,,,pub.1107342980,ur.016565636500.48,K.,Yamamoto
52,Neyagawa,6697563.0,Japan,JP,grid.444451.4,Osaka Electro-Communication University,,,pub.1107342980,ur.011270565261.68,Y.,Obana
53,Mitaka-shi,1856942.0,Japan,JP,grid.458494.0,National Astronomical Observatory of Japan,,,pub.1107342980,ur.013526345261.26,R.,Nomura
54,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1107342980,ur.013061716553.74,A.,Fujimoto
55,Tokyo,1850147.0,Japan,JP,grid.450279.d,Institute of Space and Astronautical Science,,,pub.1107342980,ur.013175603371.04,I.,Shinohara
56,Nagoya,1856057.0,Japan,JP,grid.27476.30,Nagoya University,,,pub.1107342980,ur.07772610343.25,Y.,Miyoshi
57,Iowa City,4862034.0,United States,US,grid.214572.7,University of Iowa,Iowa,US-IA,pub.1107342980,ur.01000623335.40,W. S.,Kurth
58,Iowa City,4862034.0,United States,US,grid.214572.7,University of Iowa,Iowa,US-IA,pub.1107342980,ur.0633765127.16,C. A.,Kletzing
59,Durham,5085618.0,United States,US,grid.167436.1,University of New Hampshire,New Hampshire,US-NH,pub.1107342980,ur.014334205167.67,C. W.,Smith
60,Greenbelt,4356847.0,United States,US,grid.133275.1,Goddard Space Flight Center,Maryland,US-MD,pub.1107342980,ur.012074353633.48,R. J.,MacDowall
61,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1110302159,ur.07644474375.26,Daiki,Nobayashi
62,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1110302159,ur.012355611262.41,Kazuya,Tsukamoto
63,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1110302159,ur.016573723011.24,Takeshi,Ikenaga
64,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1105948725,ur.010311155152.66,Fu,Yang
65,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1105948725,ur.010207475623.17,Daisuke,Hirotani
66,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1105948725,ur.07620457442.79,Gaurav,Kapil
67,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1105948725,ur.011773542351.82,Muhammad Akmal,Kamarudin
68,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1105948725,ur.010410655003.51,Chi Huey,Ng
69,Tokyo,1850147.0,Japan,JP,grid.266298.1,University of Electro-Communications,,,pub.1105948725,ur.016301224703.21,Yaohong,Zhang
70,Tokyo,1850147.0,Japan,JP,grid.266298.1,University of Electro-Communications,,,pub.1105948725,ur.0617543344.56,Qing,Shen
71,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1105948725,ur.01055753603.27,Shuzi,Hayase
72,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1105943618,ur.010311155152.66,Fu,Yang
73,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1105943618,ur.010207475623.17,Daisuke,Hirotani
74,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1105943618,ur.07620457442.79,Gaurav,Kapil
75,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1105943618,ur.011773542351.82,Muhammad Akmal,Kamarudin
76,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1105943618,ur.010410655003.51,Chi Huey,Ng
77,Tokyo,1850147.0,Japan,JP,grid.266298.1,University of Electro-Communications,,,pub.1105943618,ur.016301224703.21,Yaohong,Zhang
78,Tokyo,1850147.0,Japan,JP,grid.266298.1,University of Electro-Communications,,,pub.1105943618,ur.0617543344.56,Qing,Shen
79,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1105943618,ur.01055753603.27,Shuzi,Hayase
80,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1106153047,ur.011704116152.94,Putao,Zhang
81,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1106153047,ur.010311155152.66,Fu,Yang
82,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1106153047,ur.011773542351.82,Muhammad Akmal,Kamarudin
83,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1106153047,ur.010410655003.51,Chi Huey,Ng
84,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1106153047,ur.07620457442.79,Gaurav,Kapil
85,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1106153047,ur.01144540527.52,Tingli,Ma
86,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1106153047,ur.01055753603.27,Shuzi,Hayase
87,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1110303852,,Yuji,Ninomiya
88,Lecce,3174953.0,Italy,IT,grid.9906.6,University of Salento,,,pub.1110303852,,Yuji,Ninomiya
89,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1110303852,ur.010651302334.56,Yuta,Arita
90,Lecce,3174953.0,Italy,IT,grid.9906.6,University of Salento,,,pub.1110303852,ur.010651302334.56,Yuta,Arita
91,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1110303852,ur.013660345305.60,Ryodo,Tanaka
92,Lecce,3174953.0,Italy,IT,grid.9906.6,University of Salento,,,pub.1110303852,ur.013660345305.60,Ryodo,Tanaka
93,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1110303852,ur.010072040157.55,Takeshi,Nishida
94,Lecce,3174953.0,Italy,IT,grid.9906.6,University of Salento,,,pub.1110303852,ur.010072040157.55,Takeshi,Nishida
95,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1110303852,ur.011407315665.16,Nicola Ivan,Giannoccaro
96,Lecce,3174953.0,Italy,IT,grid.9906.6,University of Salento,,,pub.1110303852,ur.011407315665.16,Nicola Ivan,Giannoccaro
97,Kyoto,1857910.0,Japan,JP,grid.258799.8,Kyoto University,,,pub.1106026132,ur.016703254145.76,M.,Nosé
98,Tokyo,1850147.0,Japan,JP,grid.450279.d,Institute of Space and Astronautical Science,,,pub.1106026132,ur.010023213731.12,A.,Matsuoka
99,Tokyo,1850147.0,Japan,JP,grid.26999.3d,University of Tokyo,,,pub.1106026132,ur.012357131603.57,S.,Kasahara
100,Osaka,1853909.0,Japan,JP,grid.136593.b,Osaka University,,,pub.1106026132,ur.015667575226.01,S.,Yokota
101,Nagoya,1856057.0,Japan,JP,grid.27476.30,Nagoya University,,,pub.1106026132,ur.011505071151.96,M.,Teramoto
102,Tokyo,1850147.0,Japan,JP,grid.26999.3d,University of Tokyo,,,pub.1106026132,ur.013655612441.33,K.,Keika
103,Kyoto,1857910.0,Japan,JP,grid.258799.8,Kyoto University,,,pub.1106026132,ur.016565636500.48,K.,Yamamoto
104,Tokyo,1850147.0,Japan,JP,grid.62167.34,Japan Aerospace Exploration Agency,,,pub.1106026132,ur.013526345261.26,R.,Nomura
105,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1106026132,ur.013061716553.74,A.,Fujimoto
106,Tokyo,1850147.0,Japan,JP,grid.62167.34,Japan Aerospace Exploration Agency,,,pub.1106026132,ur.016713606767.73,N.,Higashio
107,Tokyo,1850147.0,Japan,JP,grid.62167.34,Japan Aerospace Exploration Agency,,,pub.1106026132,ur.012100254431.76,H.,Koshiishi
108,Kyoto,1857910.0,Japan,JP,grid.258799.8,Kyoto University,,,pub.1106026132,ur.014240152313.24,S.,Imajo
109,Kyoto,1857910.0,Japan,JP,grid.258799.8,Kyoto University,,,pub.1106026132,ur.016373727433.07,S.,Oimatsu
110,Tokyo,1850147.0,Japan,JP,grid.410816.a,National Institute of Polar Research,,,pub.1106026132,ur.010642101151.82,Y.‐M.,Tanaka
111,Tokyo,1850147.0,Japan,JP,grid.418987.b,Research Organization of Information and Systems,,,pub.1106026132,ur.010642101151.82,Y.‐M.,Tanaka
112,Hayama,1862992.0,Japan,JP,grid.275033.0,Graduate University For Advanced Studies,,,pub.1106026132,ur.010642101151.82,Y.‐M.,Tanaka
113,Kagoshima,1860827.0,Japan,JP,grid.471634.3,"National Institute of Technology, Kagoshima College",,,pub.1106026132,ur.013105320754.73,M.,Shinohara
114,Tokyo,1850147.0,Japan,JP,grid.450279.d,Institute of Space and Astronautical Science,,,pub.1106026132,ur.013175603371.04,I.,Shinohara
115,Nagoya,1856057.0,Japan,JP,grid.27476.30,Nagoya University,,,pub.1106026132,ur.07772610343.25,Y.,Miyoshi
116,Chiba,2113015.0,Japan,JP,grid.136304.3,Chiba University,,,pub.1103888947,,Hideto,Fukuda
117,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1103888947,ur.011230151121.16,Taizo,Fujiwara
118,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1103888947,ur.010357604543.43,Polin,Liu
119,Tsu,1849796.0,Japan,JP,grid.260026.0,Mie University,,,pub.1103888947,ur.016400213773.21,Kohji,Nakamura
120,Sapporo,2128295.0,Japan,JP,grid.39158.36,Hokkaido University,,,pub.1103888947,ur.016230477767.12,Seiya,Kasai
121,Madrid,3117735.0,Spain,ES,grid.5515.4,Autonomous University of Madrid,,,pub.1103888947,ur.013246771561.32,Amadeo L Vazquez,de Parga
122,Madrid,3117735.0,Spain,ES,grid.429045.e,Madrid Institute for Advanced Studies,,,pub.1103888947,ur.013246771561.32,Amadeo L Vazquez,de Parga
123,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1103888947,ur.01144262565.40,Hirofumi,Tanaka
124,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1105271434,ur.010311155152.66,Fu,Yang
125,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1105271434,ur.011773542351.82,Muhammad Akmal,Kamarudin
126,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1105271434,ur.07620457442.79,Gaurav,Kapil
127,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1105271434,ur.010207475623.17,Daisuke,Hirotani
128,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1105271434,ur.011704116152.94,Putao,Zhang
129,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1105271434,ur.010410655003.51,Chi Huey,Ng
130,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1105271434,ur.01144540527.52,Tingli,Ma
131,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1105271434,ur.01055753603.27,Shuzi,Hayase
132,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1104381038,ur.014310336431.75,Masashi,Tanaka
133,Hiroshima,1862415.0,Japan,JP,grid.257022.0,Hiroshima University,,,pub.1104381038,ur.014310336431.75,Masashi,Tanaka
134,Hiroshima,1862415.0,Japan,JP,grid.257022.0,Hiroshima University,,,pub.1104381038,ur.010546564551.34,Shoji,Yamanaka
135,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1103248312,ur.012265404305.30,RYO,KABUTAN
136,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1103248312,ur.010072040157.55,TAKESHI,NISHIDA
137,Seri Kembangan,,Malaysia,MY,grid.11142.37,Universiti Putra Malaysia,,,pub.1101883453,ur.010410655003.51,C.H.,Ng
138,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1101883453,ur.010410655003.51,C.H.,Ng
139,Seri Kembangan,,Malaysia,MY,grid.11142.37,Universiti Putra Malaysia,,,pub.1101883453,ur.013165130252.69,H.N.,Lim
140,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1101883453,ur.01055753603.27,S.,Hayase
141,Seri Kembangan,,Malaysia,MY,grid.11142.37,Universiti Putra Malaysia,,,pub.1101883453,ur.01215116435.12,Z.,Zainal
142,Sepang,1734821.0,Malaysia,MY,grid.503008.e,Xiamen University Malaysia,,,pub.1101883453,ur.011461562252.48,N.M.,Huang
143,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1103567411,ur.012521043173.28,Akihiro,Satoh
144,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1103567411,ur.010621635425.45,Yutaka,Nakamura
