FOR,publication_ids,assignees,publication_date,year,granted_year,title,times_cited,id,assignee_names,filing_status,inventor_names
"[{'id': '2837', 'name': '0903 Biomedical Engineering'}]",['pub.1055127577'],"[{'id': 'grid.265219.b', 'city_name': 'New Orleans', 'name': 'Tulane University', 'country_name': 'United States'}]",2017-03-09,2016,,LOAD-INDUCED HYDRODYNAMIC LUBRICATION OF POROUS SUBSTRATES,0,WO-2017039924-A1,['THE ADMINISTRATORS OF THE TULANE EDUCATIONAL FUND'],Application,"['PESIKA, NOSHIR', 'KHOSLA, TUSHAR']"
"[{'id': '2471', 'name': '0306 Physical Chemistry (incl. Structural)'}, {'id': '2921', 'name': '0912 Materials Engineering'}, {'id': '2447', 'name': '0303 Macromolecular and Materials Chemistry'}, {'id': '2438', 'name': '0302 Inorganic Chemistry'}]","['pub.1018631783', 'pub.1048759021', 'pub.1023577131', 'pub.1032696971', 'pub.1024449700', 'pub.1021517794', 'pub.1038512503', 'pub.1041608706', 'pub.1016945132', 'pub.1033816951', 'pub.1008298241', 'pub.1020740605', 'pub.1047242140', 'pub.1055147211', 'pub.1019936628', 'pub.1003828813', 'pub.1032006995', 'pub.1049250575', 'pub.1011259062', 'pub.1053225286', 'pub.1023656270', 'pub.1033991391', 'pub.1045775281', 'pub.1055414464', 'pub.1050904262', 'pub.1053803221', 'pub.1015041892', 'pub.1024468626', 'pub.1015775968', 'pub.1048667726', 'pub.1022011206', 'pub.1003141119', 'pub.1020482121', 'pub.1054047189', 'pub.1067864987', 'pub.1015102856', 'pub.1001471551', 'pub.1006063383', 'pub.1029657454', 'pub.1050001784', 'pub.1017738524', 'pub.1051287926', 'pub.1025697141', 'pub.1010222078', 'pub.1013409956', 'pub.1055126911', 'pub.1055396271', 'pub.1010694587', 'pub.1034950428', 'pub.1053431508', 'pub.1030576402', 'pub.1056135849', 'pub.1036450305', 'pub.1055561529', 'pub.1030573265', 'pub.1017946743', 'pub.1042549209', 'pub.1055415447', 'pub.1036419911', 'pub.1020651033', 'pub.1035710993', 'pub.1007569772', 'pub.1009790357', 'pub.1027813850', 'pub.1023279161', 'pub.1005299398', 'pub.1055109133', 'pub.1002291214', 'pub.1040583011', 'pub.1055147879', 'pub.1049751484', 'pub.1029037852']",,2017-10-31,2014,2017.0,Garnet materials for Li secondary batteries and methods of making and using garnet materials,1,US-9806372-B2,"['QuantumScape Corp', 'QUANTUMSCAPE CORP']",Grant,"['Tim Holme', 'Niall Donnelly', 'Sriram Iyer', 'Adrian Winoto', 'Mohit Singh', 'Will Hudson', 'Dong Hee Anna Choi', 'Oleh Karpenko', 'Kian Kerman']"
"[{'id': '2921', 'name': '0912 Materials Engineering'}]","['pub.1055561529', 'pub.1054047189', 'pub.1006063383', 'pub.1044566785', 'pub.1032088645', 'pub.1018792654', 'pub.1047242140', 'pub.1015775968', 'pub.1033447042', 'pub.1037204177', 'pub.1053431508', 'pub.1003828813', 'pub.1027556782', 'pub.1025132506', 'pub.1003141119', 'pub.1055109133', 'pub.1056135849', 'pub.1052200064', 'pub.1018307374', 'pub.1055126911', 'pub.1042549209', 'pub.1013409956', 'pub.1024449700', 'pub.1010694587', 'pub.1051287926', 'pub.1008884307', 'pub.1040583011', 'pub.1036450305', 'pub.1017738524', 'pub.1056101223', 'pub.1011259062', 'pub.1019936628', 'pub.1046876319', 'pub.1055396271', 'pub.1033278338', 'pub.1041249770', 'pub.1067864987', 'pub.1049250575', 'pub.1035710993', 'pub.1055108771', 'pub.1032006995', 'pub.1033816951', 'pub.1055092316', 'pub.1025697141', 'pub.1053803758', 'pub.1050420090', 'pub.1056084897', 'pub.1028534828', 'pub.1053225286', 'pub.1008298241', 'pub.1050001784', 'pub.1055092652', 'pub.1055414464', 'pub.1019884157', 'pub.1045799965', 'pub.1018604293', 'pub.1011505119', 'pub.1023577131', 'pub.1048667726', 'pub.1016945132', 'pub.1020651033', 'pub.1044010894', 'pub.1010222078', 'pub.1049751484', 'pub.1055147879', 'pub.1015102856', 'pub.1030613033', 'pub.1029037852', 'pub.1050691088', 'pub.1036419911', 'pub.1042320132', 'pub.1026632484', 'pub.1045775281', 'pub.1053803221', 'pub.1024468626', 'pub.1001471551', 'pub.1018631783', 'pub.1054021040', 'pub.1033991391', 'pub.1026192126', 'pub.1019076855', 'pub.1027813850', 'pub.1009617469', 'pub.1032696971', 'pub.1029657454', 'pub.1002291214', 'pub.1021517794', 'pub.1017946743', 'pub.1018102909', 'pub.1055147211', 'pub.1030576402', 'pub.1007569772', 'pub.1053898218', 'pub.1055146152', 'pub.1005843361', 'pub.1006628074', 'pub.1025777701', 'pub.1007711674', 'pub.1030573265', 'pub.1041608706', 'pub.1050904262', 'pub.1021644227', 'pub.1042997398', 'pub.1022011206', 'pub.1052942336', 'pub.1038512503', 'pub.1009790357', 'pub.1024212743', 'pub.1015041892', 'pub.1023656270', 'pub.1055413815', 'pub.1005299398', 'pub.1020482121', 'pub.1053897734', 'pub.1055415447', 'pub.1020740605']",,2018-05-15,2016,2018.0,Lithium stuffed garnet setter plates for solid electrolyte fabrication,0,US-9970711-B2,"['QuantumScape Corp', 'QUANTUMSCAPE CORP']",Grant,"['Sriram Iyer', 'Tim Holme', 'Niall Donnelly']"
"[{'id': '2471', 'name': '0306 Physical Chemistry (incl. Structural)'}]","['pub.1007569772', 'pub.1006628074', 'pub.1033278338', 'pub.1046876319', 'pub.1008298241', 'pub.1055396271', 'pub.1040583011', 'pub.1038512503', 'pub.1019076855', 'pub.1017946743', 'pub.1025697141', 'pub.1050001784', 'pub.1017738524', 'pub.1028534828', 'pub.1013409956', 'pub.1042549209', 'pub.1055147211', 'pub.1018792654', 'pub.1052942336', 'pub.1048759021', 'pub.1050691088', 'pub.1055561529', 'pub.1027813850', 'pub.1025777701', 'pub.1055092316', 'pub.1042320132', 'pub.1044566785', 'pub.1033447042', 'pub.1032006995', 'pub.1044010894', 'pub.1011259062', 'pub.1030576402', 'pub.1001471551', 'pub.1067864987', 'pub.1054047189', 'pub.1020740605', 'pub.1010694587', 'pub.1055108771', 'pub.1003828813', 'pub.1053803221', 'pub.1029657454', 'pub.1055092652', 'pub.1023279161', 'pub.1053225286', 'pub.1053897734', 'pub.1041608706', 'pub.1055414464', 'pub.1018307374', 'pub.1022011206', 'pub.1021517794', 'pub.1033991391', 'pub.1009790357', 'pub.1002291214', 'pub.1055146152', 'pub.1048667726', 'pub.1030573265', 'pub.1008884307', 'pub.1015102856', 'pub.1056084897', 'pub.1047242140', 'pub.1020482121', 'pub.1032088645', 'pub.1005299398', 'pub.1023577131', 'pub.1050904262', 'pub.1024468626', 'pub.1036450305', 'pub.1029037852', 'pub.1025132506', 'pub.1019936628', 'pub.1050420090', 'pub.1005843361', 'pub.1015041892', 'pub.1020651033', 'pub.1055415447', 'pub.1056135849', 'pub.1055413815', 'pub.1024449700', 'pub.1033816951', 'pub.1053431508', 'pub.1045799965', 'pub.1026632484', 'pub.1006063383', 'pub.1049250575', 'pub.1018604293', 'pub.1041249770', 'pub.1010222078', 'pub.1052200064', 'pub.1021644227', 'pub.1026192126', 'pub.1016945132', 'pub.1007711674', 'pub.1053803758', 'pub.1045775281', 'pub.1054021040', 'pub.1055109133', 'pub.1015775968', 'pub.1023656270', 'pub.1055147879', 'pub.1027556782', 'pub.1053898218', 'pub.1018631783', 'pub.1003141119', 'pub.1035710993', 'pub.1011505119', 'pub.1030613033', 'pub.1055126911', 'pub.1042997398', 'pub.1018102909', 'pub.1051287926', 'pub.1056101223']",,2018-05-08,2016,2018.0,Annealed garnet electrolyte separators,1,US-9966630-B2,"['QuantumScape Corp', 'QUANTUMSCAPE CORP']",Grant,"['Lei Cheng', 'Sriram Iyer', 'Will GARDNER', 'Tim Holme', 'Shuang Li', 'Cheng-Chieh Chao', 'Niall Donnelly', 'Arnold Allenic']"
"[{'id': '2471', 'name': '0306 Physical Chemistry (incl. Structural)'}, {'id': '2921', 'name': '0912 Materials Engineering'}, {'id': '2447', 'name': '0303 Macromolecular and Materials Chemistry'}]","['pub.1053897734', 'pub.1033816951', 'pub.1032006995', 'pub.1026192126', 'pub.1053225286', 'pub.1028534828', 'pub.1033278338', 'pub.1030613033', 'pub.1024468626', 'pub.1053898218', 'pub.1054047189', 'pub.1001471551', 'pub.1056101223', 'pub.1042997398', 'pub.1019076855', 'pub.1055396271', 'pub.1010694587', 'pub.1044566785', 'pub.1044010894', 'pub.1041249770', 'pub.1055415447', 'pub.1027813850', 'pub.1005843361', 'pub.1005299398', 'pub.1055109133', 'pub.1021644227', 'pub.1016945132', 'pub.1003828813', 'pub.1049250575', 'pub.1050904262', 'pub.1015775968', 'pub.1054021040', 'pub.1025132506', 'pub.1013409956', 'pub.1019884157', 'pub.1018102909', 'pub.1030576402', 'pub.1042320132', 'pub.1030573265', 'pub.1053803758', 'pub.1046876319', 'pub.1042549209', 'pub.1036419911', 'pub.1015102856', 'pub.1055108771', 'pub.1018631783', 'pub.1026632484', 'pub.1023577131', 'pub.1032696971', 'pub.1024449700', 'pub.1056084897', 'pub.1032088645', 'pub.1041608706', 'pub.1008298241', 'pub.1020740605', 'pub.1007120730', 'pub.1011259062', 'pub.1023656270', 'pub.1053803221', 'pub.1055414464', 'pub.1015041892', 'pub.1048667726', 'pub.1003141119', 'pub.1029657454', 'pub.1055413815', 'pub.1011505119', 'pub.1051287926', 'pub.1025697141', 'pub.1010222078', 'pub.1007711674', 'pub.1055092652', 'pub.1053431508', 'pub.1056135849', 'pub.1036450305', 'pub.1017946743', 'pub.1007569772', 'pub.1018792654', 'pub.1009617469', 'pub.1040583011', 'pub.1017738524', 'pub.1006628074', 'pub.1029037852', 'pub.1052942336', 'pub.1021517794', 'pub.1038512503', 'pub.1047242140', 'pub.1055147211', 'pub.1019936628', 'pub.1055146152', 'pub.1027556782', 'pub.1033991391', 'pub.1045775281', 'pub.1045679691', 'pub.1018307374', 'pub.1022011206', 'pub.1025777701', 'pub.1020482121', 'pub.1008884307', 'pub.1067864987', 'pub.1006063383', 'pub.1045799965', 'pub.1050001784', 'pub.1050691088', 'pub.1052200064', 'pub.1055126911', 'pub.1055561529', 'pub.1055092316', 'pub.1020651033', 'pub.1035710993', 'pub.1009790357', 'pub.1033447042', 'pub.1024212743', 'pub.1002291214', 'pub.1055147879', 'pub.1050420090', 'pub.1049751484']",,2018-06-26,2016,2018.0,Garnet materials for Li secondary batteries and methods of making and using garnet materials,2,US-10008742-B2,"['QuantumScape Corp', 'QUANTUMSCAPE CORP']",Grant,"['Tim Holme', 'Niall Donnelly']"
"[{'id': '2921', 'name': '0912 Materials Engineering'}]","['pub.1014562642', 'pub.1060578566']","[{'id': 'grid.420434.5', 'city_name': 'Arlington', 'acronym': 'DON', 'name': 'United States Department of the Navy', 'country_name': 'United States'}]",2017-08-22,2016,2017.0,Hydrogen free amorphous silicon as insulating dielectric material for superconducting quantum bits,0,US-9741921-B2,"['US Secretary of Navy', 'US GOV SEC NAVY', 'US NAVY']",Grant,"['Xiao Liu', 'Daniel R. Queen', 'Frances Hellman', 'Thomas H. Metcalf', 'Matthew R. Abernathy', 'Glenn G. Jernigan']"
"[{'id': '2634', 'name': '0605 Microbiology'}, {'id': '2581', 'name': '0601 Biochemistry and Cell Biology'}]","['pub.1031351159', 'pub.1048144716', 'pub.1028788523', 'pub.1006330323', 'pub.1037891464', 'pub.1029668905', 'pub.1040273607', 'pub.1007092364', 'pub.1071873270', 'pub.1038609301', 'pub.1011890709']","[{'id': 'grid.40368.39', 'city_name': 'Norwich', 'acronym': 'IFR', 'name': 'Quadram Institute', 'country_name': 'United Kingdom'}]",2017-11-02,2017,,ENGINEERING GUT COMMENSAL BACTERIA TO EXPRESS HETEROLOGOUS PROTEINS IN THEIR OUTER MEMBRANE VESICLES (OMVS) FOR DELIVERY TO THE GI-TRACT,0,WO-2017187190-A1,"['THE INST OF FOOD RES', 'UEA ENTPR LTD']",Application,"['STENTZ, Regis Gabriel', 'CARDING, Simon Richard']"
"[{'id': '2921', 'name': '0912 Materials Engineering'}]",['pub.1054003284'],"[{'id': 'grid.420434.5', 'city_name': 'Arlington', 'acronym': 'DON', 'name': 'United States Department of the Navy', 'country_name': 'United States'}]",2017-12-28,2017,,P(CN)3 REACTIONS WITH LITHIUM DICYNAMIDE PRODUCING LITHIATED CARBON PHOSPHONITRIDE EXTENDED SOLIDS,0,WO-2017223293-A1,['THE GOVERNMENT OF THE US SECRETARY OF NAVY'],Application,"['EPSHTEYN, ALBERT', 'PURDY, ANDREW, P.', 'CHALOUX, Brian, L.']"
"[{'id': '2921', 'name': '0912 Materials Engineering'}]","['pub.1020133585', 'pub.1043130173', 'pub.1037461546', 'pub.1016467838', 'pub.1007160013', 'pub.1014760973', 'pub.1032609280', 'pub.1040439575', 'pub.1018876615', 'pub.1037718762', 'pub.1018275023', 'pub.1028944786', 'pub.1039106904', 'pub.1010758315']","[{'id': 'grid.417971.d', 'city_name': 'Mumbai', 'acronym': 'IITB', 'name': 'Indian Institute of Technology Bombay', 'country_name': 'India'}]",2018-02-08,2016,,FOUR-STEP THERMAL AGING METHOD FOR IMPROVING ENVIRONMENTALLY ASSISTED CRACKING RESISTANCE OF 7XXX SERIES ALUMINIUM ALLOYS,0,WO-2018025275-A1,"['INDIAN INSTITUTE OF TECH BOMBAY', 'GODREJ & BOYCE MFG CO LTD']",Application,"['KRISHNAN AJAY', 'VNGARANAHALLI SRINIVASAN RAJA', 'VAIDYA SURENDRA MURALIDHAR']"
"[{'id': '3120', 'name': '1109 Neurosciences'}]","['pub.1019617574', 'pub.1040813239', 'pub.1025844998']",,2018-09-25,2016,2018.0,Modeling connections between dopaminergic neurons and the cerebral cortex,0,US-10081791-B2,"['LEE CHUN TING', 'FREED WILLIAM J', 'LEE CHUN TING']",Grant,"['William J. Freed', 'Chun-Ting Lee']"
