id,first_name,total_publications,research_orgs,last_name,current_research_org.id,current_research_org.acronym,name,country,orcid_id,full_name
ur.015420260735.76,Joachim,4,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Franek,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Joachim Franek
ur.0742272666.24,Fabian,4,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Gaussmann,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Fabian Gaussmann
ur.011721621355.79,Beate,4,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.1957.a', 'acronym': 'RWTH', 'name': 'RWTH Aachen University', 'country_name': 'Germany'}]",Stolz,grid.1957.a,RWTH,RWTH Aachen University,Germany,empty,Beate Stolz
ur.015371775302.72,Mark,4,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Haverkamp,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Mark Haverkamp
ur.010321226323.86,Holger,4,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.462605.3', 'name': 'Mitsubishi Electric (Japan)', 'country_name': 'Japan'}, {'id': 'grid.434105.7', 'name': 'DILAS (Germany)', 'country_name': 'Germany'}]",Muentz,grid.434105.7,empty,DILAS (Germany),Germany,empty,Holger Muentz
ur.012044447344.40,Stefanie,4,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Linnenbrink,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Stefanie Linnenbrink
ur.012577300543.76,Jorg,4,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Beersiek,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Jorg Beersiek
ur.016314243724.00,Jannik,4,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.1957.a', 'acronym': 'RWTH', 'name': 'RWTH Aachen University', 'country_name': 'Germany'}]",Bühring,grid.1957.a,RWTH,RWTH Aachen University,Germany,empty,Jannik Bühring
ur.011252317017.39,Christof,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Rieck,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Christof Rieck
ur.012522505573.33,U,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.1957.a', 'acronym': 'RWTH', 'name': 'RWTH Aachen University', 'country_name': 'Germany'}]",Petschke,grid.1957.a,RWTH,RWTH Aachen University,Germany,empty,U Petschke
ur.01035211602.51,Peter,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Jander,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Peter Jander
ur.015055161715.23,M,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Vierkoetter,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,M Vierkoetter
ur.011426124167.80,S,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Beil,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,S Beil
